"S0375-15892012000500014-sza","Preliminary report: Pedigree analysis of the Brangus cattle in South Africa","Steyn, J.W., Neser, F.W.C., Hunlun, C., Lubout, P.C.","South African Journal of Animal Science; 42(5); 511-514","South African Journal of Animal Science","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892012000500014&lang=pt" 
"S0375-15892012000500015-sza","Effect of dietary lipid saturation on the production performance of layers","King, E.J., de Witt, F.H., Hugo, A., van der Merwe, H.J., Fair, M.D.","South African Journal of Animal Science; 42(5); 515-519","South African Journal of Animal Science","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892012000500015&lang=pt" 
"S0375-15892012000500016-sza","Preliminary results on the effect of the inclusion of cottonseed oilcake meal on the feed intake and growth of slaughter ostriches (Struthio camelus var. domesticus)","Brand, T.S., Squizzato, D., Hoffman, L.C., Zotte, A. Dalle","South African Journal of Animal Science; 42(5); 520-523","South African Journal of Animal Science","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892012000500016&lang=pt" 
"S0375-15892012000500017-sza","Effect of slaughter technique on bleed-out, blood in the trachea and blood splash in the lungs of cattle","Agbeniga, B., Webb, E.C.","South African Journal of Animal Science; 42(5); 524-529","South African Journal of Animal Science","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892012000500017&lang=pt" 
"S0375-15892012000500018-sza","Comparison of different extenders and storage temperature on the sperm motility characteristics of Kolbroek pig semen","Mapeka, M.H., Lehloenya, K.C., Nedambale, T.L.","South African Journal of Animal Science; 42(5); 530-534","South African Journal of Animal Science","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892012000500018&lang=pt" 
"S0375-15892012000500019-sza","Production response of lambs receiving creep feed while grazing two different pastures","Terblanche, S., Brand, T.S., Jordaan, J.W., van der Walt, J.C.","South African Journal of Animal Science; 42(5); 535-539","South African Journal of Animal Science","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892012000500019&lang=pt" 
"S0375-15892012000500020-sza","The effect of dietary garlic powder and a low temperature on the physical quality of stored eggs","Olobatoke, R.Y., Mulugeta, S.D.","South African Journal of Animal Science; 42(5); 540-544","South African Journal of Animal Science","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892012000500020&lang=pt" 
"S0375-15892012000500021-sza","Urinary catecholamine concentrations in three beef breeds at slaughter","O&#039;Neill, H.A., Webb, E.C., Frylinck, L., Strydom, P.","South African Journal of Animal Science; 42(5); 545-549","South African Journal of Animal Science","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892012000500021&lang=pt" 
"S0375-15892012000500022-sza","The use of near infrared spectroscopy (NIRS) to predict the chemical composition of feed samples used in ostrich total mixed rations","Swart, E., Brand, T.S., Engelbrecht, J.","South African Journal of Animal Science; 42(5); 550-554","South African Journal of Animal Science","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892012000500022&lang=pt" 
"S0375-15892012000500023-sza","A description of body growth and composition of South African Black ostriches (Struthio camelus var. domesticus) under free-choice feeding conditions","Brand, T.S., Kritzinger, W.J., Hoffman, L.C., Gous, R.M.","South African Journal of Animal Science; 42(5); 555-558","South African Journal of Animal Science","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892012000500023&lang=pt" 
"S0375-15892012000500024-sza","The effect of vitamin E supplementation on the libido and reproductive capacity of Large White boars","Umesiobi, D.O.","South African Journal of Animal Science; 42(5); 559-563","South African Journal of Animal Science","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892012000500024&lang=pt" 
