"S0103-84782009010800004-scl","Estudo revisa diarréia em suínos","Guedes, Roberto Maurício Carvalho","Ciência Rural; 39(7); -","Ciência Rural","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009010800004&lang=pt" 
"S0103-84782009010800003-scl","Pesquisadores testam relação entre falta de água e nutrição com fósforo","Souza, Gustavo Maia","Ciência Rural; 39(7); -","Ciência Rural","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009010800003&lang=pt" 
"S0103-84782009010800002-scl","Estudo revisa procedimentos com medula óssea","Müller, Daniel Curvello de Mendonça","Ciência Rural; 39(7); -","Ciência Rural","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009010800002&lang=pt" 
"S0103-84782009010800001-scl","Lavoura de arroz irrigado é menos agressiva ao ambiente aquático","Colpo, Karine Delevati","Ciência Rural; 39(7); -","Ciência Rural","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009010800001&lang=pt" 
"S0103-84782009010800005-scl","Grãos de milho possuem semelhanças, independente da Empresa de melhoramento","Barbosa Neto, José Fernandes","Ciência Rural; 39(7); -","Ciência Rural","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782009010800005&lang=pt" 
"S1135-76062009000400010-esp","","Sepúlveda Gª de la Torre, Mª A.","Cuadernos de Medicina Forense; (58); 327-331","Cuadernos de Medicina Forense","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062009000400010&lang=pt" 
"S1135-76062009000400006-esp","Ataque por animales acuáticos (tiburón y cocodrilo): A propósito de dos casos fatales en la provincia de Bocas del Toro (Panamá)","Mendieta, C., Duarte, A.","Cuadernos de Medicina Forense; (58); 309-315","Cuadernos de Medicina Forense","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062009000400006&lang=pt" 
"S1135-76062009000400008-esp","","","Cuadernos de Medicina Forense; (58); 319-320","Cuadernos de Medicina Forense","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062009000400008&lang=pt" 
"S1135-76062009000400007-esp","","Galnares Ysern, Alfonso","Cuadernos de Medicina Forense; (58); 317-318","Cuadernos de Medicina Forense","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062009000400007&lang=pt" 
"S1135-76062009000400009-esp","","Vázquez López, José Enrique","Cuadernos de Medicina Forense; (58); 321-325","Cuadernos de Medicina Forense","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062009000400009&lang=pt" 
"S1135-76062009000400005-esp","Muerte traumática de personas privadas de libertad: descripción de un caso","Lasso, E.F., Varela, V.L., Pachar, J.V.","Cuadernos de Medicina Forense; (58); 303-308","Cuadernos de Medicina Forense","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062009000400005&lang=pt" 
"S1135-76062009000400001-esp","Marcadores del consumo de alcohol en muestras de pelo","Jurado, C.","Cuadernos de Medicina Forense; (58); 265-278","Cuadernos de Medicina Forense","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062009000400001&lang=pt" 
"S1135-76062009000400004-esp","Ceguera tras cirugía discal lumbar: Aspectos asistenciales y médico-legales. Presentación de un caso y revisión de la Literatura","Aso, J., Martínez-Quiñones, J.V., Ara, F., Sebastián, M., Consolini, M., Arregui, R., Pons, J.","Cuadernos de Medicina Forense; (58); 293-302","Cuadernos de Medicina Forense","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062009000400004&lang=pt" 
"S1135-76062009000400002-esp","Abuso sexual infantil y síndrome de alienación parental: criterios diferenciales","Pereda, N., Arch, M.","Cuadernos de Medicina Forense; (58); 279-287","Cuadernos de Medicina Forense","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062009000400002&lang=pt" 
"S1135-57272009000500013-esp","Epidemiología de la enfermedad meningocócica en Cataluña antes y después de la vacunación frente al serogrupo C","Martínez, Ana I., Domínguez, Ángela, Oviedo, Manuel, Minguell, Sofía, Jansà, Josep Mª, Codina, Gemma, Vázquez, Julio A.","Revista Española de Salud Pública; 83(5); 725-735","Revista Española de Salud Pública","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272009000500013&lang=pt" 
