"S0104-42302015000500452-scl","Knowledge and attitudes of nurses regarding patient rights: a Corum/Turkey sample","Akca, Selen Ozakar, Akpinar, Yeliz Yelen, Habbani, Turgay","Revista da Associação Médica Brasileira; 61(5); 452-457","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000500452&lang=pt" 
"S1679-78252015001001807-scl","Uncertainty analysis of flexible rotors considering fuzzy parameters and fuzzy-random parameters","Lara-Molina, Fabian Andres, Koroishi, Edson Hideki, Steffen Jr, Valder","Latin American Journal of Solids and Structures; 12(10); 1807-1823","Latin American Journal of Solids and Structures","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252015001001807&lang=pt" 
"S1984-46702015000500351-scl","Factors determining the structure of fish assemblages in an Amazonian river near to oil and gas exploration areas in the Amazon basin (Brazil): establishing the baseline for environmental evaluation","Costa, Igor David, Freitas, Carlos Edwar de Carvalho","Zoologia (Curitiba); 32(5); 351-359","Zoologia (Curitiba)","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702015000500351&lang=pt" 
"S1984-46702015000500403-scl","Notes on Neotropical Proconiini (Insecta: Hemiptera: Cicadellidae). VIII: morphology of the male and female genitalia of Paraulacizes munda, revalidated from synonymy of P. confusa","Mejdalani, Gabriel, Cavichioli, Rodney Ramiro","Zoologia (Curitiba); 32(5); 403-408","Zoologia (Curitiba)","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702015000500403&lang=pt" 
"S0104-42302015000500417-scl","Outcome of children and adolescents with lymphoblastic lymphoma","Oliveira, Maria Christina Lopes Araújo, Sampaio, Keyla Christy, Oliveira, Aline Carneiro, Santos, Aieska Dantas, Castro, Lúcia Porto, Viana, Marcos Borato","Revista da Associação Médica Brasileira; 61(5); 417-422","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000500417&lang=pt" 
"S0104-42302015000500411-scl","Adjuvant treatment delay in breast cancer patients","Trufelli, Damila Cristina, Matos, Leandro Luongo de, Santi, Patricia Xavier, Del Giglio, Auro","Revista da Associação Médica Brasileira; 61(5); 411-416","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000500411&lang=pt" 
"S1679-78252015001001918-scl","Large amplitude free vibration of micro/nano beams based on nonlocal thermal elasticity theory","Wang, Yong-Gang, Song, Hui-Fang, Lin, Wen-Hui, Wang, Jin-Ke","Latin American Journal of Solids and Structures; 12(10); 1918-1933","Latin American Journal of Solids and Structures","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252015001001918&lang=pt" 
"S0104-42302015000500458-scl","Single-nucleotide polymorphisms: a perspective of cardiovascular prevention","Grezzana, Guilherme Brasil, Vieira, José Luiz da Costa, Portal, Vera Lúcia","Revista da Associação Médica Brasileira; 61(5); 458-468","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000500458&lang=pt" 
"S1984-46702015000500345-scl","Different collecting methods reveal different ecological groups of centipedes (Chilopoda)","Tuf, Ivan Hadrián","Zoologia (Curitiba); 32(5); 345-350","Zoologia (Curitiba)","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702015000500345&lang=pt" 
"S0104-42302015000500440-scl","Management of exogenous intoxication by carbamates and organophosphates at an emergency unit","Leão, Sydney Correia, Araújo, José Fernandes de, Silveira, Alessandro Rodrigues, Queiroz, Alex André Ferreira, Souto, Maria Júlia Silveira, Almeida, Rodrigo Oliveira, Maciel, Diego Carvalho, Rodrigues, Tânia Maria de Andrade","Revista da Associação Médica Brasileira; 61(5); 440-445","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000500440&lang=pt" 
"S1984-46702015000500329-scl","The island rule in the Brazilian frog Phyllodytes luteolus (Anura: Hylidae): incipient gigantism?","Mageski, Marcio, Ferreira, Rodrigo B., Jesus, Paulo R., Costa, Larissa C. da, Roper, James J., Ferreira, Paulo D.","Zoologia (Curitiba); 32(5); 329-333","Zoologia (Curitiba)","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702015000500329&lang=pt" 
"S0104-42302015000500403-scl","The future of physicians and their relationship with patients","Magi, João Carlos","Revista da Associação Médica Brasileira; 61(5); 403-403","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000500403&lang=pt" 
"S0104-42302015000500469-scl","Clinical management of incidental findings on pelvic adnexal masses","Dias, Daniel Spadoto, Bueloni-Dias, Flávia Neves, Delmanto, Armando, Tonon, Ângela Favorito Santarém, Tayfour, Najla Mohamad, Traiman, Paulo, Dias, Rogério","Revista da Associação Médica Brasileira; 61(5); 469-473","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000500469&lang=pt" 
"S1984-46702015000500334-scl","Determinants of capture-recapture success: an evaluation of trapping methods to estimate population and community parameters for Atlantic forest small mammals","Barros, Camila S., Püttker, Thomas, Pinotti, Bruno T., Pardini, Renata","Zoologia (Curitiba); 32(5); 334-344","Zoologia (Curitiba)","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702015000500334&lang=pt" 
"S0104-42302015000500423-scl","Quality of life evaluation of frail elderly in Campinas, São Paulo","Varela, Flávia Regina de Andrade, Ciconelli, Rozana Mesquita, Campolina, Alessandro Gonçalves, Soarez, Patricia Coelho de","Revista da Associação Médica Brasileira; 61(5); 423-430","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000500423&lang=pt" 
"S0104-42302015000500446-scl","Single-port laparoscopic hysterectomy: preliminary results","Tormena, Renata Assef, Ribeiro, Sérgio Conti, Maciel, Gustavo Arantes, Baracat, Edmund Chada","Revista da Associação Médica Brasileira; 61(5); 446-451","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000500446&lang=pt" 
"S0104-42302015000500404-scl","Complication of post-infectious bronchiolitis obliterans (Swyer-James syndrome)","Vieira, Gabriel de Deus, Yamagishi, Alessandra Yukari, Vieira, Natália Nogueira, Fogaça, Rebeka Mayara Miranda Dias, Alves, Thaianne da Cunha, Amaral, Gisele Megale Brandão Gurgel, Sousa, Camila Maciel de","Revista da Associação Médica Brasileira; 61(5); 404-406","Revista da Associação Médica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302015000500404&lang=pt" 
