"S0870-71032011000600014-prt","Anti-hipertensor no doente diabético, qual o melhor período do dia para a sua toma?","Galhardo, Mara, Barros, Joana","Revista Portuguesa de Clínica Geral; 27(6); 564-566","Revista Portuguesa de Clínica Geral","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-71032011000600014&lang=pt" 
"S0870-71032011000600015-prt","Novas recomendações na prevenção da morte súbita do lactente","Neves, Camila Mota","Revista Portuguesa de Clínica Geral; 27(6); 566-568","Revista Portuguesa de Clínica Geral","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-71032011000600015&lang=pt" 
"S0074-02762011000700007-scl","Towards an understanding of the epigenetics of schistosomes: a comparative epigenomic study","Lepesant, Julie Mireille Joé, Grunau, Christoph, Cosseau, Céline","Memórias do Instituto Oswaldo Cruz; 106(7); 823-830","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000700007&lang=pt" 
"S0074-02762011000700013-scl","Evolutionary histories of expanded peptidase families in Schistosoma mansoni","Silva, Larissa Lopes, Marcet-Houben, Marina, Zerlotini, Adhemar, Gabaldón, Toni, Oliveira, Guilherme, Nahum, Laila Alves","Memórias do Instituto Oswaldo Cruz; 106(7); 864-877","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000700013&lang=pt" 
"S1688-42212011000200009-ury","EL USO COMPARTIDO DE LA EMOCIÓN: ¿PORQUÉ NECESITAMOS COMPARTIR LAS EMOCIONES?","Martínez Sánchez, Francisco","Ciencias Psicológicas; 5(2); 201-212","Ciencias Psicológicas","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212011000200009&lang=pt" 
"S1688-42212011000200001-ury","Editorial","Daset, Lilian R.","Ciencias Psicológicas; 5(2); 135-136","Ciencias Psicológicas","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212011000200001&lang=pt" 
"S1688-42212011000200007-ury","LOS TRASTORNOS DEL ESPECTRO AUTISTA Y GENERALES DEL DESARROLLO: INCLUSIÓN SOCIAL Y CALIDAD DE VIDA","Baña, Manoel","Ciencias Psicológicas; 5(2); 183-191","Ciencias Psicológicas","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212011000200007&lang=pt" 
"S1688-42212011000200006-ury","IN MEMORIAM PROFESOR MARIO SILVA GARCÍA","Lapoujade, María Noel","Ciencias Psicológicas; 5(2); 181-182","Ciencias Psicológicas","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212011000200006&lang=pt" 
"S1688-42212011000200010-ury","ÉTICA EMPRESARIAL Y LABORAL: Los fundamentos y su aplicación","França-Tarragó, Omar","Ciencias Psicológicas; 5(2); 215-215","Ciencias Psicológicas","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212011000200010&lang=pt" 
"S1688-42212011000200011-ury","AYUDANDO A FUTUROS LECTORES: Segunda Edición Revisada y Actualizada","Trías, Daniel","Ciencias Psicológicas; 5(2); 217-217","Ciencias Psicológicas","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212011000200011&lang=pt" 
"S1688-42212011000200012-ury","Actividades 2011","","Ciencias Psicológicas; 5(2); 221-221","Ciencias Psicológicas","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212011000200012&lang=pt" 
"S1688-42212011000200008-ury","EL NIÑO DISLÉXICO Y SU ENTORNO EDUCATIVO. PERCEPCIONES Y REPRESENTACIONES SOBRE LA DISLEXIA","Antognazza, María Paula, González Tornaría, María del Luján","Ciencias Psicológicas; 5(2); 193-200","Ciencias Psicológicas","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212011000200008&lang=pt" 
"S1688-42212011000200003-ury","OPTIMISMO Y PERCEPCIÓN DE LA ACTIVIDAD FÍSICA EN USUARIOS DE UNA PLAZA URBANA DE MONTEVIDEO","Tutte Vallarino, Verónica, del Campo Vega, Cecilia","Ciencias Psicológicas; 5(2); 151-157","Ciencias Psicológicas","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212011000200003&lang=pt" 
"S1688-42212011000200005-ury","PROPIEDADES PSICOMÉTRICAS DE UNA PRUEBA EXPERIMENTAL PARA LA EVALUACIÓN DEL NIVEL ORTOGRÁFICO","Costa Ball, Daniel, Palombo, Ana Laura, Cuadro, Ariel","Ciencias Psicológicas; 5(2); 167-178","Ciencias Psicológicas","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212011000200005&lang=pt" 
"S1688-42212011000200004-ury","ORIENTACIONES MOTIVACIONALES, RENDIMIENTO ACADÉMICO Y GÉNERO EN ESTUDIANTES DE BACHILLERATO","Alemán, María José, Trías, Daniel, Curione, Karina","Ciencias Psicológicas; 5(2); 159-166","Ciencias Psicológicas","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212011000200004&lang=pt" 
"S1688-42212011000200002-ury","TEORÍAS IMPLÍCITAS DEL LIDERAZGO MASCULINO Y FEMENINO SEGÚN ÁMBITO DE DESEMPEÑO","Lupano Perugini, María Laura, Castro Solano, Alejandro","Ciencias Psicológicas; 5(2); 139-150","Ciencias Psicológicas","Espanhol","2011","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212011000200002&lang=pt" 
"S0718-560X2011000300001-chl","Fotoprotección antioxidante no-enzimática contra el potencial daño inducido por UVBR en una diatomea antártica (Thalassiosira sp.)","Hernando, Marcelo, Malanga, Gabriela, Puntarulo, Susana, Ferreyra, Gustavo","Latin american journal of aquatic research; 39(3); 397-408","Latin american journal of aquatic research","Inglês","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2011000300001&lang=pt" 
