"S0104-14282007000300006-scl","Desempenho de filmes multicamadas em embalagens termoformadas","Crippa, Agnaldo, Sydenstricker, Thais H. D., Amico, Sandro C.","Polímeros; 17(3); 188-193","Polímeros","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282007000300006&lang=pt" 
"S0104-14282007000300008-scl","Evaluación de la degradación ambiental de materiales termoplásticos empleados en labores agrícolas en el cultivo de banano en Colombia","Mejía, José L., Kerguelén, Herbert, Gil, Angélica, Gañán, Piedad","Polímeros; 17(3); 201-205","Polímeros","Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282007000300008&lang=pt" 
"S0104-14282007000300009-scl","Characterization of an electrospinning process using different PAN/DMF concentrations","Gomes, Demetrius S., Silva, Ana N. R. da, Morimoto, Nilton I., Mendes, Luiz T. F., Furlan, Rogerio, Ramos, Idalia","Polímeros; 17(3); 206-211","Polímeros","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282007000300009&lang=pt" 
"S0104-14282007000300015-scl","Atrito e desgaste de recobrimentos de PET, politeraftalato de etileno, pós-consumo processados por aspersão térmica","Nunes, Rogério A. X., Sade, Wagner, Branco, José Roberto T.","Polímeros; 17(3); 244-249","Polímeros","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282007000300015&lang=pt" 
"S0104-14282007000300012-scl","Substituição de amianto por silicato de alumínio e grafite expansível em compósito de poliuretano utilizado em motor-foguete","Crespim, Henrique, Azevedo, Margarete F. P., David, Luis H., Cassu, Silvana N., Lourenço, Vera L.","Polímeros; 17(3); 228-233","Polímeros","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282007000300012&lang=pt" 
"S0104-14282007000300014-scl","Uso da cinza da casca de arroz como carga em matrizes de poliamida 6 e poliamida 6.6","Ferro, Waldir P., Silva, Leonardo G. A. e, Wiebeck, Hélio","Polímeros; 17(3); 240-243","Polímeros","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282007000300014&lang=pt" 
"S0102-37722007000300001-scl","Ciência, poesia e editoração científica","","Psicologia: Teoria e Pesquisa; 23(3); iii-iv","Psicologia: Teoria e Pesquisa","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722007000300001&lang=pt" 
"S0102-37722007000300016-scl","Resenha: família e drogas: prática e teoria a serviço da prevenção","Silva, Eduardo Chaves da, Guimarães, Fabrício","Psicologia: Teoria e Pesquisa; 23(3); 357-358","Psicologia: Teoria e Pesquisa","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722007000300016&lang=pt" 
"S0102-37722007000300002-scl","Família e creche: crenças a respeito de temperamento e desempenho de bebês","Melchiori, Lígia Ebner, Alves, Zélia Maria Mendes Biasoli, Souza, Dayana Coelho, Bugliani, Maria Aparecida Priolli","Psicologia: Teoria e Pesquisa; 23(3); 245-252","Psicologia: Teoria e Pesquisa","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722007000300002&lang=pt" 
"S0102-37722007000300007-scl","Fatores associados aos problemas de saúde mental em adolescentes","Avanci, Joviana Q., Assis, Simone G., Oliveira, Raquel V. C., Ferreira, Renata M., Pesce, Renata P.","Psicologia: Teoria e Pesquisa; 23(3); 287-294","Psicologia: Teoria e Pesquisa","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722007000300007&lang=pt" 
"S0102-37722007000300009-scl","Interação entre extroversão e conhecimento astrológico em estudantes brasileiros","Pacheco, Anna Mathilde, Nagelschmidt, Chaves, Rodrigues, Paulo Roberto Grangeiro","Psicologia: Teoria e Pesquisa; 23(3); 305-312","Psicologia: Teoria e Pesquisa","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722007000300009&lang=pt" 
