"S0102-09352009000300034-scl","Aspectos radiográficos de condrodistrofia felina","Feliciano, M.A.R., Leite, C.A.L., Vicente, W.R.R., Silveira, T.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 755-757","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300034&lang=pt" 
"S0004-282X2009000300003-scl","Clinical and socio-demographic characteristics of persons with traumatic paraplegia living in São Paulo, Brazil","Blanes, Leila, Lourenço, Lana, Carmagnani, Maria Isabel Sampaio, Ferreira, Lydia Masako","Arquivos de Neuro-Psiquiatria; 67(2b); 388-390","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300003&lang=pt" 
"S0004-282X2009000300006-scl","Retrocollis, anterocollis or head tremor may predict the spreading of dystonic movements in primary cervical dystonia","Godeiro-Junior, Clecio, Felício, Andre Carvalho, Aguiar, Patrícia Maria de Carvalho, Borges, Vanderci, Silva, Sonia Maria Azevedo, Ferraz, Henrique Ballalai","Arquivos de Neuro-Psiquiatria; 67(2b); 402-406","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300006&lang=pt" 
"S0004-282X2009000300035-scl","Progressive primary form of multiple sclerosis: clinical and radiological improvement with methylprednisolone in continuous pulsetherapy in one case for 16 years","Araujo, Edmar A.S., Freitas, Marcos R.G. de, Santos, Alair Augusto S.M.D., Araújo, Marcos Antonio","Arquivos de Neuro-Psiquiatria; 67(2b); 536-538","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300035&lang=pt" 
"S0004-282X2009000300034-scl","A rare case of olfactory groove schwannoma","Figueiredo, Eberval Gadelha, Gomes, Marcos Q.T., Soga, Youji, Amorim, Robson L.O., Rosemberg, Sérgio, Teixeira, Manoel Jacobsen","Arquivos de Neuro-Psiquiatria; 67(2b); 534-535","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300034&lang=pt" 
"S0004-282X2009000300011-scl","EEG alpha peak frequency analysis during memorizing of figures in patients with mild cognitive impairment","Schmidt, Magali Taimo, Anghinah, Renato, Basile, Luis Fernando, Forlenza, Oreste, Gattaz, Wagner Faride","Arquivos de Neuro-Psiquiatria; 67(2b); 428-431","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300011&lang=pt" 
"S0004-282X2009000300030-scl","Fulminant idiopathic intracranial hypertension in a pediatric patient following a minor head trauma","Lin, Jaime, Fernandes, Joelma Karin Sagica, Faria, Chiconelli, Pinho, Ricardo Silva, Masruha, Marcelo Rodrigues, Vilanova, Luiz Celso Pereira","Arquivos de Neuro-Psiquiatria; 67(2b); 519-522","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300030&lang=pt" 
"S0004-282X2009000300029-scl","An unusual case of Fahr&#039;s disease","Cavalcanti-Mendes, George de Albuquerque, Carvalho, Gervásio Teles C. de, Christo, Paulo Pereira, Malloy-Diniz, Leandro F., Sousa, Atos Alves de","Arquivos de Neuro-Psiquiatria; 67(2b); 516-518","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300029&lang=pt" 
"S0004-282X2009000300027-scl","Acute cerebral infarction in watershed distribution in a patient with hypereosinophilic syndrome","Perini, Guilherme Fleury, Kassab, Carolina, Bley, Claudia, Monzillo, Paulo Hélio, Thomaz, Rodrigo Barbosa, Hamerschlak, Nelson","Arquivos de Neuro-Psiquiatria; 67(2b); 510-512","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300027&lang=pt" 
"S0004-282X2009000300026-scl","Menkes disease as a differential diagnosis of child abuse","Arita, Juliana Harumi, Faria, Eliete Chiconelli, Peruchi, Mirella Maccarini, Lin, Jaime, Rodrigues Masruha, Marcelo, Vilanova, Luiz Celso Pereira","Arquivos de Neuro-Psiquiatria; 67(2b); 507-509","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300026&lang=pt" 
"S0004-282X2009000300025-scl","Anhidrosis as the first sign of Ross Syndrome","Xavier, Marcus H.S.B, Porto, Fábio H.G., Pereira, Gabrilela B., Quevedo, Luiz Peres, Freitas, Paula M. de, Nascimento, Osvaldo J.M. do, Freitas, Marcos R.G. de","Arquivos de Neuro-Psiquiatria; 67(2b); 505-506","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300025&lang=pt" 
