"S1413-77042005000100005-scl","O imperialismo, passado e presente","Amin, Samir","Tempo; 9(18); 77-123","Tempo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042005000100005&lang=pt" 
"S1413-77042005000100006-scl","Retórica e ação política: a complexio no Pro Roscio Amerino de Marco Túlio Cícero","Rosa, Claudia Beltrão da","Tempo; 9(18); 125-145","Tempo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042005000100006&lang=pt" 
"S1413-77042005000100008-scl","A cultura da violência: os crimes na Comarca do Rio das Mortes - Minas Gerais Século XIX","Vellasco, Ivan de Andrade","Tempo; 9(18); 171-195","Tempo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042005000100008&lang=pt" 
"S1413-77042005000100007-scl","Primeiro Congresso de História Nacional: breve balanço da atividade historiográfica no alvorecer do século XX","Guimarães, Lucia Maria Paschoal","Tempo; 9(18); 147-170","Tempo","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042005000100007&lang=pt" 
"S0103-21002005000200014-scl","Instrumento para a abordagem psicossocial do indivíduo e da família na assistência domiciliar: condições de aplicabilidade","Püschel, Vilanice Alves de Araújo, Ide, Cilene Aparecida Costardi, Chaves, Eliane Corrêa","Acta Paulista de Enfermagem; 18(2); 203-212","Acta Paulista de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002005000200014&lang=pt" 
"S0103-21002005000200009-scl","Padrão alimentar de crianças de 6 a 24 meses em área rural do Maranhão","Sousa, Francisca Georgina Macedo de, Araújo, Thelma Leite de","Acta Paulista de Enfermagem; 18(2); 172-177","Acta Paulista de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002005000200009&lang=pt" 
"S0103-21002005000200003-scl","Depressão: uma possível consequência adversa do trauma crânio-encefálico para o cuidador familiar","Serna, Edilene Curvelo Hora, Sousa, Regina Márcia Cardoso de","Acta Paulista de Enfermagem; 18(2); 131-135","Acta Paulista de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002005000200003&lang=pt" 
"S0103-21002005000200008-scl","O planejamento estratégico situacional no ensino do gerenciamento em enfermagem","Melleiro, Marta Maria, Tronchin, Daisy Maria Rizatto, Ciampone, Maria Helena Trench","Acta Paulista de Enfermagem; 18(2); 165-171","Acta Paulista de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002005000200008&lang=pt" 
"S0103-21002005000200007-scl","Construção de um instrumento de coleta de dados de enfermagem em ginecologia","Soares, Lenir Honório, Pinelli, Francisca das Graças Salazar, Abrão, Ana Cristina Freitas de Vilhena","Acta Paulista de Enfermagem; 18(2); 156-164","Acta Paulista de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002005000200007&lang=pt" 
"S0103-21002005000200013-scl","Definições operacionais das características definidoras do diagnóstico de enfermagem Volume de Líquidos Excessivo","Boery, Rita Narriman Silva de Oliveira, Guimarães, Heloisa Cristina Quatrini Carvalho Passos, Barros, Alba Lúcia Bottura Leite de","Acta Paulista de Enfermagem; 18(2); 197-202","Acta Paulista de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002005000200013&lang=pt" 
"S0103-21002005000200016-scl","Primeiros Socorros para criança: relato de experiência","Andraus, Lourdes Maria Silva, Minamisava, Ruth, Borges, Ida Kuroki, Barbosa, Maria Alves","Acta Paulista de Enfermagem; 18(2); 220-225","Acta Paulista de Enfermagem","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002005000200016&lang=pt" 
