"S0004-282X2015001201047-scl","The clival canal","Campos, Deivis de, Jotz, Geraldo Pereira, Goulart, Guilherme Reghelin, Malysz, Tais","Arquivos de Neuro-Psiquiatria; 73(12); 1047-1047","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001201047&lang=pt" 
"S0080-62342015000600878-scl","Challenges of Nursing in the context of the Development Agenda post-2015","Mendes, Isabel Amélia Costa","Revista da Escola de Enfermagem da USP; 49(6); 878-879","Revista da Escola de Enfermagem da USP","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000600878&lang=pt" 
"S0004-282X2015001201044-scl","Non-aneurysmal non-traumatic subarachnoid hemorrhage: think also in acute promyelocytic leukemia","Pinto, Wladimir Bocca Vieira de Rezende, Souza, Paulo Victor Sgobbi de, Santos, Adrialdo José","Arquivos de Neuro-Psiquiatria; 73(12); 1044-1044","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001201044&lang=pt" 
"S0004-282X2015001201014-scl","Longer epilepsy duration and multiple lobe involvement predict worse seizure outcomes for patients with refractory temporal lobe epilepsy associated with neurocysticercosis","Meguins, Lucas Crociati, Adry, Rodrigo Antônio Rocha da Cruz, Silva Júnior, Sebastião Carlos da, Pereira, Carlos Umberto, Oliveira, Jean Gonçalves de, Morais, Dionei Freitas de, Araújo Filho, Gerardo Maria de, Marques, Lúcia Helena Neves","Arquivos de Neuro-Psiquiatria; 73(12); 1014-1018","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015001201014&lang=pt" 
"S0104-64972015000200107-scl","A proposal to synonymize the freshwater crab Hypolobocera olgaluciae Ramos-Tafur and Ríos, 2007 with Hypolobocera buenaventurensis (Rathbun, 1905) from Colombia(Crustacea: Decapoda: Pseudothelphusidae)","Acevedo, Ada, Campos, Martha R.","Nauplius; 23(2); 107-111","Nauplius","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-64972015000200107&lang=pt" 
"S0104-64972015000200120-scl","Conquering new territories in the &quot;new world&quot;: the alien shrimp Athanas dimorphus Ortmann, 1894 (Decapoda: Alpheidae) on the coast of Pernambuco, northeastern Brazil","Almeida, Alexandre Oliveira, Costa-Souza, Ana Carla, Soledade, Guidomar Oliveira, Santos, Patricia Souza","Nauplius; 23(2); 120-124","Nauplius","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-64972015000200120&lang=pt" 
"S0037-86822015000600783-scl","Severe dengue in the early postoperative period after kidney transplantation: two case reports from Hospital Geral de Fortaleza","Maia, Samuelson Hugo Félix, Brasil, Ivelise Regina Canito, Esmeraldo, Ronaldo De Matos, Ponte, Carlos Nelton Da, Costa, Rebeca Carvalho Souza, Lira, Roberta Alves","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 783-785","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600783&lang=pt" 
"S0037-86822015000600724-scl","Diagnosis of latent Mycobacterium tuberculosis infection: tuberculin test versus interferon-gamma release","Ferreira, Thaís Furtado, Matsuoka, Pollyanna da Fonseca Silva, Santos, Alcione Miranda dos, Caldas, Arlene de Jesus Mendes","Revista da Sociedade Brasileira de Medicina Tropical; 48(6); 724-730","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822015000600724&lang=pt" 
"S0104-64972015000200112-scl","A new species of Trichorhina Budde-Lund, 1908 (Isopoda: Oniscidea: Platyarthridae) from Paraná caves, southern Brazil","Campos-Filho, Ivanklin Soares, Mise, Kleber Makoto, Sessegolo, Gisele Cristina","Nauplius; 23(2); 112-119","Nauplius","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-64972015000200112&lang=pt" 
"S0104-64972015000200159-scl","Reproductive aspects of Hyalella carstica (Amphipoda: Hyalellidae) in a natural environment in southeastern Brazil","Torres, Silvia Helena Soares, Bastos-Pereira, Rafaela, Bueno, Alessandra Angélica de Pádua","Nauplius; 23(2); 159-165","Nauplius","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-64972015000200159&lang=pt" 
"S0104-64972015000200125-scl","Primitive decapods from the deep sea: first record of blind lobsters (Crustacea: Decapoda: Polychelidae) in northeastern Brazil","Bezerra, Luis Ernesto Arruda, Ribeiro, Felipe Bezerra","Nauplius; 23(2); 125-131","Nauplius","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-64972015000200125&lang=pt" 
