"S0042-96862007000700012-spa","Unfulfilled potential: using diethylcarbamazine-fortified salt to eliminate lymphatic filariasis","Lammie, Patrick, Milner, Trevor, Houston, Robin","Bulletin of the World Health Organization; 85(7); 545-549","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700012&lang=pt" 
"S0042-96862007000700014-spa","Antiretroviral treatment roll-out in a resource-constrained setting: capitalizing on nursing resources in Botswana","Miles, K, Clutterbuck, DJ, Seitio, O, Sebego, M, Riley, A","Bulletin of the World Health Organization; 85(7); 555-560","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700014&lang=pt" 
"S0042-96862007000700015-spa","Reducing vector-borne disease by empowering farmers in integrated vector management","van den Berg, Henk, von Hildebrand, Alexander, Ragunathan, Vaithilingam, Das, Pradeep K","Bulletin of the World Health Organization; 85(7); 561-566","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700015&lang=pt" 
"S0100-204X2007000700010-scl","Adaptabilidade e estabilidade fenotípica de genótipos de amendoim de porte ereto","Gomes, Lidinalva de Resende, Santos, Roseane Cavalcanti dos, Anunciação Filho, Clodoaldo José da, Melo Filho, Péricles de Albuquerque","Pesquisa Agropecuária Brasileira; 42(7); 985-989","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700010&lang=pt" 
"S0100-204X2007000700015-scl","Desempenho de tratores agrícolas em tração","Serrano, João Manuel Pereira Ramalho","Pesquisa Agropecuária Brasileira; 42(7); 1021-1027","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700015&lang=pt" 
"S0100-204X2007000700019-scl","Citogenética de Piper hispidinervum e Piper aduncum","Nunes, Juliane Dornellas, Torres, Giovana Augusta, Davide, Lisete Chamma, Salgado, Caio Césio","Pesquisa Agropecuária Brasileira; 42(7); 1049-1052","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700019&lang=pt" 
"S0100-204X2007000700020-scl","Produção de cultivares de nespereira na região Leste paulista","Pio, Rafael, Dall&#039;Orto, Fernando Antônio Campo, Barbosa, Wilson, Chagas, Edvan Alves, Ojima, Mário, Cia, Patríca","Pesquisa Agropecuária Brasileira; 42(7); 1053-1056","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700020&lang=pt" 
"S0042-96862007000700013-spa","True outcomes for patients on antiretroviral therapy who are &quot;lost to follow-up&quot; in Malawi","Yu, Joseph Kwong-Leung, Chen, Solomon Chih-Cheng, Wang, Kuo-Yang, Chang, Chao-Sung, Makombe, Simon D, Schouten, Erik J, Harries, Anthony D","Bulletin of the World Health Organization; 85(7); 550-554","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700013&lang=pt" 
"S0042-96862007000700001-spa","In this month’s Bulletin","","Bulletin of the World Health Organization; 85(7); 501-501","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700001&lang=pt" 
"S0100-204X2007000700016-scl","Produtividade de arroz irrigado e eficiênciade uso do nitrogênio influenciadas pela fertilização nitrogenada","Fageria, Nand Kumar, Santos, Alberto Baêta dos, Cutrim, Veridiano dos Anjos","Pesquisa Agropecuária Brasileira; 42(7); 1029-1034","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700016&lang=pt" 
"S0100-204X2007000700001-scl","Plant compounds insecticide activity against Coleoptera pests of stored products","Moreira, Márcio Dionizio, Picanço, Marcelo Coutinho, Barbosa, Luiz Cláudio de Almeida, Guedes, Raul Narciso Carvalho, Campos, Mateus Ribeiro de, Silva, Gerson Adriano, Martins, Júlio Cláudio","Pesquisa Agropecuária Brasileira; 42(7); 909-915","Pesquisa Agropecuária Brasileira","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000700001&lang=pt" 
