"S0253-29481998000300013-cri","Prolactinoma resistente a bromocriptina: informe de un caso","Castro A, Virya, Montvelisky K, Herman","Revista Costarricense de Ciencias Médicas; 19(3-4); 237-241","Revista Costarricense de Ciencias Médicas","Espanhol","1998","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0253-29481998000300013&lang=pt" 
"S0253-29481998000300014-cri","Parasitismo en un precario de San José, Costa Rica","Hernández, Francisco, León, Denis, Brenes, Ana, Robinson, Christofer","Revista Costarricense de Ciencias Médicas; 19(3-4); 245-247","Revista Costarricense de Ciencias Médicas","Espanhol","1998","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0253-29481998000300014&lang=pt" 
"S0253-29481998000300015-cri","Hacer frente al SIDA: prioridades de la acción pública ante una epidemia mundial","Boza, Ricardo","Revista Costarricense de Ciencias Médicas; 19(3-4); 251-251","Revista Costarricense de Ciencias Médicas","Espanhol","1998","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0253-29481998000300015&lang=pt" 
"S0138-65571998000200001-cub","Aspectos clínicos y evolutivos en la hepatitis aguda recidivante o bifásica por virus A","Pérez Lorenzo, Marlén, Brizuela Quintanilla, Raúl A., Angulo Pérez, Omar, García González, Ernesto, Fábregas Rodríguez, Carlos","Revista Cubana de Medicina Militar; 27(2); 73-78","Revista Cubana de Medicina Militar","Espanhol","1998","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65571998000200001&lang=pt" 
"S0138-65571998000200002-cub","Estudio clínico, imagenológico y resultados quirúrgicos en 562 pacientes operados de hernia discal lumbar","Felipe Morán, Armando, De Jongh Díaz, Luis F., Solomón Cardona, Maité, Fernández Melo, Ramses","Revista Cubana de Medicina Militar; 27(2); 79-84","Revista Cubana de Medicina Militar","Espanhol","1998","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65571998000200002&lang=pt" 
"S0138-65571998000200003-cub","Actualidad y perspectivas de la farmacología de drogas antibacterianas","Céspedes Valcárcel, Alfredo J., Portal González, Pablo F.","Revista Cubana de Medicina Militar; 27(2); 85-93","Revista Cubana de Medicina Militar","Espanhol","1998","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65571998000200003&lang=pt" 
"S0138-65571998000200004-cub","Evaluación neurofisiológica en la enfermedad discal lumbar","Velázquez Pérez, Luis, Medina Herrera, Esther E.","Revista Cubana de Medicina Militar; 27(2); 94-100","Revista Cubana de Medicina Militar","Espanhol","1998","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65571998000200004&lang=pt" 
"S0138-65571998000200005-cub","Evaluación de la actividad bioeléctrica cerebral en un modelo biológico de epilepsia","Guerrero Abreu, Jacqueline, Pérez Alejo, José L., Hernández Rodríguez, Héctor","Revista Cubana de Medicina Militar; 27(2); 101-105","Revista Cubana de Medicina Militar","Espanhol","1998","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65571998000200005&lang=pt" 
"S0138-65571998000200006-cub","Valoración in vitro de discos para antibiogramas de producción nacional","Nodarse Hernández, Rafael","Revista Cubana de Medicina Militar; 27(2); 106-112","Revista Cubana de Medicina Militar","Espanhol","1998","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65571998000200006&lang=pt" 
"S0138-65571998000200007-cub","Tratamiento de las heridas craneoencefálicas y raquimedulares en la guerra","Salas Rubio, José H.","Revista Cubana de Medicina Militar; 27(2); 113-123","Revista Cubana de Medicina Militar","Espanhol","1998","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65571998000200007&lang=pt" 
"S0138-65571998000200008-cub","El herido ocular en las contiendas bélicas","Martínez Ribalta, Jorge","Revista Cubana de Medicina Militar; 27(2); 124-132","Revista Cubana de Medicina Militar","Espanhol","1998","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65571998000200008&lang=pt" 
"S0138-65571998000200009-cub","Consideraciones y proceder quirúrgico en las heridas craneocerebrales por Arpón","Gil Cruz, Juan, Acosta Rivas, Carlos, Felipe Morán, Armando, Alemán, Armando, Pérez Varona, Francisco","Revista Cubana de Medicina Militar; 27(2); 133-140","Revista Cubana de Medicina Militar","Espanhol","1998","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65571998000200009&lang=pt" 
"S0138-65571998000200010-cub","Enfermedad de Kienböck bilateral","Leyva Basterrechea, Francisco, González Pacheco, Arturo","Revista Cubana de Medicina Militar; 27(2); 141-145","Revista Cubana de Medicina Militar","Espanhol","1998","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65571998000200010&lang=pt" 
