"S1415-52732017000100091-scl","Evaluation of a mobile application for estimation of food intake","MESCOLOTO, Samantha Bittencourt, CAIVANO, Simone, DOMENE, Semíramis Martins Álvares","Revista de Nutrição; 30(1); 91-98","Revista de Nutrição","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732017000100091&lang=pt" 
"S1415-52732017000100001-scl","Scenario of research on Food Service in Brazil","CAMPOS, Flávia Milagres, PRADO, Shirley Donizete, KRAEMER, Fabiana Bom, FERREIRA, Francisco Romão, CARVALHO, Maria Cláudia da Veiga Soares","Revista de Nutrição; 30(1); 1-12","Revista de Nutrição","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732017000100001&lang=pt" 
"S1415-52732017000100023-scl","Vitamin C decreases the obesogenic and hyperglycemic effect of invert sugar in prediabetic rats","MOLZ, Patrícia, RAEL, Alana Nunes, FISCHER, Maiara de Queiroz, LIMBERGER, Luana Beatriz, PRÁ, Daniel, FRANKE, Silvia Isabel Rech","Revista de Nutrição; 30(1); 23-32","Revista de Nutrição","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732017000100023&lang=pt" 
"S1415-52732017000100057-scl","Nutritional status variation and intestinal and extra intestinal symptomatology in patients with celiac disease and non-celiac gluten sensitivity given specialized dietary advice","RIBEIRO, Priscila Vaz de Melo, SANTOS, Andreza de Paula, ANDREOLI, Cristiana Santos, RIBEIRO, Sônia Machado Rocha, JORGE, Mônica de Paula, MOREIRA, Ana Vládia Bandeira","Revista de Nutrição; 30(1); 57-67","Revista de Nutrição","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732017000100057&lang=pt" 
"S1415-52732017000100099-scl","Ketogenic food pyramid for patients with refractory epilepsy: From theory to clinical practice","PRUDENCIO, Mariana Baldini, LIMA, Patricia de Azevedo, FREITAS, Maria Camila Pruper de, CARTOLANO, Flávia de Conti, MURAKAMI, Daniela Kawamoto, DAMASCENO, Nágila Raquel Teixeira","Revista de Nutrição; 30(1); 99-108","Revista de Nutrição","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732017000100099&lang=pt" 
"S1415-52732017000100013-scl","Intestinal absorption of iron and calcium from soy and cow&#039;s milk-based infant formulas in weanling rats pups","SILVA, Maisa de Lima Correia, SPERIDIÃO, Patrícia da Graça Leite, MARCIANO, Renata, AMÂNCIO, Olga Maria Silvério, MORAIS, Tânia Beninga de, MORAIS, Mauro Batista de","Revista de Nutrição; 30(1); 13-22","Revista de Nutrição","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732017000100013&lang=pt" 
"S1415-52732017000100033-scl","Associated factors of malnutrition among African children under five years old, Bom Jesus, Angola","FERNANDES, Ema Cândida Branco, CASTRO, Teresa Gontijo de, SARTORELLI, Daniela Saes","Revista de Nutrição; 30(1); 33-44","Revista de Nutrição","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732017000100033&lang=pt" 
"S1415-52732017000100069-scl","Excessive maternal weight and practice of exclusive breastfeeding among women of low socioeconomic status","DALLAZEN, Camila, VÍTOLO, Márcia Regina","Revista de Nutrição; 30(1); 69-77","Revista de Nutrição","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732017000100069&lang=pt" 
"S1415-52732017000100109-scl","Modeling of Food and Nutrition Surveillance in Primary Health Care","VITORINO, Santuzza Arreguy Silva, CRUZ, Marly Marques da, BARROS, Denise Cavalcante de","Revista de Nutrição; 30(1); 109-126","Revista de Nutrição","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732017000100109&lang=pt" 
"S1676-24442017000100013-scl","Molecular technique for detection and identification of Helicobacter pylori in clinical specimens: a comparison with the classical diagnostic method","Nevoa, Jéssica C., Rodrigues, Roger Luiz, Menezes, Gabriela L., Lopes, Andressa R., Nascimento, Hemelly F., Santiago, Silvana B., Morelli, Marcos L., Barbosa, Monica S.","Jornal Brasileiro de Patologia e Medicina Laboratorial; 53(1); 13-19","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442017000100013&lang=pt" 
"S2358-04292017000100003-scl","Patellar denervation for Anterior Knee Pain Management in Knee Arthroplasty","Sadigursky, David, Sampaio, Felipe Magalhães, Andrade, Eron Silva, Almeida, Perseu Ribeiro, Pinheiro, Magda Leão, Mendes, Matheus Vasconcelos Goes, Queiroz, Gustavo Castro de","MedicalExpress; 4(1); -","MedicalExpress","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2358-04292017000100003&lang=pt" 
