"S0138-600X2008000300004-cub","Aspectos relacionados con la vacuna contra el virus del Papiloma humano","Cabezas Cruz, Evelio","Revista Cubana de Obstetricia y Ginecología; 34(3); -","Revista Cubana de Obstetricia y Ginecología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2008000300004&lang=pt" 
"S0138-600X2008000300005-cub","Aborto en la adolescencia: Consideraciones bioéticas en torno a la decisión de abortar","Peláez Mendoza, Jorge","Revista Cubana de Obstetricia y Ginecología; 34(3); -","Revista Cubana de Obstetricia y Ginecología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2008000300005&lang=pt" 
"S0138-600X2008000300006-cub","Sexualidad y reproducción en adolescentes","Díaz Curbelo, Aliucha, Aliño Santiago, Miriam, Velasco Boza, Alejandro, Rodríguez Cárdenas, Antonio, Rodríguez Tahuile, Vivian","Revista Cubana de Obstetricia y Ginecología; 34(3); -","Revista Cubana de Obstetricia y Ginecología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2008000300006&lang=pt" 
"S0138-600X2008000300007-cub","Empleo de Misoprostol para inducir el aborto hasta 9 semanas","Rodríguez Cárdenas, Antonio, Rodríguez Tahuile, Vivian, Díaz Curbelo, Aliucha, Velasco Boza, lejandro, Salas Castillo, Luis","Revista Cubana de Obstetricia y Ginecología; 34(3); -","Revista Cubana de Obstetricia y Ginecología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2008000300007&lang=pt" 
"S0138-600X2008000300008-cub","Eficacia del Misoprostol en la interrupción del embarazo del 2do. trimestre","Velasco Boza, Alejandro, Rodríguez Cárdenas, Antonio, Rodríguez Tahuile, Vivian, Salas Castillo, Luis, Díaz Curbelo, Aliucha","Revista Cubana de Obstetricia y Ginecología; 34(3); -","Revista Cubana de Obstetricia y Ginecología","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2008000300008&lang=pt" 
"S0104-42302008000600001-scl","Heparinas: momento atual","Cavalheiro Filho, Cyrillo, Chamone, Dalton de Alencar Fischer, Rached, Roberto Abi, Maffei, Francisco Humberto","Revista da Associação Médica Brasileira; 54(6); 471-472","Revista da Associação Médica Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302008000600001&lang=pt" 
"S0104-42302008000600008-scl","Nutrologia: especialidade médica","Oliveira, José Eduardo Dutra de, Marchini, Julio Sérgio","Revista da Associação Médica Brasileira; 54(6); 483-485","Revista da Associação Médica Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302008000600008&lang=pt" 
"S0104-42302008000600013-scl","Resultados maternos e perinatais em pacientes com disfunção sistólica grave","Custódio, Marcelo Graziano, Yamakami, Lucas Yugo Shiguehara, Bortolotto, Maria Rita de Figueiredo Lemos, Waissman, Adriana Lippi, Zugaib, Marcelo","Revista da Associação Médica Brasileira; 54(6); 500-505","Revista da Associação Médica Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302008000600013&lang=pt" 
"S1678-58782008000400001-scl","Identification of temperature-dependent thermal properties of solid materials","Tillmann, Amanda R., Borges, Valério Luiz, Guimarães, Gilmar, Silva, Ana Lúcia F. de Lima e, Silva, Sandro M. M. de Lima e","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 30(4); 269-278","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782008000400001&lang=pt" 
"S1678-58782008000400005-scl","Timoshenko beam with uncertainty on the boundary conditions","Ritto, Thiago G., Sampaio, Rubens, Cataldo, Edson","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 30(4); 295-303","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782008000400005&lang=pt" 
"S1678-58782008000400006-scl","High Reynolds number oscillations of a circular cylinder","Hirata, Miguel H., Pereira, Luiz Antonio A., Recicar, Jan N., Moura, Washington H. de","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 30(4); 304-312","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782008000400006&lang=pt" 
