"S1852-74342010000100013-arg","Dr. Leoncio Luis Fernández","Zancolli, Eduardo A.","Revista de la Asociación Argentina de Ortopedia y Traumatología; 75(1); 107-108","Revista de la Asociación Argentina de Ortopedia y Traumatología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-74342010000100013&lang=pt" 
"S1409-00152010000100001-cri","Editorial","Paguaga López, Max","Medicina Legal de Costa Rica; 27(1); 05-05","Medicina Legal de Costa Rica","Espanhol","2010","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152010000100001&lang=pt" 
"S1409-00152010000100002-cri","La Relación Médico Paciente Hipocrática","Kvitko, Luis Alberto","Medicina Legal de Costa Rica; 27(1); 07-14","Medicina Legal de Costa Rica","Espanhol","2010","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152010000100002&lang=pt" 
"S1409-00152010000100003-cri","Accidentes de tránsito como riesgo laboral ocurridos durante los años 2006 y 2007, valorados en la sección de medicina del trabajo del Departamento de Medicina Legal","Bogantes Rojas, Josette, Garro Vargas, Karen","Medicina Legal de Costa Rica; 27(1); 17-32","Medicina Legal de Costa Rica","Espanhol","2010","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152010000100003&lang=pt" 
"S1409-00152010000100004-cri","Medidas de Bioseguridad en una sala de disección de anatomía patológica","Mena Marín, Margarita, Alpízar Calvo, Ted, Mena Umaña, Fernando","Medicina Legal de Costa Rica; 27(1); 35-39","Medicina Legal de Costa Rica","Espanhol","2010","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152010000100004&lang=pt" 
"S1409-00152010000100005-cri","Valoración en medicina del trabajo Departamento de Medicina Legal de Costa Rica","Garro Vargas, Karen","Medicina Legal de Costa Rica; 27(1); 41-50","Medicina Legal de Costa Rica","Espanhol","2010","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152010000100005&lang=pt" 
"S1409-00152010000100006-cri","Microquimerismo natural ¿Existen humanos con varios genomas?","Quirós Alpízar, José Luis, Arce Jiménez, Isabel Cristina","Medicina Legal de Costa Rica; 27(1); 51-59","Medicina Legal de Costa Rica","Espanhol","2010","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152010000100006&lang=pt" 
"S1409-00152010000100007-cri","Embriología del desarrollo de los bronquios y el parénquima pulmonar","Acuña Navas, María José, Arce Rodríguez, Enrique, Baquero Barcenas, Ana María, Bonilla Mora, William, Coto Chinchilla, Karla, Guerrero Gamboa, Laura, Gutiérrez Porras, Massiel, Jiménez Delgado, Jefry, Leitón Villagra, Carlos, Madrigal Rojas, José Pablo, Monge Carvajal, Carlos, Morales González, Fernando, Núñez Delgado, Natalia, Penón Portmann, Mónica, Quirós Castro, Ana Gabriel, Rivera Calderón, Carolina, Vargas Sanabria, Maikel","Medicina Legal de Costa Rica; 27(1); 61-74","Medicina Legal de Costa Rica","Espanhol","2010","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152010000100007&lang=pt" 
"S1409-00152010000100008-cri","Caso Anatomopatológico influenza AH1N1 en una paciente embarazada: características clínicas y patológicas","Quirós Alpízar, José Luis, Alpízar Miranda, Kattia E","Medicina Legal de Costa Rica; 27(1); 75-82","Medicina Legal de Costa Rica","Espanhol","2010","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152010000100008&lang=pt" 
"S1409-00152010000100009-cri","Riñón en herradura asociado a poliquistosis renal","Rodríguez Palomo, David, de la Paz García, Yéssica, Salazar Villanea, Roberto","Medicina Legal de Costa Rica; 27(1); 83-89","Medicina Legal de Costa Rica","Espanhol","2010","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152010000100009&lang=pt" 
"S1409-00152010000100010-cri","Normativa: Ley contra la delincuencia organizada","","Medicina Legal de Costa Rica; 27(1); 91-106","Medicina Legal de Costa Rica","Espanhol","2010","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152010000100010&lang=pt" 
"S1983-14472010000100001-scl","Tendências da pesquisa sobre o cuidado de enfermagem","Cogo, Ana Luísa Petersen, Crossetti, Maria da Graça de Oliveira","Revista Gaúcha de Enfermagem; 31(1); 8-8","Revista Gaúcha de Enfermagem","Inglês, Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472010000100001&lang=pt" 
"S1983-14472010000100004-scl","A dinâmica da família que coabita e cuida de um idoso dependente","Salgueiro, Hugo, Lopes, Manuel","Revista Gaúcha de Enfermagem; 31(1); 26-32","Revista Gaúcha de Enfermagem","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472010000100004&lang=pt" 
