"S1415-790X2008000100014-scl","Os efeitos do treinamento de força sobre os fatores de risco da síndrome metabólica","Guttierres, Ana Paula Muniz, Marins, João Carlos Bouzas","Revista Brasileira de Epidemiologia; 11(1); 147-158","Revista Brasileira de Epidemiologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2008000100014&lang=pt" 
"S1415-790X2008000100013-scl","Perfil epidemiológico das intoxicações alimentares notificadas no Centro de Atendimento Toxicológico de Campina Grande, Paraíba","Almeida, Cristiane Falcão de, Araújo, Emmanuele de Souza, Soares, Yette da Cruz, Diniz, Rafael Loureiro das Chagas, Fook, Sayonara Maria Lia, Vieira, Karlete Vânia Mendes","Revista Brasileira de Epidemiologia; 11(1); 139-146","Revista Brasileira de Epidemiologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2008000100013&lang=pt" 
"S0080-62342008000100001-scl","Novas Metas para a REEUSP","Silva, Isília Aparecida","Revista da Escola de Enfermagem da USP; 42(1); -","Revista da Escola de Enfermagem da USP","Inglês, Português, Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342008000100001&lang=pt" 
"S0080-62342008000100025-scl","Fatores de risco para incontinência urinária na mulher","Higa, Rosângela, Lopes, Maria Helena Baena de Moraes, Reis, Maria José dos","Revista da Escola de Enfermagem da USP; 42(1); 187-192","Revista da Escola de Enfermagem da USP","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342008000100025&lang=pt" 
"S0080-62342008000100027-scl","Errata","","Revista da Escola de Enfermagem da USP; 42(1); -","Revista da Escola de Enfermagem da USP","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342008000100027&lang=pt" 
"S0074-02762008000200010-scl","IgG and IgG2 antibodies from cattle naturally infected with Anaplasma marginale recognize the recombinant vaccine candidate antigens VirB9, VirB10, and elongation factor-Tu","Araújo, Flábio R, Costa, Cátia M, Ramos, Carlos AN, Farias, Thais A, Souza, Ingrid Ieda F de, Melo, Elaine SP, Elisei, Carina, Rosinha, Gracia MS, Soares, Cleber O, Fragoso, Stênio P, Fonseca, Adivaldo H","Memórias do Instituto Oswaldo Cruz; 103(2); 186-190","Memórias do Instituto Oswaldo Cruz","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762008000200010&lang=pt" 
"S0074-02762008000200005-scl","Molecular and morphological characterization of heterorhabditid entomopathogenic nematodes from the tropical rainforest in Brazil","Dolinski, Claudia, Kamitani, Fernando L, Machado, Inês R, Winter, Carlos E","Memórias do Instituto Oswaldo Cruz; 103(2); 150-159","Memórias do Instituto Oswaldo Cruz","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762008000200005&lang=pt" 
"S0074-02762008000200006-scl","Chromosome variability in the Chagas disease vector Rhodnius pallescens (Hemiptera, Reduviidae, Rhodniini)","Gómez-Palacio, Andrés, Jaramillo-Ocampo, Nicolás, Triana-Chávez, Omar, Saldaña, Azael, Calzada, José, Pérez, Ruben, Panzera, Francisco","Memórias do Instituto Oswaldo Cruz; 103(2); 160-164","Memórias do Instituto Oswaldo Cruz","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762008000200006&lang=pt" 
"S1679-62252008000100002-scl","Ituglanis mambai, a new subterranean catfish from a karst area of Central Brazil, rio Tocantins basin (Siluriformes: Trichomycteridae)","Bichuette, Maria Elina, Trajano, Eleonora","Neotropical Ichthyology; 6(1); 9-15","Neotropical Ichthyology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252008000100002&lang=pt" 
"S1679-62252008000100003-scl","Trichomycterus igobi, a new catfish species from the rio Iguaçu drainage: the largest head in Trichomycteridae (Siluriformes: Trichomycteridae)","Wosiacki, Wolmar B., Pinna, Mário de","Neotropical Ichthyology; 6(1); 17-23","Neotropical Ichthyology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252008000100003&lang=pt" 
"S1679-62252008000100004-scl","Revision of the species of the genus Cathorops (Siluriformes: Ariidae) from Mesoamerica and the Central American Caribbean, with description of three new species","Marceniuk, Alexandre P., Betancur-R., Ricardo","Neotropical Ichthyology; 6(1); 25-44","Neotropical Ichthyology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252008000100004&lang=pt" 
"S1679-62252008000100008-scl","Biology of Isopisthus parvipinnis: an abundant sciaenid species captured bycatch during sea-bob shrimp fishery in Brazil","Romero, Renato M., Moraes, Leonardo E., Santos, Marcella N., Rocha, Gecely R. A., Cetra, Mauricio","Neotropical Ichthyology; 6(1); 67-74","Neotropical Ichthyology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252008000100008&lang=pt" 
"S1679-62252008000100010-scl","Cytogenetic study of two species of the family Pimelodidae (Siluriformes) collected in lago Guaíba, Rio Grande do Sul, Brazil","Treco, Fernando Rodrigo, Malabarba, Luiz R., Giuliano-Caetano, Lucia, Dias, Ana Lúcia","Neotropical Ichthyology; 6(1); 87-92","Neotropical Ichthyology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252008000100010&lang=pt" 
