"S0102-311X2003000400008-scl","Debate sobre o artigo de Maria Andréa Loyola","Estellita-Lins, Carlos Eduardo","Cadernos de Saúde Pública; 19(4); 892-893","Cadernos de Saúde Pública","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400008&lang=pt" 
"S0102-311X2003000400006-scl","Debate sobre o artigo de Maria Andréa Loyola","Altmann, Helena","Cadernos de Saúde Pública; 19(4); 889-890","Cadernos de Saúde Pública","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400006&lang=pt" 
"S0102-311X2003000400005-scl","Debate sobre o artigo de Maria Andréa Loyola","Vieira, Elisabeth Meloni","Cadernos de Saúde Pública; 19(4); 888-889","Cadernos de Saúde Pública","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400005&lang=pt" 
"S0102-311X2003000400014-scl","Distribuição espacial da mortalidade por tuberculose em Salvador, Bahia, Brasil","Mota, Fábio Frias, Vieira-da-Silva, Ligia Maria, Paim, Jairnilson Silva, Costa, Maria da Conceição Nascimento","Cadernos de Saúde Pública; 19(4); 915-922","Cadernos de Saúde Pública","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400014&lang=pt" 
"S0102-311X2003000400013-scl","Epidemiological aspects of retrovirus (HTLV) infection among Indian populations in the Amazon Region of Brazil","Ishak, Ricardo, Vallinoto, Antonio Carlos Rosário, Azevedo, Vânia Nakauth, Ishak, Marluísa de Oliveira Guimarães","Cadernos de Saúde Pública; 19(4); 901-914","Cadernos de Saúde Pública","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400013&lang=pt" 
"S0102-311X2003000400019-scl","Programa de Controle da Doença de Chagas no Estado de São Paulo: persistência de alta infestação por triatomíneos em localidades na década de 1990","Silva, Rubens Antonio da, Rodrigues, Vera Lúcia Cortiço Corrêa, Carvalho, Maria Esther de, Pauliquévis Jr., Clóvis","Cadernos de Saúde Pública; 19(4); 965-971","Cadernos de Saúde Pública","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400019&lang=pt" 
"S0102-311X2003000400012-scl","A autora responde","Loyola, Maria Andréa","Cadernos de Saúde Pública; 19(4); 897-899","Cadernos de Saúde Pública","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400012&lang=pt" 
"S0102-311X2003000400041-scl","Ações de prevenção dos acidentes e violências em crianças e adolescentes, desenvolvidas pelo setor público de saúde de Fortaleza, Ceará, Brasil","Pordeus, Augediva Maria Jucá, Fraga, Maria de Nazaré de Oliveira, Facó, Thaís de Paula Pessoa","Cadernos de Saúde Pública; 19(4); 1201-1204","Cadernos de Saúde Pública","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400041&lang=pt" 
"S0102-311X2003000400004-scl","Debate sobre o artigo de Maria Andréa Loyola","Carrara, Sérgio","Cadernos de Saúde Pública; 19(4); 886-888","Cadernos de Saúde Pública","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400004&lang=pt" 
"S0102-311X2003000400044-scl","Resenhas","","Cadernos de Saúde Pública; 19(4); 1214-1217","Cadernos de Saúde Pública","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400044&lang=pt" 
"S0102-311X2003000400003-scl","Debate sobre o artigo de Maria Andréa Loyola","Santos, Ana Cristina","Cadernos de Saúde Pública; 19(4); 885-886","Cadernos de Saúde Pública","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400003&lang=pt" 
"S0102-311X2003000400043-scl","A reemergência da coqueluche em países desenvolvidos: um problema também para o Brasil?","Luz, Paula Mendes, Codeço, Cláudia Torres, Werneck, Guilherme Loureiro","Cadernos de Saúde Pública; 19(4); 1209-1213","Cadernos de Saúde Pública","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400043&lang=pt" 
"S0102-311X2003000400007-scl","","Weller, Silvana Inés","Cadernos de Saúde Pública; 19(4); 890-892","Cadernos de Saúde Pública","Espanhol","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400007&lang=pt" 
