"S0377-94242014000100011-cri","Efectividad del ácido fórmico y el timol en el control del ácaro Varroa destructor en colmenas de abejas africanizadas","Calderón, Rafael A., Ramírez, Marianyela, Ramírez, Fernando, Villalobos, Ethel","Agronomía Costarricense; 38(1); 175-188","Agronomía Costarricense","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0377-94242014000100011&lang=pt" 
"S0100-54052014000200011-scl","Amplitude térmica para germinação de conídios de Drechslera tritici-repentis","Tonin, Rosane Baldiga, Ranzi, Camila, Camera, Juliane Nicolodi, Forcelini, Carlos Alberto, Reis, Erlei Melo","Summa Phytopathologica; 40(2); 174-177","Summa Phytopathologica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052014000200011&lang=pt" 
"S0100-54052014000200016-scl","Ocorrência do carvão da cana-de-açúcar nos Estados do Piauí e Maranhão","Silva, Gilson Soares da, Alcântara Neto, Francisco de, Leite, Raycenne Rosa, Silva, Keyla Cosme da, Monteiro, Marinete Martins de Sousa, Oliveira, Marcos André Melo de","Summa Phytopathologica; 40(2); 187-187","Summa Phytopathologica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052014000200016&lang=pt" 
"S0100-54052014000200014-scl","Occurrence of Ralstonia solanacearum on olive tree in Brazil","Tebaldi, Nilvanira Donizete, Leite, Luciano Nunes, Marque, Janaína Marianno de, Furlanetto, Mayara Cristina Aliandro, Mota, Lara Caroline Borges Moreira","Summa Phytopathologica; 40(2); 185-185","Summa Phytopathologica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052014000200014&lang=pt" 
"S0100-54052014000200015-scl","Ocorrência de Pectobacterium carotovorum subsp. carotovorum em pseudocaule da bananeira em Minas Gerais","Tebaldi, Nilvanira Donizete, Mota, Lara Caroline Borges Moreira","Summa Phytopathologica; 40(2); 186-186","Summa Phytopathologica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052014000200015&lang=pt" 
"S0100-54052014000200012-scl","Effect of the concentration of inoculum and tensoactive on the efficiency of Bipolaris sorokiniana infection in wheat leaves","Reis, Erlei Melo, Zanatta, Tiago, Danelli, Anderson L.","Summa Phytopathologica; 40(2); 178-181","Summa Phytopathologica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052014000200012&lang=pt" 
"S0100-54052014000200013-scl","Determinação do início da proteção das macieiras &#039;Fuji&#039; para racionalização do controle químico de Diplocarpon mali","Valdebenito-Sanhueza, Rosa Maria, Meyer, Geraldine de Andrade, Bartnicki, Vinícius Adão","Summa Phytopathologica; 40(2); 182-184","Summa Phytopathologica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052014000200013&lang=pt" 
"S0120-34792014000100001-col","Presentación","Vargas Franco, Alfonso","Lenguaje; 42(1); 9-15","Lenguaje","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-34792014000100001&lang=pt" 
"S0120-34792014000100002-col","Escenas enunciativas de rumor en el discurso financiero: variantes de sentido en la configuración polifónica de incerteza discursiva","Libenson, Manuel","Lenguaje; 42(1); 17-42","Lenguaje","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-34792014000100002&lang=pt" 
"S0120-34792014000100003-col","Significados no intencionales en la comunicación","Gil, José María","Lenguaje; 42(1); 43-68","Lenguaje","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-34792014000100003&lang=pt" 
"S0120-34792014000100005-col","La lectura, la escritura y el pensamiento.Â Función epistémica e implicaciones pedagógicas","Serrano, Stella","Lenguaje; 42(1); 97-124","Lenguaje","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-34792014000100005&lang=pt" 
