"S1130-05582011000100006-esp","Mioplastia de elongación de músculo temporal para rehabilitación de parálisis hemifacial","Pingarrón Martín, L., González Otero, T., Arias Gallo, J., Moraleda Pérez, S., Burgueño García, M.","Revista Española de Cirugía Oral y Maxilofacial; 33(1); 35-39","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582011000100006&lang=pt" 
"S1130-05582011000100008-esp","Adenoma pleomorfo de lóbulo profundo de parótida: Diagnóstico diferencial de masas en el espacio parafaríngeo","Navarro, I., Castillo, J.L. del, Palacios, E., Cebrián, J.L., Mirada, E., Burgueño, M.","Revista Española de Cirugía Oral y Maxilofacial; 33(1); 45-48","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582011000100008&lang=pt" 
"S1130-05582011000100003-esp","Osteonecrosis de los maxilares asociada al uso de bifosfonatos: revisión de ocho casos","Joshi Otero, J., Rollón Mayordomo, A., Coello Suanzes, J., Lledó Villar, E., Lozano Rosado, R., Sánchez-Moliní, M., Berart, P.","Revista Española de Cirugía Oral y Maxilofacial; 33(1); 15-21","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582011000100003&lang=pt" 
"S1130-05582011000100001-esp","Tratamiento quirúrgico del granuloma central de células gigantes: estudio y seguimiento de 10 casos. Revisión de la literatura","Fernández Ferro, M., Fernández Sanromán, J., Costas López, A., Sandoval Gutiérrez, J., López de Sánchez, A.","Revista Española de Cirugía Oral y Maxilofacial; 33(1); 1-8","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582011000100001&lang=pt" 
"S1130-05582011000100009-esp","","Pedro Marina, Manuel de, Falahat, Farzin","Revista Española de Cirugía Oral y Maxilofacial; 33(1); 49-52","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582011000100009&lang=pt" 
"S0104-12902011000100008-scl","Refletindo a formação interdisciplinar na pós-graduação","Martin, Denise","Saúde e Sociedade; 20(1); 57-65","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000100008&lang=pt" 
"S0104-12902011000100007-scl","A formação do pós-graduando no mundo contemporâneo no cotidiano da pesquisa","Barros, Nelson Filice de, Spadacio, Cristiane","Saúde e Sociedade; 20(1); 50-56","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000100007&lang=pt" 
"S0104-12902011000100021-scl","Vivências em Serviço de Urgências: o papel dos acompanhantes dos doentes","Sousa, Liliana, Almeida, Assunção, Simões, Carlos Jorge","Saúde e Sociedade; 20(1); 195-206","Saúde e Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902011000100021&lang=pt" 
"S2011-75822011000100008-col","Colecistectomía por laparoscopia de puerto único a través de un guante quirúrgico","Parra, Michael William, Puentes-Manosalva, Fabián E, Suárez, José Mauricio","Revista Colombiana de Cirugía; 26(1); 56-61","Revista Colombiana de Cirugía","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822011000100008&lang=pt" 
"S2011-75822011000100009-col","Tumor carcinoide del apéndice cecal","Florián, María Cristina, Uribe, Alejandro, Cardona, Claudia Patricia","Revista Colombiana de Cirugía; 26(1); 62-66","Revista Colombiana de Cirugía","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822011000100009&lang=pt" 
"S2011-75822011000100002-col","Pronunciamiento de la Academia Nacional de Medicina de Colombia sobre el sistema de atención &quot;gerenciada&quot; de la salud","Malagón Londoño, Gustavo","Revista Colombiana de Cirugía; 26(1); 11-12","Revista Colombiana de Cirugía","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822011000100002&lang=pt" 
"S2011-75822011000100003-col","Resecciones pulmonares en cuña para estudio histopatológico: experiencia de Bucaramanga","Tapias-Vargas, Luis Felipe, Santamaría, Claudia Marcela, Tapias-Vargas, Leonidas, Tapias, Leonidas","Revista Colombiana de Cirugía; 26(1); 13-24","Revista Colombiana de Cirugía","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822011000100003&lang=pt" 
"S2011-75822011000100001-col","La atención de la salud en un modelo de aseguramiento comercial","Patiño Restrepo, José Félix","Revista Colombiana de Cirugía; 26(1); 9-10","Revista Colombiana de Cirugía","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822011000100001&lang=pt" 
"S2011-75822011000100006-col","Reintervenciones en cirugía bariátrica, conversión a otro procedimiento","Vélez, José Pablo, Arias, Rafael, Gómez, Santiago","Revista Colombiana de Cirugía; 26(1); 42-47","Revista Colombiana de Cirugía","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822011000100006&lang=pt" 
