"S0123-21262014000100005-col","Evaluación de la multiplexación por división de paquetes wavelet","Hoyos-Sánchez, Juan Pablo, Jojoa-Gómez, Pablo Emilio","Ingeniería y Universidad; 18(1); 77-89","Ingeniería y Universidad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262014000100005&lang=pt" 
"S0123-21262014000100004-col","University Course Scheduling and Classroom Assignment","Torres-Ovalle, Camilo, Montoya-Torres, Jairo R, Quintero-Araújo, Carlos L, Sarmiento-Lepesqueur, Angélica, Castilla-Luna, Mónica","Ingeniería y Universidad; 18(1); 59-75","Ingeniería y Universidad","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262014000100004&lang=pt" 
"S0123-21262014000100007-col","Directrices para el diseño de aplicaciones usables en entornos de televisión digital interactiva","Solano, Andrés, Chanchí, Gabriel, Collazos, César, Arciniegas, José Luis, Rusu, Cristian","Ingeniería y Universidad; 18(1); 103-119","Ingeniería y Universidad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262014000100007&lang=pt" 
"S0123-21262014000100001-col","Livelihood Factors, Explaining Water Consumption in a (de facto) Multiple Uses Water System in Colombia","Domínguez, Isabel, Torres-López, Wilmar, Restrepo-Tarquino, Inés, Oviedo-Ocaña, Ricardo, Smout, Ian","Ingeniería y Universidad; 18(1); 7-25","Ingeniería y Universidad","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262014000100001&lang=pt" 
"S0123-21262014000100003-col","Analysis and Detection in V-Formations with Outliers","Moreno Arboleda, Francisco, Guzman Luna, Jaime Alberto, Gómez Arias, Sebastian Alonso","Ingeniería y Universidad; 18(1); 43-57","Ingeniería y Universidad","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262014000100003&lang=pt" 
"S0123-21262014000100002-col","Design of Optimum Electromagnetic Absorbers in the Wireless Communications Range","Salazar Flórez, Edgar Eduardo, Mora Moreno, Julián Eduardo, Correa Cely, Carlos Rodrigo","Ingeniería y Universidad; 18(1); 27-42","Ingeniería y Universidad","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262014000100002&lang=pt" 
"S0123-21262014000100009-col","Diagnóstico de fallas estatóricas en motores de inducción de jaula de ardilla por medio de la corriente de secuencia negativa","Paz Parra, Alejandro, Oslinger, José Luis, Palacios, Jairo Arcesio","Ingeniería y Universidad; 18(1); 141-158","Ingeniería y Universidad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262014000100009&lang=pt" 
"S0123-21262014000100008-col","Antena de patrón conmutado de área reducida para operar en la banda industrial, científica y médica de 2,45 GHz","Cabrera-Botero, Jorge A, Páez-Rueda, Carlos I","Ingeniería y Universidad; 18(1); 121-140","Ingeniería y Universidad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-21262014000100008&lang=pt" 
"S0100-67622014000300020-scl","Alterações nas características químicas da madeira com a substituição do K por Na em plantações de eucalipto","Sette Jr, Carlos Roberto, Tomazello Filho, Mario, Silva Jr, Francides Gomes da, Laclau, Jean Paul","Revista Árvore; 38(3); 569-578","Revista Árvore","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622014000300020&lang=pt" 
"S0100-67622014000300003-scl","Infestação de Mimosa gemmulata Barneby em áreas entretalhões de eucalipto de cerrado em sucessão secundária","Araújo, José Eduardo Vargas Lopes, Mendonça Filho, Carlos Victor, Santos, José Barbosa, Carvalho, Felipe Paolinelli","Revista Árvore; 38(3); 415-422","Revista Árvore","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622014000300003&lang=pt" 
"S0100-67622014000300006-scl","Composição e estrutura da comunidade arbórea e arbustiva em murundus no Pantanal de Poconé, Mato Grosso","Morais, Rodrigo Ferreira, Morais, Fernando Ferreira, Lima, Jose Francisco de","Revista Árvore; 38(3); 443-451","Revista Árvore","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622014000300006&lang=pt" 
"S0100-67622014000300007-scl","Análise espaço temporal da evapotranspiração na área de preservação ambiental da Ilha de Santa Rita, Alagoas, Brasil","Pacheco, Admilson Penha, Cerqueira, Michelle Adelino, Silva, Bernardo Barbosa, Nicácio, Rosilene Mendonça","Revista Árvore; 38(3); 453-460","Revista Árvore","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622014000300007&lang=pt" 
"S0100-67622014000300008-scl","Pisolithus sp. tolerance to glyphosate and isoxaflutole in vitro","Fernandes, Mayara Cristina Silva, Costa, Lidiomar Soares da, Grazziotti, Paulo Henrique, Grazziotti, Danielle Cristina Fonseca Santos, Santos, José Barbosa dos, Rossi, Márcio José","Revista Árvore; 38(3); 461-468","Revista Árvore","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622014000300008&lang=pt" 
