"S0100-204X2002000200014-scl","Desenvolvimento de Haematobia irritans em massas fecais de bovinos mantidas em laboratório","Barros, Antonio Thadeu Medeiros de","Pesquisa Agropecuária Brasileira; 37(2); 217-221","Pesquisa Agropecuária Brasileira","Português","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2002000200014&lang=pt" 
"S0100-204X2002000200013-scl","Identificação de impurezas e misturas em pó de café por meio de comportamento espectral e análise de imagens digitais","Assad, Eduardo Delgado, Sano, Edson Eyji, Cunha, Silvia Aida Rodrigues da, Correa, Tânia Barreto Simões, Rodrigues, Hilda Rosa","Pesquisa Agropecuária Brasileira; 37(2); 211-216","Pesquisa Agropecuária Brasileira","Português","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2002000200013&lang=pt" 
"S1516-35982002000100007-scl","Efeito da Idade da Vaca ao Parto e da Data Juliana de Nascimento sobre Características Pré-desmama de Bezerros da Raça Gir","Pelicioni, Luciele Cristina, Pascoa, Lillian, Muniz, Carolina Amália de Souza Dantas, Queiroz, Sandra Aidar de","Revista Brasileira de Zootecnia; 31(1); 61-70","Revista Brasileira de Zootecnia","Português","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982002000100007&lang=pt" 
"S1516-35982002000100026-scl","Determinação da Cinética Ruminal da Proteína de Vários Alimentos Utilizando o Método de Inibidores In Vitro","Londoño Hernández, Fernando Iván, Valadares Filho, Sebastião de Campos, Lana, Rogério de Paula, Cecon, Paulo Roberto, Mancio, Antonio Bento, Paulino, Mario Fonseca, Magalhães, Karla Alves, Reis, Sandro Luiz Rosa","Revista Brasileira de Zootecnia; 31(1); 232-242","Revista Brasileira de Zootecnia","Português","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982002000100026&lang=pt" 
"S1516-35982002000100027-scl","Avaliação da Composição de Vários Alimentos e Determinação da Cinética Ruminal da Proteína, Utilizando o Método de Produção de Gás e Amônia in Vitro","Londoño Hernández, Fernando Iván, Valadares Filho, Sebastião de Campos, Paulino, Mario Fonseca, Mancio, Antônio Bento, Cecon, Paulo Roberto, Lana, Rogério de Paula, Magalhães, Karla Alves, Reis, Sandro Luiz Rosa","Revista Brasileira de Zootecnia; 31(1); 243-255","Revista Brasileira de Zootecnia","Português","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982002000100027&lang=pt" 
"S1516-35982002000100028-scl","Avaliação de Dois Métodos in vitro para Determinar a Cinética Ruminal e a Digestibilidade Intestinal da Proteína de Vários Alimentos","Londoño Hernández, Fernando Iván, Valadares Filho, Sebastião de Campos, Lana, Rogério de Paula, Mancio, Antonio Bento, Paulino, Mario Fonseca, Cecon, Paulo Roberto, Valadares, Rilene Ferreira Diniz, Magalhães, Karla Alves, Sandro Luiz Rosa, Reis","Revista Brasileira de Zootecnia; 31(1); 256-260","Revista Brasileira de Zootecnia","Português","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982002000100028&lang=pt" 
"S1516-35982002000100018-scl","Comparação de Sistemas de Avaliação de Dietas para Bovinos no Modelo de Produção Intensiva de Carne: Confinamento de Tourinhos Jovens","Sampaio, Alexandre Amstalden Moraes, Brito, Rodolfo Marques de, Carvalho, Ricardo de Moraes","Revista Brasileira de Zootecnia; 31(1); 157-163","Revista Brasileira de Zootecnia","Português","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982002000100018&lang=pt" 
"S1516-35982002000100029-scl","Consumo e Digestibilidade Aparente das Silagens de Milho (Zea mays L.), Sorgo (Sorghum bicolor (L.) Moench) e Girassol (Helianthus annuus L.)","Mizubuti, Ivone Yurika, Ribeiro, Edson Luís de Azambuja, Rocha, Marco Antônio da, Silva, Leandro das Dores Ferreira da, Pinto, Andréa Pereira, Fernandes, Walberto Costa, Rolim, Melissa Alves","Revista Brasileira de Zootecnia; 31(1); 267-272","Revista Brasileira de Zootecnia","Português","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982002000100029&lang=pt" 
"S1519-69842002000100001-scl","Editorial note","","Brazilian Journal of Biology; 62(1); -","Brazilian Journal of Biology","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842002000100001&lang=pt" 
"S1519-69842002000100004-scl","Birth and mortality of maned wolves Chrysocyon brachyurus (Illiger, 1811) in captivity","MAIA, O. B., GOUVEIA, A. M. G.","Brazilian Journal of Biology; 62(1); 25-32","Brazilian Journal of Biology","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842002000100004&lang=pt" 
"S1519-69842002000100003-scl","Population dynamics of Euglossinae bees (Hymenoptera, Apidae) in an early second-growth forest of Cajual Island, in the State of Maranhão, Brazil","SILVA, F. S., REBÊLO, J. M. M.","Brazilian Journal of Biology; 62(1); 15-23","Brazilian Journal of Biology","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842002000100003&lang=pt" 
