"S0187-71512013000300002-mex","Nueva combinación para una especie del género Serjania (Sapindaceae-Paullinieae) endémica en México","Ferrucci, María S., Medina-Lemos, Rosalinda","Acta botánica mexicana; (104); 19-29","Acta botánica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-71512013000300002&lang=pt" 
"S0187-71512013000300003-mex","Foliar micromorphology of Mexican oaks (Quercus: Fagaceae)","Scareli-Santos, Claudia, Sánchez-Mondragón, María L., González-Rodríguez, Antonio, Oyama, Ken","Acta botánica mexicana; (104); 31-52","Acta botánica mexicana","Inglês","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-71512013000300003&lang=pt" 
"S0187-71512013000300004-mex","Benthic marine algae of the coast of Campeche, Mexico","Mateo-Cid, Luz Elena, Mendoza-González, A. Catalina, Ávila-Ortiz, Alejandrina G., Díaz Martínez, Sergio","Acta botánica mexicana; (104); 53-92","Acta botánica mexicana","Inglês","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-71512013000300004&lang=pt" 
"S0187-71512013000300005-mex","Una especie nueva de Acidocroton Sección Ophellantha (Euphorbiaceae) de Tabasco, México","Hanan-Alipi, Ana M., Steinmann, Victor W.","Acta botánica mexicana; (104); 93-100","Acta botánica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-71512013000300005&lang=pt" 
"S0187-71512013000300006-mex","Una nueva especie de Mancoa (brassicaceae) endémica de Michoacán, México","Hernández-Sandoval, Luis, Martínez, Mahinda","Acta botánica mexicana; (104); 101-106","Acta botánica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-71512013000300006&lang=pt" 
"S0187-71512013000300007-mex","Orígenes del Malpighiaceae mexicanas","Anderson, William R.","Acta botánica mexicana; (104); 107-156","Acta botánica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-71512013000300007&lang=pt" 
"S1695-61412013000300019-esp","Un reto para el controlador de la infección: falta de adhesión de la enfermería a las medidas de prevención y control","Ferreira Fernandes da Silva, Elisabete, Marinho Chrizostimo, Miriam, Lopes de Azevedo, Suely, Ferreira de Souza, Deise, Souza Braga, André Luiz de, Lima, Jorge Luiz","Enfermería Global; 12(31); 316-356","Enfermería Global","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1695-61412013000300019&lang=pt" 
"S1850-275X2013000100001-arg","Mesa Redonda: &quot;Experiencias regionales de intervención y activismo en la investigación en políticas de seguridad pública, violencia de estado y derechos humanos&quot;","Villalta, Carla","Cuadernos de antropología social; (37); 175-178","Cuadernos de antropología social","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-275X2013000100001&lang=pt" 
"S1850-275X2013000100002-arg","El Acuerdo de Seguridad Democrática: La experiencia de la red de investigadores sociales en el marco del Acuerdo","Tiscornia, Sofía","Cuadernos de antropología social; (37); 15-23","Cuadernos de antropología social","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-275X2013000100002&lang=pt" 
"S1850-275X2013000100003-arg","Algunas hipótesis sobre la extensión del sentimiento de inseguridad en América Latina","Kessler, Gabriel","Cuadernos de antropología social; (37); 25-42","Cuadernos de antropología social","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-275X2013000100003&lang=pt" 
"S1850-275X2013000100004-arg","Antropologia, Direito e Segurança Pública: uma combinação heterodoxa","Lima, Roberto Kant de","Cuadernos de antropología social; (37); 43-57","Cuadernos de antropología social","Português","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-275X2013000100004&lang=pt" 
