"S0100-67622006000100011-scl","Um modelo de distribuição diamétrica para povoamentos de Tectona grandis submetidos a desbaste","Leite, Helio Garcia, Nogueira, Gilciano Saraiva, Campos, João Carlos Chagas, Takizawa, Fausto Hissashi, Rodrigues, Flávio Lopes","Revista Árvore; 30(1); 89-98","Revista Árvore","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622006000100011&lang=pt" 
"S1519-69842006000100023-scl","Second record of Lasiurus ega (Gervais) (Mammalia, Chiroptera, Vespertilionidae) over the south atlantic","Esbérard, C. E. L., Moreira, S. C.","Brazilian Journal of Biology; 66(1a); 185-186","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100023&lang=pt" 
"S1519-69842006000100001-scl","Editorial Note","","Brazilian Journal of Biology; 66(1a); -","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100001&lang=pt" 
"S1519-69842006000100015-scl","The immature stages of Paramallocera hirta kirby, 1818 (Coleoptera: Cerambycidae: Elaphidionini)","Morelli, E., Sanchez, A., Bianchi, M.","Brazilian Journal of Biology; 66(1a); 117-120","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100015&lang=pt" 
"S1519-69842006000100011-scl","Seasonal maturation of Glypthelmins vitellinophilum (Trematoda: Digenea) in Lysapsus limellus (Anura: Pseudidae) from an Argentinian subtropical permanent pond","Hamann, M. I.","Brazilian Journal of Biology; 66(1a); 85-93","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100011&lang=pt" 
"S1519-69842006000100012-scl","Diversity of Calliphoridae (Diptera) in Brazil&#039;s Tinguá Biological Reserve","Marinho, C. R., Barbosa, L. S., Azevedo, A. C. G., Queiroz, M. M. C., Valgode, M. A., Aguiar-Coelho, V. M.","Brazilian Journal of Biology; 66(1a); 95-100","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100012&lang=pt" 
"S1519-69842006000100014-scl","Larval development of Brachidontes solisianus (Bivalvia, Mytilidae): with notes on differences between its hinge system and that of the mollusk Perna perna","Monteiro-Ribas, W., Rocha-Miranda, F., Romano, R. C., Quintanilha, J.","Brazilian Journal of Biology; 66(1a); 109-116","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100014&lang=pt" 
"S1519-69842006000100020-scl","Chromosomal analysis of Astyanax fasciatus (PISCES, CHARACIDAE) from the Araguari river, Uberlândia, MG, Brazil","Torres-Mariano, A. R., Morelli, S.","Brazilian Journal of Biology; 66(1a); 161-165","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100020&lang=pt" 
"S1519-69842006000100024-scl","Onychophora in humid forests of northeastern Brazil","Vasconcellos, A, Almeida, W. O., Souza, L. A.","Brazilian Journal of Biology; 66(1a); 187-189","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100024&lang=pt" 
"S1519-69842006000100008-scl","Dental development of Didelphis albiventris (Marsupialia): I - incisors and canines","Fonseca, C. T., Alves, J. B.","Brazilian Journal of Biology; 66(1a); 53-60","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100008&lang=pt" 
"S1519-69842006000100018-scl","Testicular maturation of Oligosarcus hepsetus (Cuvier) (Actinopterygii, Characidae) in a brazilian tropical reservoir","Santos, R. N., Andrade, C. C., Santos, L. N., Santos, A. F. G. N., Araújo, F. G.","Brazilian Journal of Biology; 66(1a); 143-150","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100018&lang=pt" 
