"S0718-58392014000200015-chl","Influence of breed and feeding on the main quality characteristics of sheep carcass and meat: A review","Ramírez-Retamal, Jorge, Morales, Rodrigo","Chilean journal of agricultural research; 74(2); 225-233","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000200015&lang=pt" 
"S1984-64872014000100004-scl","Las tecnologías del cuerpo en el debate público: análisis del debate parlamentario de la Ley de Identidad de Género argentina","Neer, Anahí Farji","Sexualidad, Salud y Sociedad (Rio de Janeiro); (16); 50-72","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872014000100004&lang=pt" 
"S1984-64872014000100007-scl","Pigmentocracia dei deseo en el mercado sexual Trans de Cali, Colombia","Urrea Giraldo, Fernando, La Furcia, Ange","Sexualidad, Salud y Sociedad (Rio de Janeiro); (16); 121-151","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872014000100007&lang=pt" 
"S1984-64872014000100006-scl","&quot;Se podrían evitar muchas muertas&quot;: discriminación, estigma y violencia contra minorias sexuales en México","Boivin, Renaud René","Sexualidad, Salud y Sociedad (Rio de Janeiro); (16); 86-120","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872014000100006&lang=pt" 
"S1984-64872014000100002-scl","Os ciúmes do direito: o desejo pelas uniões homoafetivas e a repulsa a Amor Divino e Paixão Luz","Efrem Filho, Roberto","Sexualidad, Salud y Sociedad (Rio de Janeiro); (16); 10-30","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872014000100002&lang=pt" 
"S1981-77462014000100004-scl","Capacitação discente no processo de trabalho em diagnóstico por imagem do técnico em enfermagem","Coelho, Juliana Almeida, Vargas, Franciele Cardoso de","Trabalho, Educação e Saúde; 12(1); 51-67","Trabalho, Educação e Saúde","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462014000100004&lang=pt" 
"S1984-64872014000100010-scl","The sexual history of the Global South: sexual Politics in Africa, Asia and Latin America","Corrêa, Sonia","Sexualidad, Salud y Sociedad (Rio de Janeiro); (16); 173-192","Sexualidad, Salud y Sociedad (Rio de Janeiro)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-64872014000100010&lang=pt" 
"S1981-77462014000100010-scl","Panorama da inclusão das pessoas com deficiência no mercado de trabalho no Brasil","García, Vinicius Gaspar","Trabalho, Educação e Saúde; 12(1); 165-187","Trabalho, Educação e Saúde","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462014000100010&lang=pt" 
"S0034-77442014000600010-cri","","Rincón, José, Covich, Alan","Revista de Biología Tropical; 62(); 143-154","Revista de Biología Tropical","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442014000600010&lang=pt" 
"S0034-77442014000600011-cri","","Ramírez, Alonso, Gutiérrez-Fonseca, Pablo E","Revista de Biología Tropical; 62(); 155-167","Revista de Biología Tropical","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442014000600011&lang=pt" 
"S0034-77442014000600012-cri","Hábitos alimentarios de individuos inmaduros de Ephemeroptera, Plecoptera y Trichoptera en la parte media de un río tropical de montaña","Guzmán-Soto, Cristian José, Tamarís-Turizo, Cesar Enrique","Revista de Biología Tropical; 62(); 169-178","Revista de Biología Tropical","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442014000600012&lang=pt" 
"S0034-77442014000600013-cri","","Chaves-Ulloa, Ramsa, Umaña-Villalobos, Gerardo, Springer, Monika","Revista de Biología Tropical; 62(); 179-201","Revista de Biología Tropical","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442014000600013&lang=pt" 
"S0034-77442014000600014-cri","Impacto del uso del suelo agropecuario sobre macroinvertebrados acuáticos en pequeñas quebradas de la cuenca del río La Vieja (Valle del Cauca, Colombia)","Giraldo, Lina Paola, Chará, Julián, Zúñiga, María del Carmen, Chará-Serna, Ana Marcela, Pedraza, Gloria","Revista de Biología Tropical; 62(); 203-219","Revista de Biología Tropical","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442014000600014&lang=pt" 
"S0034-77442014000600016-cri","Índice de calidad ecológica con base en macroinvertebrados acuáticos para la cuenca del río Negro (ICE RN-MAE), Colombia","Forero, Laura Cristina, Longo, Magnolia, Ramírez R., John Jairo, Chalar, Guillermo","Revista de Biología Tropical; 62(); 233-247","Revista de Biología Tropical","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442014000600016&lang=pt" 
"S0034-77442014000600006-cri","Patrones de variación espacial y temporal de los macroinvertebrados acuáticos en la Laguna de Tecocomulco, Hidalgo (México)","Rico-Sánchez, Axel Eduardo, Rodríguez-Romero, Alexis Joseph, López-López, Eugenia, Sedeño-Díaz, Jacinto Elías","Revista de Biología Tropical; 62(); 81-96","Revista de Biología Tropical","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442014000600006&lang=pt" 
"S0034-77442014000600005-cri","","Torres-García, Ulises, Pérez-Valladares, Cloe X., Herrería-Diego, Yvonne, Pineda-López, Raúl F.","Revista de Biología Tropical; 62(); 69-80","Revista de Biología Tropical","Português","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442014000600005&lang=pt" 
