"S0124-00642007000400009-col","Calidad de Vida y Apoyo Social de los Pacientes con Enfermedad Pulmonar Obstructiva Crónica","Ramírez-Vélez, Robinson","Revista de Salud Pública; 9(4); 568-575","Revista de Salud Pública","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642007000400009&lang=pt" 
"S0124-00642007000400002-col","Descentralización del Sector Salud en México: el Caso de Baja California","Jaramillo-Cardona, Martha C.","Revista de Salud Pública; 9(4); 495-505","Revista de Salud Pública","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642007000400002&lang=pt" 
"S0124-00642007000400011-col","Prácticas de Lactancia Materna y Alimentación Complementaria en un Jardín Infantil de Bogotá","Sáenz-Lozada, María L., Camacho-Lindo, Ángela E.","Revista de Salud Pública; 9(4); 587-594","Revista de Salud Pública","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642007000400011&lang=pt" 
"S0124-00642007000400006-col","Satisfacción Personal como Componente de la Calidad de Vida de los Adultos de Medellín","Cardona, Doris, Agudelo, Héctor B","Revista de Salud Pública; 9(4); 541-549","Revista de Salud Pública","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642007000400006&lang=pt" 
"S0124-00642007000400014-col","La Metasíntesis: una Metodología de Investigación","Carrillo-González, Gloria M., Gómez-Ramírez, Olga J., Vargas-Rosero, Elizabeth","Revista de Salud Pública; 9(4); 609-617","Revista de Salud Pública","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642007000400014&lang=pt" 
"S0124-00642007000400008-col","Validación de la Escala de Somnolencia de Epworth","Chica-Urzola, Heydy Luz, Escobar-Córdoba, Franklin, Eslava-Schmalbach, Javier","Revista de Salud Pública; 9(4); 558-567","Revista de Salud Pública","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642007000400008&lang=pt" 
"S0124-00642007000400001-col","Los Límites de los Ensayos Clínicos o la Reunificación de la Epidemiología","","Revista de Salud Pública; 9(4); 493-494","Revista de Salud Pública","Inglês, Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642007000400001&lang=pt" 
"S0124-00642007000400012-col","Cáncer de Piel: Perfil Epidemiológico de un Centro de Referencia en Colombia 2003-2005","Nova-Villanueva, John, Sánchez-Vanegas, Guillermo, Porras de Quintana, Luisa","Revista de Salud Pública; 9(4); 595-601","Revista de Salud Pública","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642007000400012&lang=pt" 
"S0124-00642007000400010-col","Virus Respiratorios en Menores de Diez Años con Infección Respiratoria en el Hospital Militar Central de Bogotá 2000-2001","Herrera-Rodríguez, Diana H., de la Hoz, Fernando, Mariño, Cristina, Ramírez, Eliana","Revista de Salud Pública; 9(4); 576-586","Revista de Salud Pública","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642007000400010&lang=pt" 
"S0124-00642007000400007-col","Contaminación de los Parques Públicos de la Localidad de Suba, Bogotá con Nemátodos Zoonóticos","Polo-Terán, Luis J, Cortés-Vecino, Jesús A., Villamil-Jiménez, Luis C., Prieto-Suárez, Edgar","Revista de Salud Pública; 9(4); 550-557","Revista de Salud Pública","Espanhol","2007","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-00642007000400007&lang=pt" 
"S1025-02552007000500008-cub","LA ANALGESIA ACUPUNTURAL EN CIRUGÍA PERIODONTAL","Gómez Mariño, Mercedes Rosa, González Rodríguez, Esperanza, Vara Delgado, Ana, Más Sarabia, Maheli","Revista Archivo Médico de Camagüey; 11(5); -","Revista Archivo Médico de Camagüey","Espanhol","2007","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552007000500008&lang=pt" 
