"S1414-98932008000200015-scl","Psicologia comunitária e programa de saúde da família: relato de uma experiência de estágio","Gama, Carlos Alberto Pegolo da, Koda, Mirna Yamazato","Psicologia: Ciência e Profissão; 28(2); 418-429","Psicologia: Ciência e Profissão","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932008000200015&lang=pt" 
"S1414-98932008000200016-scl","Prontuário psicológico orientado para o problema: um modelo em construção","Almeida, Fabrício Fernandes, Cantal, Clara, Costa Junior, Áderson Luiz","Psicologia: Ciência e Profissão; 28(2); 430-442","Psicologia: Ciência e Profissão","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932008000200016&lang=pt" 
"S1414-98932008000100009-scl","A memória social do estado novo em duas gerações","Naiff, Denis Giovani Monteiro, Sá, Celso Pereira de, Naiff, Luciene Alves Miguez","Psicologia: Ciência e Profissão; 28(1); 110-121","Psicologia: Ciência e Profissão","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932008000100009&lang=pt" 
"S1414-98932008000100010-scl","Métodos de seleção de pessoal: discussões preliminares sob o enfoque do behaviorismo radical","Tadaiesky, Liany Tavares","Psicologia: Ciência e Profissão; 28(1); 122-137","Psicologia: Ciência e Profissão","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932008000100010&lang=pt" 
"S1414-98932008000100011-scl","Produção de sentido subjetivo: as singularidades dos alunos no processo de aprender","Tacca, Maria Carmen Villela Rosa, Rey, Fernando Luis González","Psicologia: Ciência e Profissão; 28(1); 138-161","Psicologia: Ciência e Profissão","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932008000100011&lang=pt" 
"S1414-98932008000100012-scl","A abordagem psicológica da problemática dos desastres: um desafio cognitivo e profissional para a psicologia","Mattedi, Marcos Antônio","Psicologia: Ciência e Profissão; 28(1); 162-173","Psicologia: Ciência e Profissão","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932008000100012&lang=pt" 
"S1414-98932008000100013-scl","A representação social da maternidade de crianças em idade escolar","Sampaio, Juliana, Santos, Maria de Fátima de Souza, Silva, Maria Rejane Ferreira da","Psicologia: Ciência e Profissão; 28(1); 174-185","Psicologia: Ciência e Profissão","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932008000100013&lang=pt" 
"S1414-98932008000100014-scl","O lado de dentro da experiência: atenção a si mesmo e produção de subjetividade numa oficina de cerâmica para pessoas com deficiência visual adquirida","Kastrup, Virgínia","Psicologia: Ciência e Profissão; 28(1); 186-199","Psicologia: Ciência e Profissão","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932008000100014&lang=pt" 
"S1414-98932008000400016-scl","Intervenção psicológica a gestantes: contribuições do grupo de suporte para a promoção da saúde","Klein, Michele Moreira de Souza, Guedes, Carla Ribeiro","Psicologia: Ciência e Profissão; 28(4); 862-871","Psicologia: Ciência e Profissão","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932008000400016&lang=pt" 
"S1414-98932008000400002-scl","Busca de sensação e condutas anti-sociais e delitivas em jovens","Formiga, Nilton Soares, Aguiar, Marcos, Omar, Alicia","Psicologia: Ciência e Profissão; 28(4); 668-681","Psicologia: Ciência e Profissão","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932008000400002&lang=pt" 
"S1414-98932008000300007-scl","Histórico de violência intrafamiliar em pacientes psiquiátricos","Padovani, Ricardo da Costa, Williams, Lúcia Cavalcanti de Albuquerque","Psicologia: Ciência e Profissão; 28(3); 520-535","Psicologia: Ciência e Profissão","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932008000300007&lang=pt" 
