"S0103-73072012000200007-scl","La privatización de la educación Argentina: un largo proceso de expansión y naturalización","Vior, Susana E., Rodríguez, Laura R.","Pro-Posições; 23(2); 91-104","Pro-Posições","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000200007&lang=pt" 
"S0103-73072012000200008-scl","Tensiones público-privado y el diseño de los sistemas educativos: ¿Qué nos dice PISA?","Elacqua, Gregory, Martínez, Matías, Santos, Humberto, Urbina, Daniela","Pro-Posições; 23(2); 105-123","Pro-Posições","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000200008&lang=pt" 
"S0103-73072012000200010-scl","Construções identitárias de estudantes de farmácia no trote universitário: questões de gênero e sexualidade","Siqueira, Vera Helena Ferraz de, Fonseca, Marina Cardoso Gondin da, Sá, Márcia Bastos de, Lima, Ana Cristina Moreira","Pro-Posições; 23(2); 145-159","Pro-Posições","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000200010&lang=pt" 
"S0103-73072012000200011-scl","Olhar viajante: antropologia, criança e aprendizagem","Gusmão, Neusa Maria Mendes de","Pro-Posições; 23(2); 161-178","Pro-Posições","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000200011&lang=pt" 
"S0103-73072012000200012-scl","La expansión de universidades privadas en el caso argentino","Zelaya, Marisa","Pro-Posições; 23(2); 179-194","Pro-Posições","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000200012&lang=pt" 
"S0103-73072012000200013-scl","Escolha, estratégia e competição por escolas públicas","Costa, Marcio da, Koslinski, Mariane C.","Pro-Posições; 23(2); 195-213","Pro-Posições","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000200013&lang=pt" 
"S0104-026X2012000200006-scl","As mulheres muçulmanas precisam realmente de salvação?: reflexões antropológicas sobre o relativismo cultural e seus outros","Abu-Lughod, Lila","Revista Estudos Feministas; 20(2); 451-470","Revista Estudos Feministas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2012000200006&lang=pt" 
"S0104-026X2012000200016-scl","Transitar para onde?: monstruosidade, (des)patologização, (in)segurança social e identidades transgêneras","Leite Junior, Jorge","Revista Estudos Feministas; 20(2); 559-568","Revista Estudos Feministas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2012000200016&lang=pt" 
"S1984-46702012000400001-scl","Bird species diversity in the Atlantic Forest of Brazil is not explained by the Mid-domain Effect","Cavarzere, Vagner, Silveira, Luís Fábio","Zoologia (Curitiba); 29(4); 285-292","Zoologia (Curitiba)","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702012000400001&lang=pt" 
"S1984-46702012000400005-scl","Geographic variation in hairy dwarf porcupines of Coendou from eastern Brazil (Mammalia: Erethizontidae)","Caldara Junior, Vilacio, Leite, Yuri L. R.","Zoologia (Curitiba); 29(4); 318-336","Zoologia (Curitiba)","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702012000400005&lang=pt" 
"S1984-46702012000400006-scl","Gross anatomy of the stomach of the pampas deer, Ozotoceros bezoarticus (Artiodactyla: Cervidae)","Perez, William, Ungerfeld, Rodolfo","Zoologia (Curitiba); 29(4); 337-342","Zoologia (Curitiba)","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702012000400006&lang=pt" 
"S1984-46702012000400008-scl","Species of Euglossa of the analis group in the Atlantic forest (Hymenoptera, Apidae)","Faria, Luiz R. R., Melo, Gabriel A. R.","Zoologia (Curitiba); 29(4); 349-374","Zoologia (Curitiba)","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702012000400008&lang=pt" 
"S1984-46702012000400004-scl","Species of Drosophila (Diptera: Drosophilidae) attracted to dung and carrion baited pitfall traps in the Uruguayan Eastern Serranías","Goñi, Beatriz, Remedios, Mónica, González-Vainer, Patricia, Martínez, María, Vilela, Carlos R.","Zoologia (Curitiba); 29(4); 308-317","Zoologia (Curitiba)","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702012000400004&lang=pt" 
"S1727-81202012000200001-cub","Fundamentos para el estudio de la respuesta social al Programa de control de vectores del Aedes aegypti en el municipio de Camagüey","Macías Llanes, María Elena, Díaz Campos, Norbis, Bujardón Mendoza, Alberto","Humanidades Médicas; 12(2); 146-166","Humanidades Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-81202012000200001&lang=pt" 
"S1727-81202012000200002-cub","Modelo teórico para la evaluación de impacto en programas de Salud Pública","Mirabal Nápoles, Marjoris, Rodríguez Sánchez, Joaquín, Guerrero Ramírez, Marina, Álvarez Muñoz, Maira","Humanidades Médicas; 12(2); 167-183","Humanidades Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-81202012000200002&lang=pt" 
"S1727-81202012000200003-cub","Factores de riesgo para la salud familiar: acontecimientos significativos","Herrera Santi, Patricia María","Humanidades Médicas; 12(2); 184-191","Humanidades Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-81202012000200003&lang=pt" 
"S1727-81202012000200004-cub","La atención psicoterapéutica en el ámbito de las adicciones: Una reflexión desde la ética profesional","Barrios Hernández, Yanquiel, González López, Alejandro David","Humanidades Médicas; 12(2); 192-202","Humanidades Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-81202012000200004&lang=pt" 
"S1727-81202012000200005-cub","Caracterización de las necesidades psicosociales del enfermo oncológico terminal","Garrido Pérez, María de los Angeles, Bárbara Gil García, Xiomara","Humanidades Médicas; 12(2); 203-216","Humanidades Médicas","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-81202012000200005&lang=pt" 
