"S1678-77572008000400006-scl","Surface degradation of composite resins by acidic medicines and ph-cycling","Valinoti, Ana Carolina, Neves, Beatriz Gonçalves, Silva, Eduardo Moreira da, Maia, Lucianne Cople","Journal of Applied Oral Science; 16(4); 257-265","Journal of Applied Oral Science","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572008000400006&lang=pt" 
"S1678-77572008000400007-scl","Influence of the curing method on the post-polymerization shrinkage stress of a composite resin","Cunha, Leonardo Gonçalves, Alonso, Roberta Caroline Bruschi, Souza-Junior, Eduardo José Carvalho de, Neves, Ana Christina Elias Claro, Correr-Sobrinho, Lourenço, Sinhoreti, Mário Alexandre Coelho","Journal of Applied Oral Science; 16(4); 266-270","Journal of Applied Oral Science","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572008000400007&lang=pt" 
"S1678-77572008000400009-scl","Determination of the maximum inhibitory dilution of cetylpyridinium chloride-based mouthwashes against staphylococcus aureus: an in vitro study","Watanabe, Evandro, Tanomaru, Juliane Maria Guerreiro, Nascimento, Andresa Piacezzi, Matoba-Júnior, Fumio, Tanomaru-Filho, Mario, Yoko Ito, Izabel","Journal of Applied Oral Science; 16(4); 275-279","Journal of Applied Oral Science","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572008000400009&lang=pt" 
"S1678-77572008000400010-scl","Effect of conventional and experimental gingival retraction solutions on the tensile strength and inhibition of polymerization of four types of impression materials","Sábio, Sérgio, Franciscone, Paulo Afonso, Mondelli, José","Journal of Applied Oral Science; 16(4); 280-285","Journal of Applied Oral Science","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572008000400010&lang=pt" 
"S1678-77572008000400011-scl","Dental caries experience in 12-year-old schoolchildren in southeastern Brazil","Cypriano, Silvia, Hoffmann, Rosana H. S., Sousa, Maria da Luz R. de, Wada, Ronaldo S.","Journal of Applied Oral Science; 16(4); 286-296","Journal of Applied Oral Science","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572008000400011&lang=pt" 
"S1678-77572008000400013-scl","Toxicity Testing of Restorative Dental Materials Using Brine Shrimp Larvae (Artemia salina)","Milhem, Manar M., Al-Hiyasat, Ahmad S., Darmani, Homa","Journal of Applied Oral Science; 16(4); 297-301","Journal of Applied Oral Science","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572008000400013&lang=pt" 
"S1678-77572008000400014-scl","Segmental LeFort I osteotomy for treatment of a class III malocclusion with temporomandibular disorder","Janson, Marcos, Janson, Guilherme, Sant&#039;Ana, Eduardo, Nakamura, Alexandre, Freitas, Marcos Roberto de","Journal of Applied Oral Science; 16(4); 302-309","Journal of Applied Oral Science","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572008000400014&lang=pt" 
"S0004-27302008000600015-scl","Apoptose, proliferação e histomorfometria do baço de ratas adultas com hipofunção tireoidiana e ovariana","Gomes, Mardelene G., Silva, Cristiana Moreira da, Ribeiro, Ana F. Carvalho, Ocarino, Natália M., Moro, Luciana, Vasconcelos, Anilton C., Serakides, Rogéria","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 1031-1038","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600015&lang=pt" 
"S0004-27302008000600014-scl","Fatores de risco para aterosclerose associados à aptidão cardiorrespiratória e ao IMC em adolescentes","Stabelini Neto, Antonio, Bozza, Rodrigo, Ulbrich, Anderson Zampier, Vasconcelos, Ítalo Quenni A. de, Mascarenhas, Luis P. G., Boguszewski, Margaret C. da S., Campos, Wagner de","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 1024-1030","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600014&lang=pt" 
"S0004-27302008000600001-scl","ABE&amp;M e fator de impacto","Kimura, Edna T.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 925-926","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600001&lang=pt" 
"S0004-27302008000600013-scl","Síndrome metabólica em motoristas profissionais de transporte de cargas da rodovia BR-116 no trecho Paulista-Régis Bittencourt","Cavagioni, Luciane Cesira, Bensenõr, Isabela M., Halpern, Alfredo, Pierin, Angela M. G.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 1015-1023","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600013&lang=pt" 
