"S0100-879X2000000200003-scl","Insect juvenile hormone: from &quot;status quo&quot; to high society","Hartfelder, K.","Brazilian Journal of Medical and Biological Research; 33(2); 157-177","Brazilian Journal of Medical and Biological Research","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2000000200003&lang=pt" 
"S0100-879X2000000200014-scl","Alternative mitochondrial functions in cell physiopathology: beyond ATP production","Kowaltowski, A.J.","Brazilian Journal of Medical and Biological Research; 33(2); 241-250","Brazilian Journal of Medical and Biological Research","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2000000200014&lang=pt" 
"S0004-27492000000100002-scl","Orgulho e agradecimentos","Bicas, Harley E. A., Muccioli, Cristina, Campos, Mauro, Goldchmit, Mauro, Bechara, Samir J., Costa, Vital Paulino","Arquivos Brasileiros de Oftalmologia; 63(1); 7-8","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100002&lang=pt" 
"S0004-27492000000100001-scl","A Literatura Oftalmológica e os Arquivos Brasileiros de Oftalmologia como Instrumentos de Educação e Atualização","Belfort Jr., Rubens","Arquivos Brasileiros de Oftalmologia; 63(1); 5-5","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100001&lang=pt" 
"S0004-27492000000100016-scl","Descolamento ciliocoroidal e hipotonia causados por supressores do humor aquoso: síndrome da supersensibilidade aos supressores do humor aquoso","Silva, Maria Rosa Bet de Moraes, Jorge, Edson Nacib, Schellini, Silvana Artioli","Arquivos Brasileiros de Oftalmologia; 63(1); 83-86","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100016&lang=pt" 
"S0004-27492000000100015-scl","Infiltração conjuntival como primeira manifestação de leucemia mielóide aguda: relato de caso","Komagome, Ciro Massaiuki, Sousa, Luciene Barbosa de, Pinheiro, Maria do Carmo, Rigueiro, Moacyr, Gil, Isabel Cristina Proença, Freitas, Denise de","Arquivos Brasileiros de Oftalmologia; 63(1); 79-81","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100015&lang=pt" 
"S0004-27492000000100012-scl","Laboratorial analyses of fungal keratitis in a University Service","Andrade, Alfredo José Muniz de, Vieira, Luís Antônio, Höfling-Lima, Ana Luisa, Yu, Maria Cecília Zorat, Gompertz, Olga Fischman, Freitas, Denise de, Souza, Luciene Barbosa de","Arquivos Brasileiros de Oftalmologia; 63(1); 59-63","Arquivos Brasileiros de Oftalmologia","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100012&lang=pt" 
"S0004-27492000000100011-scl","Rejeição corneana pós transplante de córnea: análise de dados do Banco de Olhos do Hospital São Paulo - Escola Paulista de Medicina","Chalita, Maria Regina Catai, Diazgranados, Eileen Beatriz Mejia, Sato, Elcio H., Branco, Bruno Castelo, Freitas, Denise de","Arquivos Brasileiros de Oftalmologia; 63(1); 55-58","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100011&lang=pt" 
"S0004-27492000000100010-scl","Causas de cegueira e baixa visão em crianças","Brito, Patrícia Ribeiro, Veitzman, Sílvia","Arquivos Brasileiros de Oftalmologia; 63(1); 49-54","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100010&lang=pt" 
"S0004-27492000000100007-scl","Tratamento da úlcera corneana experimental com membrana amniótica","Monteiro, Eliana Cristina Louza, Schellini, Silvana Artioli, Marques, Mariângela E. Alencar, Kamegasawa, Amélia, Padovani, Carlos Roberto","Arquivos Brasileiros de Oftalmologia; 63(1); 33-37","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100007&lang=pt" 
"S0004-27492000000100006-scl","Facoemulsificação: resultados e complicações nos primeiros 100 olhos","Araújo, Maria Emília Xavier dos Santos, Chou, André Chang, Silva, Clebert Reinaldo da, Oliveira, Leonardo Bruno de, Neustein, Isaac","Arquivos Brasileiros de Oftalmologia; 63(1); 29-31","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100006&lang=pt" 
