"S1852-38622009000300003-arg","Insuficiencia cardíaca y diabetes: Una combinación de alto riesgo","Botta, Cristian E","Insuficiencia cardíaca; 4(3); 107-113","Insuficiencia cardíaca","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622009000300003&lang=pt" 
"S1852-38622009000300004-arg","Manejo contemporáneo de la insuficiencia mitral severa","Bichara, Valentina M, Michelena, Héctor I, Topilsky, Yan, Suri, Rakesh, Enriquez-Sarano, Maurice","Insuficiencia cardíaca; 4(3); 114-122","Insuficiencia cardíaca","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622009000300004&lang=pt" 
"S1852-38622009000300005-arg","Utilidad de la estimación del índice cardíaco y de la resistencia vascular sistémica por eco-Doppler para el diagnóstico de insuficiencia cardíaca","Florio, Lucía, Vignolo, Gustavo, Centurión, Raúl, Pouso, Jorge","Insuficiencia cardíaca; 4(3); 123-129","Insuficiencia cardíaca","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622009000300005&lang=pt" 
"S1852-38622009000300006-arg","Muerte súbita en deportistas: Importancia del reconocimiento de las miocardiopatías","Pérez, América, González Zuelgaray, Jorge","Insuficiencia cardíaca; 4(3); 130-135","Insuficiencia cardíaca","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622009000300006&lang=pt" 
"S1852-38622009000300007-arg","Nuevos paradigmas sobre &quot;temas congestivos&quot; en insuficiencia cardíaca aguda","Lobo Márquez, Lilia Luz","Insuficiencia cardíaca; 4(3); 136-141","Insuficiencia cardíaca","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622009000300007&lang=pt" 
"S1852-38622009000300008-arg","Los beta bloqueantes en pacientes ancianos con insuficiencia cardíaca","Daniel, Carlos, Bevacqua, Raúl J.","Insuficiencia cardíaca; 4(3); 142-148","Insuficiencia cardíaca","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622009000300008&lang=pt" 
"S1852-38622009000300009-arg","Angiosarcoma de aurícula derecha irresecable","Burgos, Claudio, Peroni, Daniel, Burgos, Martín","Insuficiencia cardíaca; 4(3); 149-150","Insuficiencia cardíaca","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622009000300009&lang=pt" 
"S0034-75232009000300001-cub","Perfil clínico, epidemiológico y microbiológico de la endocarditis infecciosa en el Hospital &quot;Hermanos Ameijeiras&quot;, 2005-2008","Leyva Quert, Abel Yoandri, Ruiz Camejo, Thania, González Corrig, Marian, Méndez Peralta, Tomás, Ramos Emperador, Carlos","Revista Cubana de Medicina; 48(3); 1-14","Revista Cubana de Medicina","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232009000300001&lang=pt" 
"S0034-75232009000300002-cub","Supervivencia de pacientes con carcinoma broncógeno en el Hospital &quot;Hermanos Ameijeiras&quot; de 1997-2002","Morales Sánchez, Lisvenia, Gassiot Nuño, Carlos, Nenínger Vinageras, Elia, Prior García, Ada, Rodríguez Vázquez, Juan C.","Revista Cubana de Medicina; 48(3); 15-27","Revista Cubana de Medicina","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232009000300002&lang=pt" 
"S0034-75232009000300003-cub","Prevalencia del virus de la hepatitis C en las unidades de hemodiálisis de la región occidental cubana","Santana Hernández, Rita Rosa, Martínez Córdova, Zuzet, Martínez Echeverría, María Teresa, Mato Luis, Jorge","Revista Cubana de Medicina; 48(3); 28-35","Revista Cubana de Medicina","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232009000300003&lang=pt" 
"S0034-75232009000300004-cub","Superioridad del uso de anticuerpos policlonales (Thymogam) en pacientes con trasplantes renales en el Instituto de Nefrología, 2003-2007","Mármol Sóñora, Alexander, Pérez Rodríguez, Alexis, Fernández-Vega García, Silvia, Gutiérrez García, Francisco, Pérez de Prado Valdivia, Juan C.","Revista Cubana de Medicina; 48(3); 36-47","Revista Cubana de Medicina","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232009000300004&lang=pt" 
"S0034-75232009000300005-cub","Seguimiento a mediano plazo tras la implantación de stents coronarios convencionales en mujeres","Leyva Quert, Abel Yoandri, Conde Pérez, Pedro, Méndez Peralta, Tomas, Almeida Gómez, Javier, Valdés Recarey, Manuel, Claro Valdez, Ramón","Revista Cubana de Medicina; 48(3); 48-58","Revista Cubana de Medicina","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232009000300005&lang=pt" 
"S0034-75232009000300006-cub","Evaluación del estado cognitivo de los adultos mayores de 60 años, en un área de salud del Policlínico Docente Plaza de la Revolución","Monteagudo Torres, Marisol, Gómez Viera, Nelson, Martín Labrador, Miladys, Jiménez Fontao, Lilliam, Mc Cook, Ernesto, Ruiz García, Dania","Revista Cubana de Medicina; 48(3); 59-70","Revista Cubana de Medicina","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232009000300006&lang=pt" 
"S0034-75232009000300007-cub","Enfoque actual sobre la fisiopatología del síndrome coronario agudo","Odorico Rizo Rivera, Ginner, Ramírez Gómez, José Ignacio, Gómez García, Yannelis del Carmen","Revista Cubana de Medicina; 48(3); 71-87","Revista Cubana de Medicina","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232009000300007&lang=pt" 
"S0034-75232009000300008-cub","Papel de los polimorfismos genéticos del receptor de reconocimiento de patrones &quot;Toll&quot; en el trasplante","Martínez Córdova, Zuzet, Calzadilla Lugo, Flora, García González, Igrid, del Valle Calzadilla, Dalila","Revista Cubana de Medicina; 48(3); 88-100","Revista Cubana de Medicina","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232009000300008&lang=pt" 
"S0034-75232009000300009-cub","La municipalización de la enseñanza de la clínica","Blanco Aspiazú, Miguel Ángel, Suárez Bergado, Roberto, Fernández Camejo, Josefina, Canelles Pupo, Marino Gabriel, Ramírez Chávez, Justo","Revista Cubana de Medicina; 48(3); 101-108","Revista Cubana de Medicina","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232009000300009&lang=pt" 
"S0034-75232009000300010-cub","Enfermedad de Rendu-Osler-Weber","Astencio Rodríguez, Gloria, Garib Alpízar, Onix César, Ventura Blanco, José Napoleón, Torres Cueva, Boris L., de León Rubio, Nancy, Hernández, Jorge Luis","Revista Cubana de Medicina; 48(3); 109-118","Revista Cubana de Medicina","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232009000300010&lang=pt" 
"S0034-75232009000300011-cub","Cáncer diseminado y supervivencia prolongada.: A propósito de un caso","Senra Armas, Luis, Roca Campañá, Víctor, Pérez Suárez, Julio C., Hernández Castro, Jorge L., Cand Huerta, Cosme, Suárez Navarro, Eliecer","Revista Cubana de Medicina; 48(3); 119-124","Revista Cubana de Medicina","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232009000300011&lang=pt" 
"S0034-75232009000300012-cub","Los criterios diagnósticos en la práctica clínica","Espinosa Brito, Alfredo","Revista Cubana de Medicina; 48(3); 125-134","Revista Cubana de Medicina","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232009000300012&lang=pt" 
"S0213-61632009000300006-esp","Nightmare in schizophrenic and depressed patients","Okorome Mume, Celestine","The European Journal of Psychiatry; 23(3); 177-183","The European Journal of Psychiatry","Inglês","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-61632009000300006&lang=pt" 
"S0213-61632009000300002-esp","Clonal pluralization, as an interpretative delusion after a hallucinatory form of autoscopy","Agnes, Nagy, Tamas, Tenyi, Kovacs, Attila, Fekete, Sandor, Voros, Viktor","The European Journal of Psychiatry; 23(3); 141-146","The European Journal of Psychiatry","Inglês","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-61632009000300002&lang=pt" 
"S0213-61632009000300003-esp","Binding of levomepromazine and cyamemazine to human recombinant dopamine receptor subtypes","Srivastava, Lalit K., Nair, Neelakanta P.V., Lal, Samarthji","The European Journal of Psychiatry; 23(3); 147-152","The European Journal of Psychiatry","Inglês","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-61632009000300003&lang=pt" 
"S0213-61632009000300001-esp","Somatization and psychological awareness of ethnic minority clients in Western-European mental health care: A pilot study","Bekker, Marrie H.J., Schepman, Roel","The European Journal of Psychiatry; 23(3); 135-139","The European Journal of Psychiatry","Inglês","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-61632009000300001&lang=pt" 
"S0103-20032009000300001-scl","Análise e quantificação do risco para a gestão eficiente do portfólio agrícola das seguradoras","Ozaki, Vitor Augusto, Dias, Carlos Tadeu dos Santos","Revista de Economia e Sociologia Rural; 47(3); 549-567","Revista de Economia e Sociologia Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032009000300001&lang=pt" 
"S0103-20032009000300003-scl","Análise da eficiência do mercado futuro brasileiro de boi gordo usando co-integração","Moraes, André Steffens, Lima, Ricardo Chaves, Melo, André de Souza","Revista de Economia e Sociologia Rural; 47(3); 601-614","Revista de Economia e Sociologia Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032009000300003&lang=pt" 
"S0103-20032009000300006-scl","Desempenho da apicultura no estado do Ceará: competitividade, nível tecnológico e fatores condicionantes","Khan, Ahmad Saeed, Matos, Verônica Damasceno de, Lima, Patrícia Verônica Pinheiro Sales","Revista de Economia e Sociologia Rural; 47(3); 651-676","Revista de Economia e Sociologia Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032009000300006&lang=pt" 
"S0103-20032009000300009-scl","A contribuição da pesquisa para convergência e crescimento da renda agropecuária no Brasil","Barreto, Ricardo Candéa Sá, Almeida, Eduardo","Revista de Economia e Sociologia Rural; 47(3); 719-737","Revista de Economia e Sociologia Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032009000300009&lang=pt" 
"S0103-20032009000300011-scl","Estado e agricultores familiares: uma análise interpretativa sobre o desenvolvimento rural no Sul de Minas Gerais","Ferreira, Patrícia Aparecida, Pereira, José Roberto, Alencar, Edgard, Santana, Ana Carolina","Revista de Economia e Sociologia Rural; 47(3); 769-792","Revista de Economia e Sociologia Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032009000300011&lang=pt" 
"S0103-20032009000300002-scl","Agroindústria canavieira e crescimento econômico local","Shikida, Pery Francisco Assis, Souza, Elvanio Costa de","Revista de Economia e Sociologia Rural; 47(3); 569-600","Revista de Economia e Sociologia Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032009000300002&lang=pt" 
"S0103-20032009000300010-scl","Lealdade e oportunismo nas cooperativas: desafios e mudanças na gestão","Simioni, Flávio José, Siqueira, Elisabete Stradiotto, Binotto, Erlaine, Spers, Eduardo Eugênio, Araújo, Zilda Aparecida Soares de","Revista de Economia e Sociologia Rural; 47(3); 739-765","Revista de Economia e Sociologia Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032009000300010&lang=pt" 
"S0213-61632009000300004-esp","First admissions for psychoses in Eastern Piedmont-Italy","Zeppegno, Patrizia, Probo, Manuela, Ferrante, Daniela, Lavatelli, Lisa, Airoldi, Paola, Magnani, Corrado, Torre, Eugenio","The European Journal of Psychiatry; 23(3); 153-165","The European Journal of Psychiatry","Inglês","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-61632009000300004&lang=pt" 
"S0213-61632009000300007-esp","Motor speed predicts stability of cognitive deficits in both schizophrenic and bipolar I patients at one-year follow-up","Salazar-Fraile, J., Balanzá-Martínez, V., Selva-Vera, G., Martínez-Aran, A., Sánchez-Moreno, J., Rubio, C., Vieta, E., Gómez-Beneyto, M., Tabarés-Seisdedos, R.","The European Journal of Psychiatry; 23(3); 184-197","The European Journal of Psychiatry","Inglês","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-61632009000300007&lang=pt" 
"S0213-61632009000300005-esp","Light-therapy applications for DSM-IV-TR disease entities","Paino, Mercedes, Fonseca-Pedrero, Eduardo, Bousoño, Manuel, Lemos-Giráldez, Serafín","The European Journal of Psychiatry; 23(3); 166-176","The European Journal of Psychiatry","Inglês","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-61632009000300005&lang=pt" 
"S0188-25032009000300001-mex","Excedente económico y persistencia de las desigualdades en América Latina","Pérez Sáinz, Juan Pablo, Mora Salas, Minor","Revista mexicana de sociología; 71(3); 411-451","Revista mexicana de sociología","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032009000300001&lang=pt" 
"S0188-25032009000300002-mex","La territorialidad rural mexicana en un contexto de descentralización y competencia electoral","Torres-Mazuera, Gabriela","Revista mexicana de sociología; 71(3); 453-490","Revista mexicana de sociología","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032009000300002&lang=pt" 
"S0188-25032009000300003-mex","Segmentación de la fuerza de trabajo e identidad obrera en Argentina","Maceira, Verónica Viviana","Revista mexicana de sociología; 71(3); 491-524","Revista mexicana de sociología","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032009000300003&lang=pt" 
