"S1021-545X2013000200003-sza","A historical perspective on the recognition of same-sex unions in South Africa","de Ru, H","Fundamina; 19(2); 221-250","Fundamina","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-545X2013000200003&lang=pt" 
"S1021-545X2013000200001-sza","Laws on adultery: comparing the historical development of South African common-law principles with those in English law","Carnelley, Marita","Fundamina; 19(2); 185-211","Fundamina","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-545X2013000200001&lang=pt" 
"S1021-545X2013000200008-sza","L&#039;état d&#039;exception and/or a state of siege: what is really wrong with section 9(2) of the Constitution of Cameroon?","Kamga, Gerard Emmanuel Kamdem","Fundamina; 19(2); 333-351","Fundamina","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-545X2013000200008&lang=pt" 
"S1021-545X2013000200009-sza","The status of a bearer of rights within the European legal tradition: the tradition of Rome and Jerusalem - a case study","de Bérier, Franciszek Longchamps","Fundamina; 19(2); 352-366","Fundamina","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-545X2013000200009&lang=pt" 
"S1017-04992013000200021-sza","The history of theologised politics of South Africa, the 1913 Land Act and its impact on the flight from the black self","Lephakga, Tshepo","Studia Historiae Ecclesiasticae; 39(2); 379-400","Studia Historiae Ecclesiasticae","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992013000200021&lang=pt" 
"S1017-04992013000200020-sza","The Natives Land Act of 1913 engineered the poverty of Black South Africans: a historico-ecclesiastical perspective","Modise, Leepo, Mtshiselwa, Ndikho","Studia Historiae Ecclesiasticae; 39(2); 359-378","Studia Historiae Ecclesiasticae","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992013000200020&lang=pt" 
"S1017-04992013000200023-sza","","","Studia Historiae Ecclesiasticae; 39(2); 423-438","Studia Historiae Ecclesiasticae","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992013000200023&lang=pt" 
"S1017-04992013000200022-sza","Mistieke elemente in Dante se Divina Commedia, met verwysing na die Inferno","du Toit, Cornel W","Studia Historiae Ecclesiasticae; 39(2); 403-419","Studia Historiae Ecclesiasticae","Africaner","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992013000200022&lang=pt" 
"S1017-04992013000200018-sza","The problematic nature of divorcing life from life","Senokoane, BB (Tumi)","Studia Historiae Ecclesiasticae; 39(2); 319-332","Studia Historiae Ecclesiasticae","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992013000200018&lang=pt" 
"S1017-04992013000200019-sza","The role played by Church and State in the democratisation process in Mozambique, 1975-2004","Vilanculos, Júlio André","Studia Historiae Ecclesiasticae; 39(2); 333-355","Studia Historiae Ecclesiasticae","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992013000200019&lang=pt" 
"S1017-04992013000200010-sza","Theological education of nineteenth-century French Missionaries: an appropriation of the Catholicity of Classical Christian Theology","Neele, Adriaan C.","Studia Historiae Ecclesiasticae; 39(2); 149-178","Studia Historiae Ecclesiasticae","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992013000200010&lang=pt" 
