"S1517-97022007000200002-scl","Vãs querelas e verdadeiros objetivos do ensino da literatura na França","Verrier, Jean","Educação e Pesquisa; 33(2); 207-213","Educação e Pesquisa","Francês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022007000200002&lang=pt" 
"S0100-06832007000400009-scl","Acumulação de silício em arroz em diferentes condições de pH da rizosfera","Oliveira, Lilian Aparecida de, Korndörfer, Gaspar Henrique, Pereira, Ana Cristina","Revista Brasileira de Ciência do Solo; 31(4); 685-690","Revista Brasileira de Ciência do Solo","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832007000400009&lang=pt" 
"S0100-06832007000400017-scl","Atributos físicos do solo e rendimento de soja em sistema plantio direto em integração lavoura-pecuária com diferentes pressões de pastejo","Flores, João Paulo Cassol, Anghinoni, Ibanor, Cassol, Luis César, Carvalho, Paulo César de Faccio, Leite, João Guilherme Dal Belo, Fraga, Thiago Isquierdo","Revista Brasileira de Ciência do Solo; 31(4); 771-780","Revista Brasileira de Ciência do Solo","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832007000400017&lang=pt" 
"S0100-06832007000400021-scl","Fate of nickel ion in (II-III) hydroxysulphate green rust synthesized by precipitation and coprecipitation","Chaves, Lucia Helena Garófalo, Curry, Joan Elizabeth, Stone, David Andrew, Chorover, Jon","Revista Brasileira de Ciência do Solo; 31(4); 813-818","Revista Brasileira de Ciência do Solo","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832007000400021&lang=pt" 
"S0100-06832007000400023-scl","Uso de opalas biogênicas na identificação de sedimentos lacustres e marinhos","Lani, João Luiz, Schwandes, Larry, Rezende, Sérvulo Batista de, Lani, José Antonio, Amaral, Eufran Ferreira do, Cunha, Alexson de Mello, Costa, Liovando Marciano da","Revista Brasileira de Ciência do Solo; 31(4); 827-832","Revista Brasileira de Ciência do Solo","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832007000400023&lang=pt" 
"S0100-06832007000400024-scl","Comentários sobre &quot;desempenho da co-krigagem na determinação da variabilidade de atributos do solo&quot;","","Revista Brasileira de Ciência do Solo; 31(4); 833-835","Revista Brasileira de Ciência do Solo","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832007000400024&lang=pt" 
"S0034-72992007000400001-scl","Mutirões de tonsilectomia","Miziara, Ivan D.","Revista Brasileira de Otorrinolaringologia; 73(4); 434-434","Revista Brasileira de Otorrinolaringologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72992007000400001&lang=pt" 
"S0034-72992007000400022-scl","Paralisia bilateral do hipoglosso na evolução de otite externa necrotizante","Fonseca, Adriano Santana, Andrade, Nilvano Alves de, Andrade Neto, Miguel Leal, Santos, Vyrna Medeiros de Moura","Revista Brasileira de Otorrinolaringologia; 73(4); 576-576","Revista Brasileira de Otorrinolaringologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72992007000400022&lang=pt" 
"S0034-72992007000400021-scl","Traumatismo crânio-facial por arma branca","Almeida, Francisco S., Pialarissi, Paulo R., Camanducaia, José A., Reis, José M., Neves, Natanael J. A., Silva, André","Revista Brasileira de Otorrinolaringologia; 73(4); 575-575","Revista Brasileira de Otorrinolaringologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72992007000400021&lang=pt" 
"S0034-72992007000400006-scl","Mentoplastia para avanço do músculo genioglosso em pacientes com síndrome da apnéia-hipopnéia do sono obstrutiva e retrognatismo mandibular","Santos Junior, João Ferreira dos, Abrahão, Márcio, Gregório, Luiz Carlos, Zonato, Adriane Iurk, Gumieiro, Emne Hammoud","Revista Brasileira de Otorrinolaringologia; 73(4); 480-486","Revista Brasileira de Otorrinolaringologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72992007000400006&lang=pt" 
"S0034-72992007000400010-scl","Comparação entre limiares de audibilidade e eletrofisiológico por estímulo tone burst","Pinto, Fernanda Rodrigues, Matas, Carla Gentile","Revista Brasileira de Otorrinolaringologia; 73(4); 513-522","Revista Brasileira de Otorrinolaringologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72992007000400010&lang=pt" 
