"S0100-40422011000200013-scl","Derivados citotóxicos de vitanolidos isolados das folhas de Acnistus arborescens","Minguzzi, Sandro, Barata, Lauro E. S., Cordell, Geoffrey A.","Química Nova; 34(2); 237-241","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200013&lang=pt" 
"S0100-40422011000200014-scl","Quantitative structure-retention relationships analysis of retention index of essential oils","Noorizadeh, Hadi, Farmany, Abbas, Noorizadeh, Mehrab","Química Nova; 34(2); 242-249","Química Nova","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200014&lang=pt" 
"S0100-40422011000200016-scl","Sequential injection analysis system with spectrophotometric detection for determination of norfloxacin and ciprofloxacin in pharmaceutical formulations","Rufino, José Luiz, Pezza, Helena Redigolo, Pezza, Leonardo, Pinto, Paula C. A. G., Saraiva, M. Lúcia M. F. S., Lima, José L. F. C.","Química Nova; 34(2); 256-261","Química Nova","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200016&lang=pt" 
"S0100-40422011000200019-scl","Determinação simultânea de trialometanos e agrotóxicos em água por cromatografia gasosa","Carlos, Elenice A., Neves, Antônio A., Reis, César, Queiroz, Maria Eliana L. R. de","Química Nova; 34(2); 272-278","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200019&lang=pt" 
"S0100-40422011000200020-scl","Determinação de constituintes químicos em madeira de eucalipto por Pi-CG/EM e calibração multivariada: comparação entre redes neurais artificiais e máquinas de vetor suporte","Nunes, Cleiton Antônio, Lima, Claudio Ferreira, Barbosa, Luiz Cláudio de Almeida, Colodette, Jorge Luiz, Fidêncio, Paulo Henrique","Química Nova; 34(2); 279-283","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200020&lang=pt" 
"S0100-40422011000200021-scl","Glicoalcaloides antifúngicos, flavonoides e outros constituintes químicos de Solanum asperum","Pinto, Francisco das Chagas L., Uchoa, Daniel Esdras de A., Silveira, Edilberto R., Pessoa, Otília Deusdênia L., Braz-Filho, Raimundo, Silva, Fernanda M. e, Theodoro, Phellipe N. E. T., Espíndola, Laila S.","Química Nova; 34(2); 284-288","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200021&lang=pt" 
"S0100-40422011000200022-scl","Bromopyrrole alkaloids from the caribbean sponge Agelas cerebrum","Regalado, Erik L., Laguna, Abilio, Mendiola, Judith, Thomas, Olivier P., Nogueiras, Clara","Química Nova; 34(2); 289-291","Química Nova","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200022&lang=pt" 
"S0100-40422011000200024-scl","Relações patofisiológicas entre estresse oxidativo e arteriosclerose","Silva, Danielle da Costa, Cerchiaro, Giselle, Honório, Káthia M.","Química Nova; 34(2); 300-305","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200024&lang=pt" 
"S0100-40422011000200025-scl","Glicerol: um breve histórico e aplicação em sínteses estereosseletivas","Beatriz, Adilson, Araújo, Yara J. K., Lima, Dênis Pires de","Química Nova; 34(2); 306-319","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200025&lang=pt" 
"S0100-40422011000200029-scl","Otimização de método para análise de folatos em hortaliças folhosas por cromatografia líquida de alta eficiência com detecção por fluorescência","Lucia, Ceres Mattos Della, Silva, Elizangela Rodrigues da, Ribeiro, Sônia Machado Rocha, Pinheiro-Sant&#039;Ana, Helena Maria, Brandão, Sebastião César Cardoso","Química Nova; 34(2); 335-340","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200029&lang=pt" 
"S0100-40422011000200032-scl","A Equação-Mestra: atingindo o equilíbrio","Correra, Thiago Carita, Frank, André de Carvalho","Química Nova; 34(2); 346-353","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200032&lang=pt" 
"S0100-40422011000200033-scl","Artigos da revista Ciência Hoje como recurso didático no ensino de química","Ferreira, Luciana Nobre de Abreu, Queiroz, Salete Linhares","Química Nova; 34(2); 354-360","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200033&lang=pt" 
"S0100-40422011000200034-scl","O primeiro curso regular de química no Brasil","Santos, Nadja Paraense dos, Filgueiras, Carlos A. L.","Química Nova; 34(2); 361-366","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200034&lang=pt" 
"S0100-40422011000200015-scl","Development and validation of a stability-indicating UPLC method for rosuvastatin and its related impurities in pharmaceutical dosage forms","Reddy, Gosula Venkat Ram, Reddy, Bobba Venkateswara, Haque, Syed Wasimul, Gautam, Haum Dutt, Kumar, Poonam, Kumar, Avvaru Praveen, Park, Jung Hag","Química Nova; 34(2); 250-255","Química Nova","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200015&lang=pt" 
"S1807-59322011000100011-scl","Impact of MELD allocation policy on survival outcomes after liver transplantation: a single-center study in northeast Brazil","Batista, Thales Paulo, Sabat, Bernardo David, Melo, Paulo Sérgio V., Miranda, Luiz Eduardo C., Fonseca-Neto, Olival Cirilo L., Amorim, Américo Gusmão, Lacerda, Cláudio Moura","Clinics; 66(1); 57-64","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100011&lang=pt" 
"S0100-40422011000200023-scl","Pharmaceutical use of galactomannans","Silveira, Joana Léa Meira, Bresolin, Tania Mari Bellé","Química Nova; 34(2); 292-299","Química Nova","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200023&lang=pt" 
