"S0044-59671985000200403-scl","Protótipo de um cata-àgua que gera 1 Kw de eletricidade.(*)","Harwood, John Harry","Acta Amazonica; 15(3-4); 403-412","Acta Amazonica","Português","1985","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59671985000200403&lang=pt" 
"S0034-71671985000400001-scl","Um papel intransferível","","Revista Brasileira de Enfermagem; 38(3-4); 213-213","Revista Brasileira de Enfermagem","Português","1985","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671985000400001&lang=pt" 
"S0034-71671985000400005-scl","Retrospectiva das publicações de pesquisas realizadas sobre educação em enfermagem: 1947-1981","Ruffino, Márcia Caron, Freitas, Dulce Maria Vendrúscolo de, Casagrande, Lisete Diniz Ribas","Revista Brasileira de Enfermagem; 38(3-4); 245-256","Revista Brasileira de Enfermagem","Português","1985","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671985000400005&lang=pt" 
"S0034-71671985000400003-scl","Segurança emocional como necessidade humana básica: atuação do enfermeiro junto ao cliente em unidade de terapia intensiva","Espírito Santo, Teresinha de Jesus Monteiro","Revista Brasileira de Enfermagem; 38(3-4); 231-237","Revista Brasileira de Enfermagem","Português","1985","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671985000400003&lang=pt" 
"S0034-71671985000400002-scl","O enfermeiro no planejamento familiar","Almeida, Maura Maria Guimarães de","Revista Brasileira de Enfermagem; 38(3-4); 215-230","Revista Brasileira de Enfermagem","Português","1985","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671985000400002&lang=pt" 
"S0034-71671985000400009-scl","Representações de gestantes adolescentes solteiras sobre aspectos de sua problemática psicossocial","Garcia, Telma Ribeiro","Revista Brasileira de Enfermagem; 38(3-4); 281-288","Revista Brasileira de Enfermagem","Português","1985","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671985000400009&lang=pt" 
"S0034-71671985000400004-scl","Necessidades e expectativas do paciente em pós-operatório de cirurgia cardíaca: avaliação de uma abordagem da prática","Leite, Joséte Luzia, Corrêa, Denise de Assis, Fernandes, Creusa Selma R.","Revista Brasileira de Enfermagem; 38(3-4); 238-244","Revista Brasileira de Enfermagem","Português","1985","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671985000400004&lang=pt" 
"S0034-71671985000400008-scl","Alimentação de zero a um ano de idade: um desafio aos profissionais de saúde","Wright, Maria da Glória Miotto, Oliveira, José Eduardo Dutra de","Revista Brasileira de Enfermagem; 38(3-4); 275-280","Revista Brasileira de Enfermagem","Português","1985","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671985000400008&lang=pt" 
"S0034-71671985000400014-scl","A fitoterapia e a homeopatia como práticas médicas alternativas","Gomes, Daisy Leslie Steagall, Romanholi, Luzia Márcia, Souza, Maria Tereza Garcia de","Revista Brasileira de Enfermagem; 38(3-4); 329-348","Revista Brasileira de Enfermagem","Português","1985","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671985000400014&lang=pt" 
"S0034-71671985000400007-scl","Sondagem nasogástrica: técnica simples?","Gir, Elucir, Moriya, Tokico Murakawa, Robazzi, Maria Lúcia do Carmo Cruz","Revista Brasileira de Enfermagem; 38(3-4); 266-274","Revista Brasileira de Enfermagem","Português","1985","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671985000400007&lang=pt" 
"S0034-71671985000400018-scl","Educação para a saúde junto a um grupo de adolescentes: relato de uma experiência de estudantes de enfermagem","Martins, Yara Perez, Moretto, Sandra Cristina","Revista Brasileira de Enfermagem; 38(3-4); 370-379","Revista Brasileira de Enfermagem","Português","1985","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71671985000400018&lang=pt" 
