"S0211-69952011000200016-esp","Factores de riesgo para desarrollar hernias abdominales en enfermos en diálisis peritoneal","Gracia Toledo, M., Borràs Sans, M., Gabarrell, A., Durán, J., Fernández Giráldez, E.","Nefrología (Madrid); 31(2); 218-219","Nefrología (Madrid)","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952011000200016&lang=pt" 
"S0211-69952011000200018-esp","Nefropatía tras la administración de inhibidores de la angiogénesis","Vello Román, A., Samprón Rodríguez, M., Pazos Arias, B., Romero Reinoso, C., Peteiro Cancelo, A.","Nefrología (Madrid); 31(2); 221-222","Nefrología (Madrid)","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952011000200018&lang=pt" 
"S0211-69952011000200019-esp","Primer caso de infección peritoneal por Oerskovia turbata (Cellulosimicrobium funkei)","Betancourt Castellanos, L., Ponz Clemente, E., Fontanals Aymerich, D., Blasco Cabañas, C., Marquina Parra, D., Grau Pueyo, C., García García, M.","Nefrología (Madrid); 31(2); 223-225","Nefrología (Madrid)","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952011000200019&lang=pt" 
"S0104-14282011000200011-scl","Caracterização de diferentes amostras de mandioca por espectroscopia de ressonância magnética nuclear","Iulianelli, Gisele C. V, Tavares, Maria I. B","Polímeros; 21(2); 131-136","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000200011&lang=pt" 
"S0104-14282011000200001-scl","Mensagem do Presidente da ABPol","Álvares, Dellyo Ricardo S.","Polímeros; 21(2); E1-E1","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000200001&lang=pt" 
"S0104-14282011000200002-scl","Editorial","","Polímeros; 21(2); E1-E1","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000200002&lang=pt" 
"S0104-14282011000200007-scl","Influência da geometria e umidade de colunas de solo na biodegradação de filmes de PCL","Gonçalves, Suely P. C., Campos, Adriana de, Martins-Franchetti, Sandra M.","Polímeros; 21(2); 107-110","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000200007&lang=pt" 
"S0104-14282011000200013-scl","Agregação de cadeias de acetatos de celulose em LiCl/DMAc: avaliação via viscosimetria","Morgado, Daniella L., Martins, Virginia da C. A., Plepis, Ana M. de G., Frollini, Elisabete","Polímeros; 21(2); 143-145","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000200013&lang=pt" 
"S0104-14282011000200009-scl","Reciclagem de rejeitos de poli(tereftalato de etileno) (PET) e de poliamida (PA) por meio de extrusão reativa para a preparação de blendas","Ferreira, Caio T, Fonseca, Juliana B. da, Saron, Clodoaldo","Polímeros; 21(2); 118-122","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000200009&lang=pt" 
"S0100-40422011000500032-scl","Roadmap tecnológico em matérias-primas renováveis: uma base para a construção de políticas e estratégias no Brasil","Coutinho, Paulo, Bomtempo, José Vitor","Química Nova; 34(5); 910-916","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000500032&lang=pt" 
"S0718-07642011000400001-chl","Girona´2011: Un Hito de los Congresos CAIP","","Información tecnológica; 22(4); 1-1","Información tecnológica","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642011000400001&lang=pt" 
