"S1020-49892013000200004-spa","Income-related inequality in health and health care utilization in Chile, 2000 - 2009","Vásquez, Felipe, Paraje, Guillermo, Estay, Manuel","Revista Panamericana de Salud Pública; 33(2); 98-106","Revista Panamericana de Salud Pública","Inglês","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892013000200004&lang=pt" 
"S1020-49892013000200005-spa","Colombian health care system: results on equity for five health dimensions, 2003 - 2008","Ruiz Gómez, Fernando, Zapata Jaramillo, Teana, Garavito Beltrán, Liz","Revista Panamericana de Salud Pública; 33(2); 107-115","Revista Panamericana de Salud Pública","Inglês","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892013000200005&lang=pt" 
"S1020-49892013000200006-spa","Measuring and explaining health and health care inequalities in Jamaica, 2004 and 2007","Scott, Ewan, Theodore, Karl","Revista Panamericana de Salud Pública; 33(2); 116-121","Revista Panamericana de Salud Pública","Inglês","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892013000200006&lang=pt" 
"S1020-49892013000200007-spa","Income-related inequalities and inequities in health and health care utilization in Mexico, 2000 - 2006","Barraza-Lloréns, Mariana, Panopoulou, Giota, Díaz, Beatriz Yadira","Revista Panamericana de Salud Pública; 33(2); 122-130","Revista Panamericana de Salud Pública","Inglês","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892013000200007&lang=pt" 
"S1020-49892013000200009-spa","Retraso en el diagnóstico de lepra como factor pronóstico de discapacidad en una cohorte de pacientes en Colombia, 2000 - 2010","Guerrero, Martha Inírida, Muvdi, Sandra, León, Clara Inés","Revista Panamericana de Salud Pública; 33(2); 137-143","Revista Panamericana de Salud Pública","Espanhol","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892013000200009&lang=pt" 
"S1020-49892013000200010-spa","Política de segurança alimentar e nutricional no Brasil: uma análise da alocação de recursos","Custódio, Marta Battaglia, Yuba, Tânia Yuka, Cyrillo, Denise Cavallini","Revista Panamericana de Salud Pública; 33(2); 144-150","Revista Panamericana de Salud Pública","Português","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892013000200010&lang=pt" 
"S1020-49892013000200011-spa","Agenda Nacional de Investigación en Tuberculosis en Perú, 2011 - 2014","Yagui Moscoso, Martín, Jave, Héctor Oswaldo, Curisinche Rojas, Maricela, Gutiérrez, César, Romaní Romaní, Franco","Revista Panamericana de Salud Pública; 33(2); 151-158","Revista Panamericana de Salud Pública","Espanhol","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892013000200011&lang=pt" 
"S1699-695X2013000100002-esp","Adecuación del tratamiento inhalado en pacientes diagnosticados de Enfermedad Pulmonar Obstructiva Crónica","Díaz-Grávalos, Gabriel J., Palmeiro Fernández, Gerardo, Valiño-López, María Dolores, Robles-Castiñeiras, Aída, Fernández-Silva, María Jesús, Reinoso-Hermida, Santiago, Casado-Górriz, Inmaculada","Revista Clínica de Medicina de Familia; 6(1); 4-9","Revista Clínica de Medicina de Familia","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-695X2013000100002&lang=pt" 
"S1699-695X2013000100010-esp","Cervicobraquialgia: síntoma inicial del Síndrome de Pancoast","Regí Bosque, Meritxell, Villar Balboa, Iván","Revista Clínica de Medicina de Familia; 6(1); 51-53","Revista Clínica de Medicina de Familia","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-695X2013000100010&lang=pt" 
"S1699-695X2013000100004-esp","Factores asociados a sintomatología clínica de miedo y ansiedad en pacientes atendidos en Odontología","Arrieta Vergara, Katherine, Díaz Cárdenas, Shyrley, Verbel Bohórquez, Johana, Hawasly Pastrana, Nathalie","Revista Clínica de Medicina de Familia; 6(1); 17-24","Revista Clínica de Medicina de Familia","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-695X2013000100004&lang=pt" 
"S1699-695X2013000100001-esp","Realidad sanitaria y social de las enfermedades raras en España","Villar Gómez de las Heras, Karina","Revista Clínica de Medicina de Familia; 6(1); 1-3","Revista Clínica de Medicina de Familia","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-695X2013000100001&lang=pt" 
"S1699-695X2013000100005-esp","Conocimiento de las madres sobre la diarrea y su prevención en un asentamiento humano de la provincia de Ica, Perú","Jhonnel Alarco, J., Aguirre-Cuadros, Eduardo, Alvarez-Andrade, Esmilsinia V.","Revista Clínica de Medicina de Familia; 6(1); 25-31","Revista Clínica de Medicina de Familia","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-695X2013000100005&lang=pt" 
