"S0030-24652012000200003-sza","Ebola virus outbreaks in Africa: Past and present","Muyembe-Tamfum, J.J., Mulangu, S., Masumu, Justin, Kayembe, J.M., Kemp, A., Paweska, Janusz T","Onderstepoort Journal of Veterinary Research; 79(2); 06-13","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200003&lang=pt" 
"S0030-24652012000200004-sza","Zoonotic diseases and human health: The human influenza example","Schoub, Barry D","Onderstepoort Journal of Veterinary Research; 79(2); 14-17","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200004&lang=pt" 
"S0030-24652012000200005-sza","Bartonella spp. in human and animal populations in Gauteng, South Africa, from 2007 to 2009","Trataris, Anastasia N, Rossouw, Jennifer, Arntzen, Lorraine, Karstaedt, Allan, Frean, John","Onderstepoort Journal of Veterinary Research; 79(2); 18-25","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200005&lang=pt" 
"S0030-24652012000200006-sza","The African buffalo: A villain for inter-species spread of infectious diseases in southern Africa","Michel, Anita L., Bengis, Roy G","Onderstepoort Journal of Veterinary Research; 79(2); 26-30","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200006&lang=pt" 
"S0030-24652012000200007-sza","Towards One Health disease surveillance: The Southern African Centre for Infectious Disease Surveillance approach","Karimuribo, Esron D., Sayalel, Kuya, Beda, Eric, Short, Nick, Wambura, Philemon, Mboera, Leonard G., Kusiluka, Lughano J.M., Rweyemamu, Mark M.","Onderstepoort Journal of Veterinary Research; 79(2); 31-37","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200007&lang=pt" 
"S0030-24652012000200008-sza","Electronic Integrated Disease Surveillance System and Pathogen Asset Control System","Wahl, Tom G., Burdakov, Aleksey V., Oukharov, Andrey O., Zhilokov, Azamat K.","Onderstepoort Journal of Veterinary Research; 79(2); 38-42","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200008&lang=pt" 
"S0030-24652012000200009-sza","New technologies to diagnose and monitor infectious diseases of livestock: Challenges for sub-Saharan Africa","King, Donald P., Madi, Miki, Mioulet, Valerie, Wadsworth, Jemma, Wright, Caroline F., Valdazo-González, Begoña, Ferris, Nigel P., Knowles, Nick J., Hammond, Jef","Onderstepoort Journal of Veterinary Research; 79(2); 43-48","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200009&lang=pt" 
"S0030-24652012000200010-sza","Epidemiological investigation into the introduction and factors for spread of Peste des Petits Ruminants, southern Tanzania","Muse, Epaphras A., Karimuribo, Esron D, Gitao, George C, Misinzo, Gerald, Mellau, Lesakit S.B., Msoffe, Peter L.M., Swai, Emmanuel S., Albano, Mbyuzi O.","Onderstepoort Journal of Veterinary Research; 79(2); 49-54","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200010&lang=pt" 
"S0030-24652012000200011-sza","One Health - &#039;joining the dots&#039;","Dockrell, Hazel M","Onderstepoort Journal of Veterinary Research; 79(2); 55-57","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200011&lang=pt" 
"S0030-24652012000200012-sza","A foresight vision for infectious diseases in Africa","Brownlie, Joe","Onderstepoort Journal of Veterinary Research; 79(2); 58-61","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200012&lang=pt" 
"S0030-24652012000200013-sza","From &#039;two medicines&#039; to &#039;One Health&#039; and beyond","Zinsstag, Jakob, Meisser, Andrea, Schelling, Esther, Bonfoh, Bassirou, Tanner, Marcel","Onderstepoort Journal of Veterinary Research; 79(2); 62-66","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200013&lang=pt" 
"S0030-24652012000200014-sza","Economic benefits or drivers of a &#039;One Health&#039; approach: Why should anyone invest?","Rushton, Jonathan, Häsler, Barbara, de Haan, Nicoline, Rushton, Ruth","Onderstepoort Journal of Veterinary Research; 79(2); 75-79","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200014&lang=pt" 
"S0030-24652012000200015-sza","Foot-and-mouth disease virus serotypes detected in Tanzania from 2003 to 2010: Conjectured status and future prospects","Kasanga, Christopher J., Sallu, Raphael, Kivaria, Fredrick, Mkama, Mathias, Masambu, Joseph, Yongolo, Mmeta, Das, Sachindra, Mpelumbe-Ngeleja, Chanasa, Wambura, Philemon N., King, Donald P., Rweyemamu, Mark M.","Onderstepoort Journal of Veterinary Research; 79(2); 80-83","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200015&lang=pt" 
