"S1519-566X2007000200017-scl","Ácaros associados à cultura da soja no Rio Grande do Sul","Guedes, Jerson V.C., Navia, Denise, Lofego, Antonio C., Dequech, Sônia T.B.","Neotropical Entomology; 36(2); 288-293","Neotropical Entomology","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2007000200017&lang=pt" 
"S1519-566X2007000200018-scl","Evaluation of the sticky MosquiTRAP™ for detecting Aedes (Stegomyia) aegypti (L.) (Diptera: Culicidae) during the dry season in Belo Horizonte, Minas Gerais, Brazil","Gama, Renata A., Silva, Eric M., Silva, Ivoneide M., Resende, Marcelo C., Eiras, Álvaro E.","Neotropical Entomology; 36(2); 294-302","Neotropical Entomology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2007000200018&lang=pt" 
"S0100-29452007000100007-scl","Caracterização fenológica da goiabeira &#039;Pedro Sato&#039; sob diferentes épocas de poda","Hojo, Ronaldo Hissayuki, Chalfun, Nilton Nagib Jorge, Hojo, Ellen Toews Doll, Souza, Henrique Antunes de, Paglis, Carlos Maurício, São José, Abel Rebouças","Revista Brasileira de Fruticultura; 29(1); 20-24","Revista Brasileira de Fruticultura","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452007000100007&lang=pt" 
"S0100-29452007000100004-scl","Efeito da poda, raleio de frutos e uso de fitorreguladores na produção de tangerinas (Citrus deliciosa Tenore) cv. montenegrina","Sartori, Ivar Antonio, Koller, Otto Carlos, Theisen, Sergiomar, Souza, Paulo Vitor Dutra de, Bender, Renar João, Marodin, Gilmar Arduino Bettio","Revista Brasileira de Fruticultura; 29(1); 5-10","Revista Brasileira de Fruticultura","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452007000100004&lang=pt" 
"S0100-29452007000100008-scl","Efeito de citocininas na senescência e abscisão foliar durante o cultivo in vitro de Annona glabra L.","Oliveira, Lenaldo Muniz de, Paiva, Renato, Santana, José Raniere Ferreira de, Nogueira, Raírys Cravo, Soares, Fernanda Pereira, Silva, Luciano Coutinho","Revista Brasileira de Fruticultura; 29(1); 25-30","Revista Brasileira de Fruticultura","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452007000100008&lang=pt" 
"S0100-29452007000100009-scl","Efeito de diferentes substratos e épocas de coleta no enraizamento de estacas herbáceas de goiabeira, cvs. paluma e século XXI","Zietemann, Corina, Roberto, Sérgio Ruffo","Revista Brasileira de Fruticultura; 29(1); 31-36","Revista Brasileira de Fruticultura","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452007000100009&lang=pt" 
"S0100-29452007000100013-scl","Utilização da microscopia eletrônica de varredura como ferramenta de avaliação da estrutura do tecido de abacate &#039;quintal&#039; após danos mecânicos","Sanches, Juliana, Durigan, José Fernando, Santos, Jaime Maia dos","Revista Brasileira de Fruticultura; 29(1); 57-60","Revista Brasileira de Fruticultura","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452007000100013&lang=pt" 
"S0100-29452007000100014-scl","Composição química e respiração de crescimento em frutos de Psidium cattleyanum sabine durante o ciclo de desenvolvimento","Galho, Adriana Silva, Lopes, Nei Fernandes, Bacarin, Marcos Antônio, Lima, Maria da Graças de Souza","Revista Brasileira de Fruticultura; 29(1); 61-66","Revista Brasileira de Fruticultura","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452007000100014&lang=pt" 
"S0100-29452007000100018-scl","Parasitóides de lepidópteros minadores presentes em plantas de crescimento espontâneo em pomar orgânicos de citrus montenegro - RS","Santos, Janaína Pereira dos, Dal Soglio, Fábio Kessler, Redaelli, Luiza Rodrigues, Costa, Valmir Antonio, Foelkel, Ester","Revista Brasileira de Fruticultura; 29(1); 80-84","Revista Brasileira de Fruticultura","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452007000100018&lang=pt" 
"S0100-29452007000100019-scl","Toxicidade residual de alguns agrotóxicos recomendado na agricultura sobre Neoseiulus californicus (McGregor) (Acari: Phytoseiidae)","Silva, Marcos Zatti da, Oliveira, Caralos Amadeu Leite de","Revista Brasileira de Fruticultura; 29(1); 85-90","Revista Brasileira de Fruticultura","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452007000100019&lang=pt" 
"S0100-29452007000100024-scl","Citogenética de algumas espécies frutíferas nativas do nordeste do Brasil","Éder-Silva, Erllens, Felix, Leonardo Pessoa, Bruno, Riselane de Lucena Alcântara","Revista Brasileira de Fruticultura; 29(1); 110-114","Revista Brasileira de Fruticultura","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452007000100024&lang=pt" 
"S0100-29452007000100028-scl","Efeito de substratos porosos no enraizamento in vitro do porta-enxerto de macieira M-9 (Malus pumilla)","Vieira, Renato Luíz, Leite, Gabriel Berenhauser, Wamser, Anderson Fernando","Revista Brasileira de Fruticultura; 29(1); 128-132","Revista Brasileira de Fruticultura","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452007000100028&lang=pt" 
"S0100-29452007000100030-scl","Produção de mudas de goiabeira (Psidium guajava L.) em diferentes substratos","Zietemann, Corina, Roberto, Sérgio Ruffo","Revista Brasileira de Fruticultura; 29(1); 137-142","Revista Brasileira de Fruticultura","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452007000100030&lang=pt" 
"S0100-29452007000100031-scl","Nitrogênio e potássio em bananeira via fertirrigação e adubação convencional-atributos químicos do solo","Teixeira, Luiz Antônio Junqueira, Natale, William, Bettiol Neto, José Emílio, Martins, Antonio Lúcio Mello","Revista Brasileira de Fruticultura; 29(1); 143-152","Revista Brasileira de Fruticultura","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452007000100031&lang=pt" 
"S0100-29452007000100032-scl","Nitrogênio e potássio via fertirrigação e adubação convencional-estado nutricional das bananeiras e produção de frutos","Teixeira, Luiz Antônio Junqueira, Natale, William, Martins, Antônio Lúcio Mello","Revista Brasileira de Fruticultura; 29(1); 153-160","Revista Brasileira de Fruticultura","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452007000100032&lang=pt" 
"S0100-29452007000100042-scl","Cultivo do mangostão no Brasil","Sacramento, Célio Kersul do, Coelho Júnior, Enio, Carvalho, José Edmar Urano de, Müller, Carlos Hans, Nascimento, Walnice Maria Oliveira do","Revista Brasileira de Fruticultura; 29(1); 195-203","Revista Brasileira de Fruticultura","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452007000100042&lang=pt" 
"S0104-530X2007000100008-scl","Identificação dos principais autores em planejamento e controle da produção por meio de um survey mundial com pesquisadores da área","Fernandes, Flávio Cesar Faria, Azeka, Fábio, Barreto, Maria Cecília Mendes, Godinho Filho, Moacir","Gestão &amp; Produção; 14(1); 83-95","Gestão &amp; Produção","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2007000100008&lang=pt" 
"S1519-566X2007000200013-scl","The effect of the glyphosate, 2,4-D, atrazine e nicosulfuron herbicides upon the Edaphic collembola (Arthropoda: Ellipura) in a no tillage system","Lins, Vilma S., Santos, Honório R., Gonçalves, Manoel C.","Neotropical Entomology; 36(2); 261-267","Neotropical Entomology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2007000200013&lang=pt" 
"S1519-566X2007000200002-scl","Diversity and community structure of social wasps (Hymenoptera: Vespidae) in three ecosystems in itaparica island, Bahia State, Brazil","Santos, Gilberto M. de M., Bichara Filho, Carlos C., Resende, Janete J., Cruz, Jucelho D. da, Marques, Oton M.","Neotropical Entomology; 36(2); 180-185","Neotropical Entomology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2007000200002&lang=pt" 
"S1519-566X2007000200012-scl","Flutuação populacional de cigarrinhas vetoras de Xylella fastidiosa Wells et al. em pomares comerciais de citros no noroeste do Paraná","Nunes, William M.C., Molina, Rúbia de O., Albuquerque, Fernando A. de, Corazza-Nunes, Maria J., Zanutto, Carlos A., Machado, Marcos A.","Neotropical Entomology; 36(2); 254-260","Neotropical Entomology","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2007000200012&lang=pt" 
"S1413-86702007000200001-scl","A pharmacodynamic strategy to optimize empirical antibiotic therapy for gram-negative bacteria in a Brazilian Intensive Care Unit","Kiffer, Carlos R.V., Kuti, Joseph L., Mendes, Caio M.F., Oplustil, Carmen P., Amarante, Jorge B., Biancalana, Maria L., Xavier, Nelson, Nicolau, David P.","Brazilian Journal of Infectious Diseases; 11(2); 183-185","Brazilian Journal of Infectious Diseases","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702007000200001&lang=pt" 
"S1413-86702007000200002-scl","Use of the D test method to detect inducible clindamycin resistance in coagulase negative staphylococci (CoNS)","Perez, Leandro Reus Rodrigues, Caierão, Juliana, Antunes, Ana Lúcia Souza, d&#039;Azevedo, Pedro Alves","Brazilian Journal of Infectious Diseases; 11(2); 186-188","Brazilian Journal of Infectious Diseases","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702007000200002&lang=pt" 
