"S0011-85162015000200002-sza","The unfinished symphony","Evans, WG","South African Dental Journal; 70(2); 48-48","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015000200002&lang=pt" 
"S0011-85162015000200009-sza","Unanticipated treatment complication and legal recourse","Naidoo, S, Du Toit, J","South African Dental Journal; 70(2); 76-77","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015000200009&lang=pt" 
"S0011-85162015000200005-sza","A comparison of the efficacy of various disinfection protocols in endodontic treatment: An in vitro study","Warren, N, van der Vyver, PJ, Botha, FS","South African Dental Journal; 70(2); 60-63","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015000200005&lang=pt" 
"S0011-85162015000200006-sza","Effectiveness of pictorial sign boards for patient navigation in multidisciplinary Dental Facilities","Malhotra, N, Somashekar, ST","South African Dental Journal; 70(2); 65-69","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015000200006&lang=pt" 
"S0011-85162015000200001-sza","The dental profession: Promoting psychosocial well-being and not just treatment of oral disease","Ayo-Yusuf, OA, Motloba, DP, Rantao, M","South African Dental Journal; 70(2); 46-47","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015000200001&lang=pt" 
"S1413-81232015000300959-spa","Arend SMF, Assis GO, Motta FM, organizadores. Aborto e Contracepção, histórias que ninguém conta. Florianópolis: Insular; 2012.","Nunes, Maria das Dores","Ciência &amp; Saúde Coletiva; 20(3); 959-960","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015000300959&lang=pt" 
"S1413-81232015000300905-spa","Ricardo Bruno: history, social processes and health practices","Ayres, José Ricardo de Carvalho Mesquita","Ciência &amp; Saúde Coletiva; 20(3); 905-912","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015000300905&lang=pt" 
"S1413-81232015000300895-spa","Trends in mortality due to breast cancer among women in the state of Rio de Janeiro, Brazil, 1996-2011","Ferreira, Daniele Bittencourt, Mattos, Inês Echenique","Ciência &amp; Saúde Coletiva; 20(3); 895-903","Ciência &amp; Saúde Coletiva","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015000300895&lang=pt" 
"S1413-81232015000300628-spa","Advances in Brazilian public health surveillance","Macinko, James","Ciência &amp; Saúde Coletiva; 20(3); 628-629","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015000300628&lang=pt" 
"S1413-81232015000300875-spa","Impacto da ativação da intenção na prática da atividade física em diabéticos tipo II: ensaio clínico randomizado","Silva, Marco Antonio Vieira da, Gouvêa, Giovana Renata, Claro, Anielle Fabiane Buoso, Agondi, Rúbia de Freitas, Cortellazzi, Karine Laura, Pereira, Antonio Carlos, Meneghim, Marcelo de Castro, Mialhe, Fábio Luiz","Ciência &amp; Saúde Coletiva; 20(3); 875-886","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015000300875&lang=pt" 
"S0102-86502015000300209-scl","Effects of heterologous platelet-rich plasma gel on standardized dermal wound healing in rabbits","Abegão, Karina Gomes Barros, Bracale, Bruno Nascimento, Delfim, Inara Guastini, Santos, Eliane Szücs dos, Laposy, Cecília Braga, Nai, Gisele Alborghetti, Giuffrida, Rogério, Nogueira, Rosa Maria Barilli","Acta Cirurgica Brasileira; 30(3); 209-215","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015000300209&lang=pt" 
"S1413-81232015000300841-spa","Cardiac misconceptions among healthy adults: implications for the promotion of health in the community","Figueiras, Maria João, Maroco, João, Monteiro, Rita, Caeiro, Raul","Ciência &amp; Saúde Coletiva; 20(3); 841-850","Ciência &amp; Saúde Coletiva","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015000300841&lang=pt" 
"S1413-81232015000300771-spa","Exclusion and bioethics: a Brazilian perspective","Porto, Dora","Ciência &amp; Saúde Coletiva; 20(3); 771-778","Ciência &amp; Saúde Coletiva","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015000300771&lang=pt" 
