"S0871-34132006000200004-prt","Gastric cancer: frequency and trends","Lunet, Nuno","Arquivos de Medicina; 20(3); 79-85","Arquivos de Medicina","Inglês","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-34132006000200004&lang=pt" 
"S0365-66912006000500006-esp","Despistaje de la retinopatía del prematuro: Nuestra experiencia sobre los límites de peso al nacer, edad gestacional y otros factores de riesgo","Rodríguez-Hurtado, F.J., Cañizares, J.M.","Archivos de la Sociedad Española de Oftalmología; 81(5); 275-280","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000500006&lang=pt" 
"S0365-66912006000500007-esp","Determinación del grado de metaplasia escamosa del epitelio corneal como factor diagnóstico de insuficiencia limbal","López-García, J.S., Rivas, L., García-Lozano, I.","Archivos de la Sociedad Española de Oftalmología; 81(5); 281-288","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000500007&lang=pt" 
"S0365-66912006000500002-esp","Implicaciones del control nervioso del flujo sanguíneo coroideo en las enfermedades oculares","De Hoz Montañana, R., Ramírez Sebastián, A.I.","Archivos de la Sociedad Española de Oftalmología; 81(5); 241-242","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000500002&lang=pt" 
"S0365-66912006000500012-esp","Imágenes inversas de Arcimboldo","Barbón García, J.","Archivos de la Sociedad Española de Oftalmología; 81(5); 303-304","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000500012&lang=pt" 
"S0365-66912006000500010-esp","Tomografía de coherencia óptica en la retinopatía por eclipse","Calvo-González, C., Reche-Frutos, J., Santos-Bueso, E., Díaz-Valle, D., Benítez-Del-Castillo, J.M., García-Sánchez, J.","Archivos de la Sociedad Española de Oftalmología; 81(5); 297-300","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000500010&lang=pt" 
"S0365-66912006000500013-esp","","Dorronzoro Ramírez, Emilio","Archivos de la Sociedad Española de Oftalmología; 81(5); 305-306","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000500013&lang=pt" 
"S0365-66912006000500009-esp","Angioma retiniano como síndrome mascarada de tumor del nervio óptico en la enfermedad de Von Hippel-Lindau","Fons Martínez, M.R., España Gregori, E., Aviñó Martínez, J.A., Hernández Pardines, F.","Archivos de la Sociedad Española de Oftalmología; 81(5); 293-296","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000500009&lang=pt" 
"S0365-66912006000500003-esp","Oncocercosis: una forma de vivir","Torres, T.","Archivos de la Sociedad Española de Oftalmología; 81(5); 243-244","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000500003&lang=pt" 
"S0365-66912006000500008-esp","Asociación de albinismo oculocutáneo y distrofia granular en una familia","Gómez-Valcárcel, M., Chin-Wong, J.L., Álvarez-Verduzco, O., Niño-Pecina, A., Villanueva-Mendoza, C.","Archivos de la Sociedad Española de Oftalmología; 81(5); 289-292","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000500008&lang=pt" 
"S0365-66912006000500001-esp","Transplantes retinianos: estado actual y sus problemas en la aplicación clínica","Pinilla, I., Cuenca, N.","Archivos de la Sociedad Española de Oftalmología; 81(5); 239-240","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000500001&lang=pt" 
