"S0864-02892001000100009-cub","Estabilidad del producto hemoclasificador Hemo-CIM® Anti-B: Evaluación durante 2 años","Suárez Batista, Lilia E, Rivero Jiménez, René A, Bencomo Hernández, Antonio A, Martínez Solís, Marta N, González Sampedro, Renée, Rodríguez Obaya, Teresita","Revista Cubana de Hematología, Inmunología y Hemoterapia; 17(1); 59-64","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2001","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892001000100009&lang=pt" 
"S0138-600X2001000100001-cub","Embarazo Ectópico: Su comportamiento en los años 1989-1999","Cutié Bressler, Marta Lucía, Figueroa Mendoza, Mariela, Lestayo Dorta, Constantino, Cubero Menéndez, Osmandy","Revista Cubana de Obstetricia y Ginecología; 27(1); 5-11","Revista Cubana de Obstetricia y Ginecología","Espanhol","2001","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2001000100001&lang=pt" 
"S0138-600X2001000100002-cub","Valor de la ultrasonografía abdominal en la enfermedad inflamatoria pélvica","García León, Lázaro, Mendoza, . José R., Herrera Llerena, Nancy, Núñez, Aurora","Revista Cubana de Obstetricia y Ginecología; 27(1); 12-15","Revista Cubana de Obstetricia y Ginecología","Espanhol","2001","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2001000100002&lang=pt" 
"S0138-600X2001000100003-cub","Caracterización de la mujer en la etapa del climaterio (I)","Lugones Botell, Miguel, Valdés Domínguez, Saylí, Pérez Piñero, Julia","Revista Cubana de Obstetricia y Ginecología; 27(1); 16-21","Revista Cubana de Obstetricia y Ginecología","Espanhol","2001","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2001000100003&lang=pt" 
"S0138-600X2001000100004-cub","Caracterización de la mujer en la etapa del climaterIo (II)","Lugones Botell, Miguel, Valdés Domínguez, Saylí, Pérez Piñero, Julia","Revista Cubana de Obstetricia y Ginecología; 27(1); 22-27","Revista Cubana de Obstetricia y Ginecología","Espanhol","2001","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2001000100004&lang=pt" 
"S0138-600X2001000100005-cub","Uso profiláctico de antibióticos en la histerectomía abdominal","Pérez Velázquez, Carlos, García Román, Mabel, Pérez de Villa Amil, Arturo","Revista Cubana de Obstetricia y Ginecología; 27(1); 28-33","Revista Cubana de Obstetricia y Ginecología","Espanhol","2001","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2001000100005&lang=pt" 
"S0138-600X2001000100006-cub","Embarazo heterotópico: Presentación de un caso","García Mirás, Ramón, Gallego Ramos, Jany, Prado González, José, Trelles Aguabella, Edilia","Revista Cubana de Obstetricia y Ginecología; 27(1); 34-38","Revista Cubana de Obstetricia y Ginecología","Espanhol","2001","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2001000100006&lang=pt" 
"S0138-600X2001000100007-cub","Mortalidad perinatal I: Algunos factores que influyeron en ésta durante 1998","Hernández Cabrera, Jesús, de la Rua-Batistapau, Abelardo, Suárez Ojeda, Roberto","Revista Cubana de Obstetricia y Ginecología; 27(1); 39-45","Revista Cubana de Obstetricia y Ginecología","Espanhol","2001","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2001000100007&lang=pt" 
"S0138-600X2001000100008-cub","Anticuerpos antiislotes pancreáticos en diabéticas gestacionales: problemas maternos y complicaciones neonatales","Casagrandi Casanova, Davide, Sanabria Arias, Ana Mary, Cabrera Rode, Eduardo, Pérez Piñero, Julia","Revista Cubana de Obstetricia y Ginecología; 27(1); 46-52","Revista Cubana de Obstetricia y Ginecología","Espanhol","2001","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2001000100008&lang=pt" 
"S0138-600X2001000100009-cub","La cesárea en la historia","Lugones Botell, Miguel","Revista Cubana de Obstetricia y Ginecología; 27(1); 53-56","Revista Cubana de Obstetricia y Ginecología","Espanhol","2001","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2001000100009&lang=pt" 
"S0138-600X2001000100010-cub","Estudio cronológico de la mortalidad fetal tardía y la mortalidad infantil en Manzanillo","García Arias, Dasha, Roselló Salcedo, Olga, Martínez Barreiro, . Luis Armando","Revista Cubana de Obstetricia y Ginecología; 27(1); 57-61","Revista Cubana de Obstetricia y Ginecología","Espanhol","2001","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2001000100010&lang=pt" 
"S0138-600X2001000100011-cub","Análisis multivariado de factores de riesgo de prematuridad en Matanzas","Robaina Castellanos, Gerardo Rogelio, Pollo Medina, . Jesús Manuel, Morales Rigau, José Manuel, Robaina Castellanos, Roberto E.","Revista Cubana de Obstetricia y Ginecología; 27(1); 62-69","Revista Cubana de Obstetricia y Ginecología","Espanhol","2001","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2001000100011&lang=pt" 
