"S2179-975X2013000100011-scl","Temporal variation in phytoplankton community in a freshwater coastal lake of southern Brazil","Tonetta, Denise, Petrucio, Mauricio Mello, Laudares-Silva, Roselane","Acta Limnologica Brasiliensia; 25(1); 99-110","Acta Limnologica Brasiliensia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2013000100011&lang=pt" 
"S0188-21982013000100001-mex","Resúmenes de Trabajos Libres del 5to Congreso Anual de Cardiología","","Revista mexicana de cardiología; 24(1); 04-27","Revista mexicana de cardiología","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-21982013000100001&lang=pt" 
"S0188-21982013000100002-mex","Mensaje del Presidente","Ocampo Peña, Salvador","Revista mexicana de cardiología; 24(1); 28-28","Revista mexicana de cardiología","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-21982013000100002&lang=pt" 
"S0188-21982013000100003-mex","Cierre percutáneo del conducto arterioso permeable en niños utilizando el Amplatzer vascular plug II","Gálvez-Cancino, Franco, Parra-Bravo, José Rafael, Beirana-Palencia, Luisa, Martínez-Monterrosas, Christian, Osuna-Izaguirre, Manuel, Lazo-Cárdenas, César","Revista mexicana de cardiología; 24(1); 29-34","Revista mexicana de cardiología","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-21982013000100003&lang=pt" 
"S0188-21982013000100004-mex","La maniobra de Valsalva: Una herramienta para la clínica","Trejo Nava, Carlos Alberto","Revista mexicana de cardiología; 24(1); 35-40","Revista mexicana de cardiología","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-21982013000100004&lang=pt" 
"S0188-21982013000100005-mex","Aneurisma aórtico que simula la aurícula derecha","Velázquez Moreno, Hugo, Narváez Oriani, Carlos A, Zempoateca López, Juan Carlos, Solache Ortiz, Gustavo, Hernández y Hernández, Héctor","Revista mexicana de cardiología; 24(1); 41-43","Revista mexicana de cardiología","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-21982013000100005&lang=pt" 
"S1405-66662013000100014-mex","La econometría aplicada al conocimiento educativo","de Ibarrola, María","Revista mexicana de investigación educativa; 18(56); 299-307","Revista mexicana de investigación educativa","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662013000100014&lang=pt" 
"S1405-66662013000100013-mex","Mucho más que un texto de ciencia y tecnología","Laclette, Juan Pedro","Revista mexicana de investigación educativa; 18(56); 291-298","Revista mexicana de investigación educativa","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662013000100013&lang=pt" 
"S1405-66662013000100001-mex","17 años de logros, colaboración y retos","Flores-Crespo, Pedro","Revista mexicana de investigación educativa; 18(56); 7-9","Revista mexicana de investigación educativa","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662013000100001&lang=pt" 
"S1405-66662013000100010-mex","El habla en interacción y la calidad educativa: los retos de la construcción de conocimiento disciplinar en ambientes mediados por tecnología digital","Fernández-Cárdenas, Juan Manuel","Revista mexicana de investigación educativa; 18(56); 223-248","Revista mexicana de investigación educativa","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662013000100010&lang=pt" 
"S1405-66662013000100011-mex","El estado del conocimiento sobre la educación mediada por ambientes virtuales de aprendizaje: Una aproximación a través de la producción de tesis de grado y posgrado (2001-2010)","Esquivel Gámez, Ismael, Edel Navarro, Rubén","Revista mexicana de investigación educativa; 18(56); 249-264","Revista mexicana de investigación educativa","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662013000100011&lang=pt" 
"S1405-66662013000100012-mex","El enfoque de la política basado en la evidencia: Análisis de su utilidad para la educación de México","Flores Crespo, Pedro","Revista mexicana de investigación educativa; 18(56); 265-290","Revista mexicana de investigación educativa","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662013000100012&lang=pt" 
"S1405-66662013000100015-mex","Optimista prudencia ante las nuevas tecnologías","Dussel, Inés","Revista mexicana de investigación educativa; 18(56); 309-315","Revista mexicana de investigación educativa","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662013000100015&lang=pt" 
"S1405-66662013000100002-mex","Validación psicométrica del cuestionario &quot;Así nos llevamos en la escuela&quot; para evaluar el hostigamiento escolar (bullying) en primarias","Marín-Martínez, Adriana, Reidl Martínez, Lucy María","Revista mexicana de investigación educativa; 18(56); 11-36","Revista mexicana de investigación educativa","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662013000100002&lang=pt" 
"S1405-66662013000100003-mex","Las competencias en las políticas de currículum de ciencias: los casos de Brasil y Portugal","Martins, Idalina, Abelha, Marta, Gomes de Abreu, Rozana, Costa, Nilza, Casimiro Lopes, Alice","Revista mexicana de investigación educativa; 18(56); 37-62","Revista mexicana de investigación educativa","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662013000100003&lang=pt" 
"S1405-66662013000100004-mex","Sistematización y evaluación de las competencias ciudadanas para sociedades democráticas","Ochman, Marta, Cantú Escalante, Jesús","Revista mexicana de investigación educativa; 18(56); 63-89","Revista mexicana de investigación educativa","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662013000100004&lang=pt" 
"S1405-66662013000100005-mex","Contenido teórico del texto y formación de habilidades lectoras en estudiantes de psicología","Morales, Germán, Cruz, Nadia, Hernández, Manuel, Canales, César, Silva, Héctor, Arroyo, Rosalinda, Carpio, Claudio","Revista mexicana de investigación educativa; 18(56); 91-111","Revista mexicana de investigación educativa","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662013000100005&lang=pt" 
"S1405-66662013000100006-mex","El proceso de comprensión lectora en alumnos de tercero de secundaria","Madero Suárez, Irma Patricia, Gómez López, Luis Felipe","Revista mexicana de investigación educativa; 18(56); 113-139","Revista mexicana de investigación educativa","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662013000100006&lang=pt" 
"S1405-66662013000100007-mex","El desarrollo de la acentuación gráfica en niños y jóvenes mexicanos","Vernon, Sofía A., Alvarado, Mónica","Revista mexicana de investigación educativa; 18(56); 141-157","Revista mexicana de investigación educativa","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662013000100007&lang=pt" 
"S1405-66662013000100008-mex","Sistematizando experiencias sobre educación en emprendimiento en escuelas de nivel primaria","Damián Simón, Javier","Revista mexicana de investigación educativa; 18(56); 159-190","Revista mexicana de investigación educativa","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662013000100008&lang=pt" 
"S1405-66662013000100009-mex","Aportaciones para el análisis de la cultura empresarial en la universidad mexicana: El caso del Tec de Monterrey","García Garza, Domingo","Revista mexicana de investigación educativa; 18(56); 191-221","Revista mexicana de investigación educativa","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662013000100009&lang=pt" 
"S1646-69182013000100003-prt","O impacto do conceito de Gânglio Sentinela na sobrevivência livre de doença e globale na recorrência axilar de doentes com Cancro da Mama","Fougo, José Luis, Dinis-Ribeiro, Mário, Dias, Teresa, Castro, Fernando, Reis, Paulo, Giesteira, Laurinda, Araújo, Cláudia","Revista Portuguesa de Cirurgia; (24); 9-18","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000100003&lang=pt" 
"S1646-69182013000100004-prt","Avaliação do risco cirúrgico nos doentes com cancro colo-rectal: POSSUM ou ACPGBI?","Goulart, André, Martins, Sandra","Revista Portuguesa de Cirurgia; (24); 19-28","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000100004&lang=pt" 
"S1646-69182013000100005-prt","Prevalência do Síndrome de Frey após Parotidectomia","Goulart, André, Soares, Virgínia, Koch, Pedro","Revista Portuguesa de Cirurgia; (24); 29-35","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000100005&lang=pt" 
"S1646-69182013000100009-prt","Epidemiologia clínica: história e fundamentos para a sua compreensão","Barros, Henrique","Revista Portuguesa de Cirurgia; (24); 51-56","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000100009&lang=pt" 
"S1646-69182013000100010-prt","Ensaios Clínicos em Medicamentos","Borges, Margarida","Revista Portuguesa de Cirurgia; (24); 57-64","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000100010&lang=pt" 
"S1646-69182013000100011-prt","Investigação clínica em dispositivos médicos","Alves, Eurico Castro","Revista Portuguesa de Cirurgia; (24); 65-68","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000100011&lang=pt" 
"S1646-69182013000100012-prt","Ensaios clínicos académicos","Monteiro, Maria Emília","Revista Portuguesa de Cirurgia; (24); 69-74","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000100012&lang=pt" 
"S1646-69182013000100015-prt","Controlo de dano em cirurgia electiva. Fará sentido? A propósito de um caso clínico","Valente, Pedro, Santos, Tatiana, Rocha, Mónica, Neves, Rui, Serra, Sara, Vilaça, Jaime","Revista Portuguesa de Cirurgia; (24); 83-87","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000100015&lang=pt" 
"S1646-69182013000100001-prt","Página dos editores","Penedo, Jorge","Revista Portuguesa de Cirurgia; (24); 3-4","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000100001&lang=pt" 
"S1646-69182013000100002-prt","Página da SPC","Leite, Júlio Soares","Revista Portuguesa de Cirurgia; (24); 7-8","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000100002&lang=pt" 
"S1646-69182013000100006-prt","Editorial","Antunes, João Lobo","Revista Portuguesa de Cirurgia; (24); 37-39","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000100006&lang=pt" 
"S1646-69182013000100007-prt","Ensaios Clínicos: Contextualização abreviada e alguns desafios","Quintanilha, Alexandre","Revista Portuguesa de Cirurgia; (24); 41-44","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000100007&lang=pt" 
