"S0325-00752005000100007-arg","Incidencia de extravasación del líquido de perfusión por el uso de catéteres percutáneos","Romaniello, Héctor O.","Archivos argentinos de pediatría; 103(1); 31-35","Archivos argentinos de pediatría","Espanhol","2005","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752005000100007&lang=pt" 
"S0325-00752005000100008-arg","Estrés y depresión en madres de prematuros: un programa de intervención","Ruiz, Ana Lía, Ceriani Cernadas, José M., Cravedi, Verónica, Rodríguez, Diana","Archivos argentinos de pediatría; 103(1); 36-45","Archivos argentinos de pediatría","Espanhol","2005","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752005000100008&lang=pt" 
"S0325-00752005000100009-arg","Investigación clínica farmacológica en pediatría: ¿Es ético y legal experimentar en niños? (Parte 1)","Cardoso, Patricia C., Calabró, Pablo D.","Archivos argentinos de pediatría; 103(1); 46-50","Archivos argentinos de pediatría","Espanhol","2005","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752005000100009&lang=pt" 
"S0325-00752005000100010-arg","Brecha aniónica plasmática","Ramírez, José Alberto","Archivos argentinos de pediatría; 103(1); 51-56","Archivos argentinos de pediatría","Espanhol","2005","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752005000100010&lang=pt" 
"S0325-00752005000100011-arg","Trombosis venosa y dural cerebral traumática en niños","Barreiro, Gustavo, Acosta, Martín, Zori, Eduardo","Archivos argentinos de pediatría; 103(1); 57-62","Archivos argentinos de pediatría","Espanhol","2005","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752005000100011&lang=pt" 
"S0325-00752005000100012-arg","Linfadenitis por micobacterias en pediatría","Berberian, Griselda, Santillán Iturrez, Alejandro, Casimir, Lidia, Rosanova, María Teresa","Archivos argentinos de pediatría; 103(1); 63-66","Archivos argentinos de pediatría","Espanhol","2005","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752005000100012&lang=pt" 
"S0325-00752005000100013-arg","Masas quísticas expansivas en tórax y abdomen en un feto: Tratamiento mininvasivo posnatal","Heinen, Fernando, Elmo, Gastón, Bailez, Marcela, Vallone, Pablo, Ricardo, Illia, Solana, Claudio, Stoisa, Daniel, De Luca, Silvina","Archivos argentinos de pediatría; 103(1); 67-71","Archivos argentinos de pediatría","Espanhol","2005","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752005000100013&lang=pt" 
"S0325-00752005000100014-arg","Las vacunas y la salud pública","Casserly, Pedro","Archivos argentinos de pediatría; 103(1); 72-76","Archivos argentinos de pediatría","Espanhol","2005","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752005000100014&lang=pt" 
"S0325-00752005000100015-arg","Crisis de la seguridad alimentaria en la Argentina y estado nutricional en una población vulnerable","Calvo, Elvira Beatriz, Aguirre, Patricia","Archivos argentinos de pediatría; 103(1); 77-90","Archivos argentinos de pediatría","Espanhol","2005","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752005000100015&lang=pt" 
"S0325-00752005000100016-arg","La importancia de un buen comienzo. Definición del problema en estudios de investigación","Durán, Pablo","Archivos argentinos de pediatría; 103(1); 91-92","Archivos argentinos de pediatría","Espanhol","2005","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752005000100016&lang=pt" 
"S1138-123X2005000100006-esp","Abordaje ortodóncico quirúrgico de las inclusiones dentarias","Macias-Escalada, Emilio, Cobo-Plana, Juan, Carlos-Villafranca, Félix de, Pardo-López, Berta","RCOE; 10(1); 69-82","RCOE","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1138-123X2005000100006&lang=pt" 
"S1138-123X2005000100008-esp","Ortodoncia Interdisciplinar","Bravo González, Luis Alberto","RCOE; 10(1); 69-82","RCOE","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1138-123X2005000100008&lang=pt" 
"S1138-123X2005000100001-esp","Monográfico de Ortodoncia","Bravo González, Luis Alberto","RCOE; 10(1); 15-15","RCOE","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1138-123X2005000100001&lang=pt" 
"S1138-123X2005000100002-esp","Resultados de la corrección de la Clase II con un bionator modificado","LLamas-Carreras, José María, Bravo-González, Luis Alberto","RCOE; 10(1); 21-28","RCOE","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1138-123X2005000100002&lang=pt" 
"S1138-123X2005000100005-esp","Resistencia a las fuerzas de cizalla del sistema APC Plus: Estudio «in vitro»","Vicente-Hernández, Ascensión, Bravo-González, Luis Alberto","RCOE; 10(1); 61-65","RCOE","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1138-123X2005000100005&lang=pt" 
"S1138-123X2005000100003-esp","Edad de emergencia y secuencias polimórficas de la dentición permanente en una muestra de población de Asturias","Plasencia, Eliseo, García-Izquierdo, Fuensanta, Puente-Rodríguez, Martín","RCOE; 10(1); 31-42","RCOE","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1138-123X2005000100003&lang=pt" 
"S1138-123X2005000100007-esp","Enfoque ortodóncico en el tratamiento multidisciplinario de pacientes adultos: Su aplicación mediante la técnica lingual","Sada-Garralda, Vicente","RCOE; 10(1); 87-99","RCOE","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1138-123X2005000100007&lang=pt" 
"S1138-123X2005000100004-esp","Evolución de las características de las arcadas dentarias en dos grupos de edad","Paulino, Vera Susana, Paredes-Gallardo, Vanessa, Gandía-Franco, José Luis, Cibrián-Ortiz de Anda, Rosa María","RCOE; 10(1); 47-54","RCOE","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1138-123X2005000100004&lang=pt" 
"S1134-80462005000100008-esp","Seguridad cardiovascular de celecoxib","Hernández, G.","Revista de la Sociedad Española del Dolor; 12(1); 50-51","Revista de la Sociedad Española del Dolor","Espanhol","2005","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462005000100008&lang=pt" 
