"S0101-73302012000100017-scl","Sobre algumas relações entre qualificação, trabalho docente e gênero","Durães, Sarah Jane Alves","Educação &amp; Sociedade; 33(118); 271-288","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000100017&lang=pt" 
"S0101-73302012000100016-scl","Tecnologia e educação: algumas considerações sobre o discurso pedagógico contemporâneo","Peixoto, Joana, Araújo, Cláudia Helena dos Santos","Educação &amp; Sociedade; 33(118); 253-268","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000100016&lang=pt" 
"S0101-73302012000100018-scl","Letramento: uma discussão sobre implicações de fronteiras conceituais","Cerutti-Rizzatti, Mary Elizabeth","Educação &amp; Sociedade; 33(118); 291-305","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000100018&lang=pt" 
"S1516-44462012000100020-scl","Alcohol and other drug use by Brazilian truck drivers: a cause for concern?","Oliveira, Lúcio Garcia de, Yonamine, Maurício, Andreucceti, Gabriel, Ponce, Julio de Carvalho, Leyton, Vilma","Revista Brasileira de Psiquiatria; 34(1); 116-117","Revista Brasileira de Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462012000100020&lang=pt" 
"S1516-44462012000100019-scl","Hypoplastic splenium of the corpus callosum and co-occurrence of attention deficit/hyperactivity and language disorders: a case report","Nunes, Emerson, Schneider, Bruno, Dursun, Serdar, Baker, Glen, Hallak, Jaime","Revista Brasileira de Psiquiatria; 34(1); 114-115","Revista Brasileira de Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462012000100019&lang=pt" 
"S1516-44462012000100001-scl","RBP has a new layout","Silva, Antônio Geraldo da","Revista Brasileira de Psiquiatria; 34(1); 1-2","Revista Brasileira de Psiquiatria","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462012000100001&lang=pt" 
"S1516-44462012000100003-scl","Burden of mental disorders based on the World Mental Health surveys","Alonso, Jordi","Revista Brasileira de Psiquiatria; 34(1); 7-8","Revista Brasileira de Psiquiatria","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462012000100003&lang=pt" 
"S1516-44462012000100013-scl","Peripheral chemokine levels in women with recurrent major depression with suicidal ideation","Grassi-Oliveira, Rodrigo, Brieztke, Elisa, Teixeira, Antônio, Pezzi, Júlio Carlos, Zanini, Márcio, Lopes, Rodrigo Pestana, Bauer, Moisés Evandro","Revista Brasileira de Psiquiatria; 34(1); 71-75","Revista Brasileira de Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462012000100013&lang=pt" 
"S1516-44462012000100009-scl","The Brazilian smoker: a survey in the largest cities of Brazil","Opaleye, Emérita Sátiro, Sanchez, Zila M, Moura, Yone Gonçalves de, Galduróz, José Carlos Fernandes, Locatelli, Danilo Polverini, Noto, Ana Regina","Revista Brasileira de Psiquiatria; 34(1); 43-51","Revista Brasileira de Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462012000100009&lang=pt" 
"S1516-44462012000100005-scl","Gender parity and drug use: are girls catching up with boys?","Malbergier, André, Cardoso, Luciana Roberta Donola, Amaral, Ricardo Abrantes do, Santos, Verena Castellani Vitor","Revista Brasileira de Psiquiatria; 34(1); 16-23","Revista Brasileira de Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462012000100005&lang=pt" 
"S0102-76382012000100004-scl","Resultados clínicos e metabólicos da abreviação do jejum com carboidratos na revascularização cirúrgica do miocárdio","Feguri, Gibran Roder, Lima, Paulo Ruiz Lúcio, Lopes, Andréa Mazoni, Roledo, Andréa, Marchese, Miriam, Trevisan, Mônica, Ahmad, Haitham, Freitas, Bruno Baranhuk de, Aguilar-Nascimento, José Eduardo de","Brazilian Journal of Cardiovascular Surgery; 27(1); 7-17","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382012000100004&lang=pt" 
