"S1657-92672013000300017-col","Análisis psicosocial del consumo de alcohol en adolescentes mexicanos","Villarreal González, María Elena, Sánchez Sosa, Juan Carlos, Musitu Ochoa, Gonzalo","Universitas Psychologica; 12(3); 857-873","Universitas Psychologica","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-92672013000300017&lang=pt" 
"S1870-34532013000300012-mex","An enigmatic and large-sized specimen of Panochthus (Glyptodontidae, &quot;Panochthini&quot;) from the Ensenadan (Early-Middle Pleistocene) of the Pampean region, Argentina","Zamorano, Martín, Scillato-Yané, Gustavo Juan, Zurita, Alfredo Eduardo","Revista mexicana de biodiversidad; 84(3); 847-854","Revista mexicana de biodiversidad","Inglês","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300012&lang=pt" 
"S1870-34532013000300020-mex","Nest site selection by the green turtle (Chelonia mydas) in a beach of the north of Veracruz, Mexico","Zavaleta-Lizárraga, Leonel, Morales-Mávil, Jorge E.","Revista mexicana de biodiversidad; 84(3); 927-937","Revista mexicana de biodiversidad","Inglês","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300020&lang=pt" 
"S1870-34532013000300022-mex","Mamíferos terrestres de la península de Yucatán, México: riqueza, endemismo y riesgo","Sosa-Escalante, Javier Enrique, Pech-Canché, Juan Manuel, MacSwiney, M. Cristina, Hernández-Betancourt, Silvia","Revista mexicana de biodiversidad; 84(3); 949-969","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300022&lang=pt" 
"S1870-34532013000300023-mex","Evaluation of black bear (Ursus americanus) diet and consequences in its conservation in Sierra de Picachos, Nuevo León, Mexico","Juárez-Casillas, Luis Antonio, Varas, Cora","Revista mexicana de biodiversidad; 84(3); 970-976","Revista mexicana de biodiversidad","Inglês","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300023&lang=pt" 
"S1870-34532013000300024-mex","Nuevos registros de helechos para Tabasco, México","Cetzal-Ix, William, Noguera-Savelli, Eliana, Ramírez-Marcial, Neptalí","Revista mexicana de biodiversidad; 84(3); 977-982","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300024&lang=pt" 
"S1870-34532013000300025-mex","Dos nuevas combinaciones en Vernonieae (Asteraceae) de México","Redonda-Martínez, Rosario, Villaseñor, José Luis","Revista mexicana de biodiversidad; 84(3); 983-984","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300025&lang=pt" 
"S1870-34532013000300026-mex","Ulmus ismaelis (Ulmaceae) y Pilocarpus racemosus var. racemosus (Rutaceae), nuevos registros para la flora de Chiapas, México","López-Cruz, Angelita, Gómez-Domínguez, Héctor, Pérez-Farrera, Miguel Ángel, Espinoza-Jiménez, J. Anahí","Revista mexicana de biodiversidad; 84(3); 985-988","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300026&lang=pt" 
"S1870-34532013000300027-mex","Primer registro de Caprella scaura y Caprella penantis (Crustacea: Peracarida: Amphipoda) en la laguna Madre, Tamaulipas, México","Rodríguez-Almaraz, Gabino A., Ortega-Vidales, Víctor M.","Revista mexicana de biodiversidad; 84(3); 989-993","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300027&lang=pt" 
"S1870-34532013000300028-mex","Mortality rates in two populations of the viviparous fish Poeciliopsis baenschi (Teleostei: Poeciliidae)","Molina-Moctezuma, Alejandro, Zúñiga-Vega, José Jaime, Espinosa-Pérez, Héctor","Revista mexicana de biodiversidad; 84(3); 994-998","Revista mexicana de biodiversidad","Inglês","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300028&lang=pt" 
"S1870-34532013000300029-mex","Primer registro de Crocodylus moreletii (Reptilia: Crocodylia) para Hidalgo, México","Mejenes-López, Sol de Mayo Araucana, Hernández-Bautista, Maribel","Revista mexicana de biodiversidad; 84(3); 999-1001","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300029&lang=pt" 
"S1870-34532013000300035-mex","Métodos de análisis genéticos, espaciales y de conectividad en genética del paisaje","Garrido-Garduño, Tania, Vázquez-Domínguez, Ella","Revista mexicana de biodiversidad; 84(3); 1031-1054","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300035&lang=pt" 
"S1870-34532013000300034-mex","¿Es posible reconocer una unidad biótica entre América del Norte y del Sur?","Ríos-Muñoz, César A.","Revista mexicana de biodiversidad; 84(3); 1022-1030","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300034&lang=pt" 
"S1870-34532013000300033-mex","Primer registro de oso negro americano (Ursus americanus) para el estado de Hidalgo, México","Rojas-Martínez, Alberto Enrique, Juárez-Casillas, Luis Antonio","Revista mexicana de biodiversidad; 84(3); 1018-1021","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300033&lang=pt" 
"S1870-34532013000300032-mex","Primeros registros de coyote (Canis latrans) en Campeche, México","Hidalgo-Mihart, Mircea Gabriel, Contreras-Moreno, Fernando Marcos, Pérez-Solano, Luz Adriana, Hernández-Lara, Carolina","Revista mexicana de biodiversidad; 84(3); 1012-1017","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300032&lang=pt" 
"S1870-34532013000300031-mex","Registro de tapir centroamericano (Tapirus bairdii) con cámaras-trampa en la sierra Madre de Oaxaca, México","Lavariega, Mario C., Briones-Salas, Miguel, Rodríguez, Ciro","Revista mexicana de biodiversidad; 84(3); 1007-1011","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300031&lang=pt" 
"S1870-34532013000300030-mex","Nuevos registros de la martucha (Potos flavus) para Michoacán, México, que establecen su límite de distribución al norte por el Pacífico","Monterrubio-Rico, Tiberio C., Charre-Medellín, Juan F., Villanueva-Hernández, Ali I., León-Paniagua, Livia","Revista mexicana de biodiversidad; 84(3); 1002-1006","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300030&lang=pt" 
"S1870-34532013000300015-mex","Distribución espacial del polen en un gradiente altitudinal en Michoacán, México","Chang-Martínez, Laura, Domínguez-Vázquez, Gabriela","Revista mexicana de biodiversidad; 84(3); 876-883","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300015&lang=pt" 
"S1870-34532013000300021-mex","Diversidad de reptiles en dos microcuencas del río Grijalva, Chiapas, México","Percino-Daniel, Ruth, Cruz-Ocaña, Erika, Pozo-Ventura, Wilber, Velázquez-Velázquez, Ernesto","Revista mexicana de biodiversidad; 84(3); 938-948","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300021&lang=pt" 
"S1870-34532013000300009-mex","Análisis filogenético del subgénero Phyllophaga (Triodonyx) (Coleoptera: Melolonthidae: Melolonthinae)","Rivera-Gasperín, Sara Lariza, Morón, Miguel Ángel","Revista mexicana de biodiversidad; 84(3); 802-817","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300009&lang=pt" 
"S1870-34532013000300008-mex","Descripción de los estadios ninfales de Edessa reticulata y Edessa jugata (Heteroptera: Pentatomidae: Edessinae) para Oaxaca y Veracruz","Ortega-León, Guillermina, Zurita-García, Martín Leonel","Revista mexicana de biodiversidad; 84(3); 792-801","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300008&lang=pt" 
"S1870-34532013000300006-mex","Una especie nueva de Pseudonereis (Polychaeta: Nereididae) de Mazatlán, golfo de California, incluyendo una clave para las especies del mundo","Villalobos-Guerrero, Tulio F., Tovar-Hernández, María Ana","Revista mexicana de biodiversidad; 84(3); 774-781","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300006&lang=pt" 
