"S0482-50042012000100014-scl","Níveis séricos elevados de homocisteína em pacientes pediátricos com fenômeno de Raynaud primário","Kutilek, Stepan, Nemec, Vladimir, Bockayova, Eva","Revista Brasileira de Reumatologia; 52(1); 128-130","Revista Brasileira de Reumatologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042012000100014&lang=pt" 
"S0482-50042012000100008-scl","Displasia fibromuscular: um diagnóstico diferencial para as vasculites","Pontes, Thaís de Carvalho, Rufino, Geísa Pereira, Gurgel, Mariana Galvão, Medeiros, Arnaldo Correia de, Freire, Eutília Andrade Medeiros","Revista Brasileira de Reumatologia; 52(1); 70-74","Revista Brasileira de Reumatologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042012000100008&lang=pt" 
"S0482-50042012000100011-scl","Leucopenia e trombocitopenia induzidas por etanercepte: relato de dois casos e revisão da literatura","Azevedo, Valderílio Feijó, Silva, Marília Barreto Gameiro, Marinello, Débora Karine, Santos, Felipe Dunin dos, Silva, Guilherme Barreto Gameiro","Revista Brasileira de Reumatologia; 52(1); 110-112","Revista Brasileira de Reumatologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042012000100011&lang=pt" 
"S0482-50042012000100001-scl","O potencial terapêutico da molécula HLA-G","Louzada-Junior, Paulo, Freitas, Max Victor Carioca","Revista Brasileira de Reumatologia; 52(1); 2-2","Revista Brasileira de Reumatologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042012000100001&lang=pt" 
"S0482-50042012000100003-scl","Uso de questionários para avaliar a multidimensionalidade e a qualidade de vida do fibromiálgico","Martins, Marielza Regina Ismael, Polvero, Letícia Oliveira, Rocha, Carlos Eduardo, Foss, Marcos Henrique, Santos Junior, Randolfo dos","Revista Brasileira de Reumatologia; 52(1); 21-26","Revista Brasileira de Reumatologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042012000100003&lang=pt" 
"S0482-50042012000100004-scl","Bloqueio do receptor de leucotrieno CysLT1 em pacientes com fenômeno de Raynaud: evidência capilaroscópica do papel do leucotrieno","Azevedo, Mario Newton Leitão de, Bernardini, Edda Maria T, Salles, Elizabeth F, Heinzmann, Felipe, Marconde, Frederico, Mello, Tatiana, Gomes, Blanca Elena Rios","Revista Brasileira de Reumatologia; 52(1); 30-32","Revista Brasileira de Reumatologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042012000100004&lang=pt" 
"S0482-50042012000100013-scl","Livedo reticular associado com Anemia Hemolítica Autoimune: remissão prolongada induzida pelo Transplante de Células-Tronco do Sangue Periférico com recaída após 10 anos e restauração dos níveis de hemoglobina por rituximabe","Ferreira, Eurípedes, Feitosa, Andrezza, Hamerschlak, Nelson, Scheinberg, Morton Aaron","Revista Brasileira de Reumatologia; 52(1); 122-124","Revista Brasileira de Reumatologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042012000100013&lang=pt" 
"S0482-50042012000100007-scl","Níveis séricos de 25-hidroxivitamina D3 e sua associação com parâmetros clínicos e laboratoriais em pacientes com lúpus eritematoso sistêmico","Fragoso, Thiago Sotero, Dantas, Andrea Tavares, Marques, Claudia Diniz Lopes, Rocha Junior, Laurindo Ferreira da, Melo, José Humberto de Lima, Costa, Aline Jurema Gesteira, Duarte, Angela Luzia Branco Pinto","Revista Brasileira de Reumatologia; 52(1); 60-65","Revista Brasileira de Reumatologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042012000100007&lang=pt" 
"S0482-50042012000100012-scl","Ascite por peritonite lúpica: uma forma rara de início do lúpus eritematoso sistêmico","Pott Júnior, Henrique, Amate Neto, André, Teixeira, Maria Aparecida Barone, Provenza, José Roberto","Revista Brasileira de Reumatologia; 52(1); 116-119","Revista Brasileira de Reumatologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042012000100012&lang=pt" 
"S0482-50042012000100009-scl","O papel do gene e da molécula HLA-G na expressão clínica das doenças reumatológicas","Brenol, Claiton Viegas, Veit, Tiago Degani, Chies, José Artur Bogo, Xavier, Ricardo Machado","Revista Brasileira de Reumatologia; 52(1); 82-91","Revista Brasileira de Reumatologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042012000100009&lang=pt" 
"S1677-55382012000100003-scl","Development of a rabbit&#039;s urethral sphincter deficiency animal model for anatomical-functional evaluation","Skaff, M., Pinto, E.R.S., Leite, K. R. M., Almeida, F.G.","International braz j urol; 38(1); 17-24","International braz j urol","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382012000100003&lang=pt" 
