"S0864-03942009000300003-cub","Diversidad y cuantía de la flora en un pastizal disturbado y pastoreado de forma racional","Machado, R, Milera, Milagros","Pastos y Forrajes; 32(3); 1-1","Pastos y Forrajes","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942009000300003&lang=pt" 
"S0864-03942009000300004-cub","Efecto de los tratamientos de hidratación-deshidratación en la germinacion, la emergencia y el vigor de las plántulas de Albizia lebbeck y Gliricidia sepium","Gonzalez, Yolanda, Sánchez, J. A, Reino, J, Montejo, Laura A","Pastos y Forrajes; 32(3); 1-1","Pastos y Forrajes","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942009000300004&lang=pt" 
"S0864-03942009000300005-cub","Valoración germinativa de 20 accesiones de leguminosas almacenadas en condiciones desfavorables","Muñoz, Bárbara C, Sánchez, J. A, Montejo, Laura A, González, Yolanda, Reino, J","Pastos y Forrajes; 32(3); 1-1","Pastos y Forrajes","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942009000300005&lang=pt" 
"S0864-03942009000300006-cub","Descomposición de la hojarasca en un sistema silvopastoril de Panicum maximum y Leucaena leucocephala (Lam) de Wit cv. Cunningham: I. Influencia de su composición química","Sánchez, Saray, Crespo, G, Hernández, Marta","Pastos y Forrajes; 32(3); 1-1","Pastos y Forrajes","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942009000300006&lang=pt" 
"S0864-03942009000300007-cub","Comportamiento lechero de genotipos Holstein x Cebú en silvopastoreo","Simón, L, López, O","Pastos y Forrajes; 32(3); 1-1","Pastos y Forrajes","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942009000300007&lang=pt" 
"S0864-03942009000300008-cub","Determinación de compuestos hidrocarbonados en la pared celular de P. maximum y L. leucocephala en silvopastoreo","Sánchez, Tania, Pedraza, R, Mayes, B, Øskorv, B","Pastos y Forrajes; 32(3); 1-1","Pastos y Forrajes","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942009000300008&lang=pt" 
"S0864-03942009000300009-cub","La revista Pastos y Forrajes: evolución e impacto en el sector agropecuario","Hernández, Marta, Ojeda, Alicia","Pastos y Forrajes; 32(3); 1-1","Pastos y Forrajes","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942009000300009&lang=pt" 
"S0003-25732009000300001-prt","O seguro social obrigatório em Portugal (1919-1928): acção e limites de um Estado previdente","Cardoso, José Luís, Rocha, Maria Manuela","Análise Social; (192); 439-470","Análise Social","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0003-25732009000300001&lang=pt" 
"S1413-73722009000300010-scl","Adesão ao tratamento após aconselhamento genético na Síndrome de Down","Micheletto, Marcos Ricardo Datti, Amaral, Vera Lúcia Adami Raposo do, Valerio, Nelson Iguimar, Fett-Conte, Agnes Cristina","Psicologia em Estudo; 14(3); 491-500","Psicologia em Estudo","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722009000300010&lang=pt" 
"S0102-695X2009000500001-scl","Editorial: Revista Brasileira de Farmacognosia e o Novo Qualis da Capes","Santos, Cid Aimbiré M.","Revista Brasileira de Farmacognosia; 19(3); -","Revista Brasileira de Farmacognosia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2009000500001&lang=pt" 
"S0102-695X2009000500002-scl","Atividade antitumoral do Ageratum conyzoides L. (Asteraceae)","Momesso, Luciano da Silva, Moura, Rute Mendonça Xavier de, Constantino, Dulce Helena Jardim","Revista Brasileira de Farmacognosia; 19(3); 660-663","Revista Brasileira de Farmacognosia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2009000500002&lang=pt" 
"S0102-695X2009000500006-scl","Xantonas, triterpenos e atividade antibacteriana do extrato em diclorometano de Kielmeyera cuspidata Saddi, Clusiaceae","Sobral, Ivoneide S., Souza-Neta, Lourdes C., Costa, Giselle. A. N., Guedes, Maria L. S., Martins, Dirceu, Cruz, Frederico G.","Revista Brasileira de Farmacognosia; 19(3); 686-689","Revista Brasileira de Farmacognosia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2009000500006&lang=pt" 
"S0102-695X2009000500009-scl","Atividade hepatoprotetora do extrato alcoólico da Camellia sinensis (L.) Kuntze (chá-verde) em ratos Wistar tratados com dietilnitrosamina","Schmitz, Wanderlei Onofre, Cecchini, Rubens, Estevão, Dirceu, Saridakis, Halha Ostrensky","Revista Brasileira de Farmacognosia; 19(3); 702-709","Revista Brasileira de Farmacognosia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2009000500009&lang=pt" 
"S0102-695X2009000500010-scl","Composição química e avaliação das atividades antibacteriana e de toxicidade dos óleos essenciais de Lantana camara L. e Lantana sp.","Costa, José G. M. da, Sousa, Erlânio O. de, Rodrigues, Fabíola F. G., Lima, Sidney G. de, Braz-Filho, Raimundo","Revista Brasileira de Farmacognosia; 19(3); 710-714","Revista Brasileira de Farmacognosia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2009000500010&lang=pt" 
"S0102-695X2009000500023-scl","Atividade antimicrobiana de extratos hidroalcoólicos de Lafoensia pacari A. St.-Hil., Lythraceae, frente a bactérias multirresistentes de origem hospitalar","Porfírio, Zenaldo, Melo-Filho, Gildo C., Alvino, Valter, Lima, Maria Raquel F., Sant&#039;Ana, Antônio E.G.","Revista Brasileira de Farmacognosia; 19(3); 785-789","Revista Brasileira de Farmacognosia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2009000500023&lang=pt" 
"S0102-695X2009000500016-scl","Antinociceptive and bioactivity of leaves of Murraya paniculata (L.) Jack, Rutaceae","Sharker, Shazid Md., Shahid, Israt Jahan, Hasanuzzaman, Md.","Revista Brasileira de Farmacognosia; 19(3); 746-748","Revista Brasileira de Farmacognosia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2009000500016&lang=pt" 
"S0102-695X2009000500018-scl","Protease inhibition activity of extracts from Salicaceae species from Brazilian Cerrado and Atlantic Rain Forest and of an enriched fraction of clerodane diterpenes (casearins)","Flausino Jr, Otavio, Abissi, Barbara M., Vieira Jr, Gerardo Magela, Santos, André Gonzaga dos, Silva, Dulce Helena da, Cavalheiro, Alberto, Bolzani, Vanderlan da Silva","Revista Brasileira de Farmacognosia; 19(3); 755-758","Revista Brasileira de Farmacognosia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2009000500018&lang=pt" 
