"S0080-62341996000100010-scl","Avaliação da gravidade do traumatismo crânio-encefálico por índices anatômicos e fisiológicos","Imai, Maria de Fátima Paiva, Koizumi, Maria Sumie","Revista da Escola de Enfermagem da USP; 30(1); 116-137","Revista da Escola de Enfermagem da USP","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62341996000100010&lang=pt" 
"S0104-530X1996000100002-scl","Solução exacta de problemas de corte unidimensional usando o método de partição e avaliação sucessivas e geração diferida de colunas","Carvalho, J.M. Valério de","Gestão &amp; Produção; 3(1); 33-48","Gestão &amp; Produção","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X1996000100002&lang=pt" 
"S0104-530X1996000100001-scl","Empirically assessing the impact of business process reengineering on manufacturing firms","Guimaraes, Tor, Bond, Wendi","Gestão &amp; Produção; 3(1); 8-32","Gestão &amp; Produção","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X1996000100001&lang=pt" 
"S0104-530X1996000100003-scl","Globalização e capacitação tecnológica nos países de industrialização tardia: lições para o Brasil","Coutinho, Luciano","Gestão &amp; Produção; 3(1); 49-69","Gestão &amp; Produção","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X1996000100003&lang=pt" 
"S0104-530X1996000100004-scl","Fatores e procedimentos determinantes da qualidade do projeto de produtos visando a competitividade","Consalter, Luiz Airton","Gestão &amp; Produção; 3(1); 70-85","Gestão &amp; Produção","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X1996000100004&lang=pt" 
"S0104-530X1996000100005-scl","Experiências em desenvolvimento de produtos em empresas pioneiras do Pólo Tecnológico de São Carlos","Santos Júnior, Dionisio dos, Mello, Renato de","Gestão &amp; Produção; 3(1); 86-99","Gestão &amp; Produção","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X1996000100005&lang=pt" 
"S0037-86821996000200003-scl","Morbidade hospitalar por doença de Chagas no Brasil","França, Susete Barbosa, Abreu, Daisy Maria Xavier de","Revista da Sociedade Brasileira de Medicina Tropical; 29(2); 109-115","Revista da Sociedade Brasileira de Medicina Tropical","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821996000200003&lang=pt" 
"S0037-86821996000200001-scl","Apresentação","Juarez, Edmundo","Revista da Sociedade Brasileira de Medicina Tropical; 29(2); -","Revista da Sociedade Brasileira de Medicina Tropical","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821996000200001&lang=pt" 
"S0037-86821996000200002-scl","Perfil clínico-epidemiológico de chagásicos atendidos em ambulatório de referência e proposição de modelo de atenção ao chagásico na perspectiva do SUS","Gontijo, Eliane Dias, Rocha, Manoel Otávio C., Oliveira, Ulrika Torquato de","Revista da Sociedade Brasileira de Medicina Tropical; 29(2); 101-108","Revista da Sociedade Brasileira de Medicina Tropical","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821996000200002&lang=pt" 
"S0037-86821996000200004-scl","Avaliação do Programa de Controle da Esquistossomose (PCE/PCDEN) em municípios situados na Bacia do Rio São Francisco, Minas Gerais, Brasil","Costa, Maria Fernanda Lima e, Guerra, Henrique L., Pimenta Junior, Fabiano G., Firmo, Josélia O.A., Uchoa, Elizabeth","Revista da Sociedade Brasileira de Medicina Tropical; 29(2); 117-126","Revista da Sociedade Brasileira de Medicina Tropical","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821996000200004&lang=pt" 
"S0037-86821996000200007-scl","Imunodiagnóstico da esquistossomose mansônica com baixa carga parasitária","Lima, Dirce Mary C., Abrantes-Lemos, Clarice P., Hoshino-Shimizu, Sumie, Valli, Luiz P.C., Kanamura, Hermínia H.Y., Silva, Luiz Caetano da, Vellosa, Silvia A.G.","Revista da Sociedade Brasileira de Medicina Tropical; 29(2); 145-152","Revista da Sociedade Brasileira de Medicina Tropical","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821996000200007&lang=pt" 
