"S1516-14392016000501033-scl","Effect of Cold Work on Cavitation Resistance of an Austenitic Stainless Steel Coating","Cruz, Juliane Ribeiro da, Henke, Sérgio Luiz, d&#039;Oliveira, Ana Sofia Clímaco Monteiro","Materials Research; 19(5); 1033-1041","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501033&lang=pt" 
"S0034-70942016000500554-scl","Answer to the question of Dr. Da-Qiang Zhao about hypobaric ropivacaine","Cantürk, Mehmet","Revista Brasileira de Anestesiologia; 66(5); 554-554","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000500554&lang=pt" 
"S1516-14392016000501108-scl","Structural Characterization of Calcium Sulfate Bone Graft Substitute Cements","Favvas, Evangelos P., Stefanopoulos, Konstantinos L., Vordos, Nikolaos Ch., Drosos, George I., Mitropoulos, Athanasios Ch.","Materials Research; 19(5); 1108-1113","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501108&lang=pt" 
"S1516-14392016000501132-scl","Effect of Spun Velocities and Composition on the Microstructure and Transformation Temperatures of TiNi Shape Memory Ribbons","López Cuellar, Enrique, López Pavón, Luis, Nuñez Mendoza, Esaú, Araújo, Carlos José De, Castro, Walman Benicio De, Gonzalez, Cezar, Otubo, Jorge","Materials Research; 19(5); 1132-1137","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501132&lang=pt" 
"S1516-14392016000501127-scl","Slag Evaluation to Reduce Energy Consumption and EAF Electrical Instability","Vieira, Deisi, Almeida, Rodolfo Arnaldo Montecinos de, Bielefeldt, Wagner Viana, Vilela, Antônio Cezar Faria","Materials Research; 19(5); 1127-1131","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501127&lang=pt" 
"S1516-14392016000501167-scl","Structural, Thermal and Optical Properties of Pure and Mn2+ Doped Poly(Vinyl Chloride) Films","Kayyarapu, Bhagyasree, Kumar Y., Madhava, Mohommad, Hussain Basha, Neeruganti O., Gopal, Chekuri, Ramu","Materials Research; 19(5); 1167-1175","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501167&lang=pt" 
"S1516-14392016000501149-scl","Microwave Absorbing Properties of NiFe2O4 Nanosheets Synthesized Via a Simple Surfactant-Assisted Solution Route","Zhao, Chengyun, Huang, Wei, Liu, Xianguo, Or, Siu Wing, Cui, Caiyun","Materials Research; 19(5); 1149-1154","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501149&lang=pt" 
"S1516-14392016000501138-scl","Effect of Necking Behavior and of Gap Size on the Cooling Rate in Hot Stamping","Olah Neto, André, Verran, Guilherme Ourique, Pissolatto, Gabriel Carvalho, Dutra, Rodinei Rocha","Materials Research; 19(5); 1138-1143","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501138&lang=pt" 
"S1516-14392016000501213-scl","Erratum","","Materials Research; 19(5); 1213-1213","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501213&lang=pt" 
"S1516-14392016000500999-scl","Polypyrrole/Metal Sulphide Hybrid Nanocomposites: Synthesis, Characterization and Room Temperature Gas Sensing Properties","Yeole, Bharti, Sen, Tanushree, Hansora, Dharmesh, Mishra, Satyendra","Materials Research; 19(5); 999-1007","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000500999&lang=pt" 
"S1516-14392016000501088-scl","Influence of Hydrogenation on Residual Stresses of Pipeline Steel Welded Joints","Sant&#039;Anna, Alexandre Magno de Souza, Bastos, Ivan Napoleão, Rebello, João Marcos Alcoforado, Fonseca, Maria P. Cindra","Materials Research; 19(5); 1088-1097","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501088&lang=pt" 
"S1516-14392016000501162-scl","Effect of Aluminium Addition on the Magnetic Properties of a Semi-Processed Electrical Steel","Marra, Kleiner Marques, Marra, Lívia Carneiro, Buono, Vicente Tadeu Lopes","Materials Research; 19(5); 1162-1166","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501162&lang=pt" 
"S1516-14392016000501201-scl","Poly(Vinyl Alcohol) Gate Dielectric Treated With Anionic Surfactant in C60 Fullerene-Based n-Channel Organic Field Effect Transistors","Nawaz, Ali, de Col, Cristiane, Hümmelgen, Ivo A.","Materials Research; 19(5); 1201-1206","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501201&lang=pt" 
"S1516-14392016000501180-scl","Effects of Different Plasma Nitrided Layers on the Tribological Performance of DLC Coatings","Shioga, Pedro Henrique Teshima, Binder, Cristiano, Hammes, Gisele, Klein, Aloisio Nelmo, Mello, Jose Daniel Biasoli de","Materials Research; 19(5); 1180-1188","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501180&lang=pt" 
"S1516-14392016000501189-scl","Low Temperature Sintering of Aluminum-Zircon Metal Matrix Composite Prepared by Spark Plasma Sintering","Ghasali, Ehsan, Nouranian, Hossein, Rahbari, Ali, Majidian, Houdsa, Alizadeh, Masoud, Ebadzadeh, Touradj","Materials Research; 19(5); 1189-1192","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501189&lang=pt" 
