"S1316-33612008000100005-ven","Selección y evaluación de rizobacterias promotoras del crecimiento en pimentón y maíz","Reyes, Isbelia, Alvarez, Luimar, El-Ayoubi, Hind, Valery, Alexis","Bioagro; 20(1); 37-48","Bioagro","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1316-33612008000100005&lang=pt" 
"S1316-33612008000100006-ven","Homogeneidad pedogeomorfológica asociada con las formaciones geológicas y zonas de vida de la microcuenca del río monaicito, trujillo, venezuela","Pineda, Neida, Jaimes, Edgar, Mendoza, José, Arellano, Rosalva, Becerra, Ligia, Rodríguez, Hilda","Bioagro; 20(1); 49-56","Bioagro","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1316-33612008000100006&lang=pt" 
"S1316-33612008000100007-ven","Revigorización y clonación de yemas adultas de árboles de olivo: establecimiento in vitro de microinjertos","Rache-Cardenal, Leidy, Rojas-Pinzón, Emilcen, Pacheco-Maldonado, José","Bioagro; 20(1); 57-65","Bioagro","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1316-33612008000100007&lang=pt" 
"S1316-33612008000100001-ven","Fraccionamiento del bagazo de caña de azúcar mediante tratamiento amoniacal: efecto de la humedad del bagazo y la carga de amoníaco","Pernalete, Zoycris, Piña, Francibell, Suárez, Madeleine, Ferrer, Alexis, Aiello, Cateryna","Bioagro; 20(1); 3-10","Bioagro","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1316-33612008000100001&lang=pt" 
"S1316-33612008000100003-ven","Programación del riego en caña de azúcar en una zona semiárida del estado lara, venezuela, utilizando la metodología fao-56","Trezza, Ricardo, Pacheco, Yelitza, Suárez, Yamileth, Nuñez, Aixa, Umbría, Igle","Bioagro; 20(1); 21-27","Bioagro","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1316-33612008000100003&lang=pt" 
"S1316-33612008000100009-ven","Dos nuevas especies de lepidópteros defoliadores en plantaciones de palma Aceitera elaeis guineensis jacq. En venezuela","Sosa, Francisco, Díaz, Francisco","Bioagro; 20(1); 73-75","Bioagro","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1316-33612008000100009&lang=pt" 
"S1316-33612008000100002-ven","Vascularización del pedicelo y crecimiento del fruto de Citrus sinensis var. Salustiana y su relación con el contenido de ácido indolacético","Laskowski, Libia E, Monerri, Consuelo, García-Luis, Amparo, Guardiola, José Luis","Bioagro; 20(1); 11-20","Bioagro","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1316-33612008000100002&lang=pt" 
"S1316-33612008000100008-ven","Digestibilidad fecal de nutrientes en dietas con forrajes tropicales en conejos: Comparación entre métodos directo e indirecto","Nieves, Duilio, Barajas, Albeiro, Delgado, Geovanny, González, Carlos, Ly, Julio","Bioagro; 20(1); 73-75","Bioagro","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1316-33612008000100008&lang=pt" 
"S0004-06142008000300003-esp","Utilidad del método de filtración-adhesión en citología urinaria","Torres Gómez, Francisco Javier, Torres Gómez, A., Torres Olivera, Francisco Javier","Archivos Españoles de Urología (Ed. impresa); 61(3); 371-375","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142008000300003&lang=pt" 
"S0004-06142008000300014-esp","Orquiepididimitis por brucella SPP","Gallego Vilar, Daniel, Povo Martín, Ivan, Gimeno Argente, Vicente, Bosquet, M., Rivadulla Serrano, Isabel, Martínez Ramos, David, Gallego Gómez, Juan","Archivos Españoles de Urología (Ed. impresa); 61(3); 442-444","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142008000300014&lang=pt" 
"S0103-84782008000200047-scl","Caracterização físico-química do mel de abelhas proveniente da florada do cajueiro","Bendini, Juliana do Nascimento, Souza, Darcet Costa","Ciência Rural; 38(2); 565-567","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000200047&lang=pt" 
