"S0102-311X2013001000012-scl","O autor responde","Paim, Jairnilson Silva","Cadernos de Saúde Pública; 29(10); 1952-1953","Cadernos de Saúde Pública","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2013001000012&lang=pt" 
"S0102-311X2013001000013-scl","Possibilities and challenges for physical and social environment research in Brazil: a systematic literature review on health behaviors","Belon, Ana Paula, Nykiforuk, Candace","Cadernos de Saúde Pública; 29(10); 1955-1973","Cadernos de Saúde Pública","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2013001000013&lang=pt" 
"S0102-311X2013001000015-scl","Built environment and social environment: associations with overweight and obesity in a sample of Brazilian adults","Velásquez-Meléndez, Gustavo, Mendes, Larissa Loures, Padez, Cristina Maria Proença","Cadernos de Saúde Pública; 29(10); 1988-1996","Cadernos de Saúde Pública","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2013001000015&lang=pt" 
"S1851-17322013000500006-arg","Comprometiéndose con el mundo: América Latina y la internacionalización de la investigación en turismo","Pearce, Douglas G.","Estudios y perspectivas en turismo; 22(5); 908-925","Estudios y perspectivas en turismo","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17322013000500006&lang=pt" 
"S1851-17322013000500007-arg","Determinación de necesidades de investigación en turismo: El Caso del Centro de Investigación en Turismo y Patrimonio de la Región de Valparaíso, Chile","Zamora González, Jorge, Castro Romero, Marisol, Marín Toro, Adriana","Estudios y perspectivas en turismo; 22(5); 926-952","Estudios y perspectivas en turismo","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17322013000500007&lang=pt" 
"S1851-17322013000500008-arg","Análisis comparado entre destinos turísticos de Amazonas y Maranhão - Brasil","Praia Portela de Aguiar, Lileane, Faria Tasso, João Paulo, Pinheiro do Nascimento, Elimar","Estudios y perspectivas en turismo; 22(5); 953-970","Estudios y perspectivas en turismo","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17322013000500008&lang=pt" 
"S1851-17322013000500009-arg","Itinerario a través de tarjetas postales: Espacios mostrados y ocultados de la ciudad de São Paulo","Veiga Shibaki, Viviane","Estudios y perspectivas en turismo; 22(5); 971-984","Estudios y perspectivas en turismo","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17322013000500009&lang=pt" 
"S1851-17322013000500010-arg","El origen del conocimiento: El lugar de la experiencia y de la razón en la génesis del conocimiento del turismo","Martini Moesch, Marutschka","Estudios y perspectivas en turismo; 22(5); 985-1001","Estudios y perspectivas en turismo","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17322013000500010&lang=pt" 
"S0102-311X2013001000016-scl","Processos da construção da Política Nacional de Promoção da Saúde","Ferreira Neto, João Leite, Kind, Luciana, Resende, Maria Carolina Costa, Colen, Natália Silva","Cadernos de Saúde Pública; 29(10); 1997-2007","Cadernos de Saúde Pública","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2013001000016&lang=pt" 
"S0102-311X2013001000017-scl","Prevalência de doação de sangue e fatores associados em Florianópolis, Sul do Brasil: estudo de base populacional","Mariano Gislon da Silva, Rafael, Kupek, Emil, Peres, Karen Glazer","Cadernos de Saúde Pública; 29(10); 2008-2016","Cadernos de Saúde Pública","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2013001000017&lang=pt" 
"S0102-311X2013001000018-scl","Living conditions and access to health services by Bolivian immigrants in the city of São Paulo, Brazil","Silveira, Cássio, Carneiro Junior, Nivaldo, Ribeiro, Manoel Carlos Sampaio de Almeida, Barata, Rita de Cássia Barradas","Cadernos de Saúde Pública; 29(10); 2017-2027","Cadernos de Saúde Pública","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2013001000018&lang=pt" 
