"S1517-45222010000300010-scl","Flexibilidade e crise do emprego industrial - sindicatos, regiões e novas ações empresariais","Ramalho, José Ricardo","Sociologias; 12(25); 252-284","Sociologias","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222010000300010&lang=pt" 
"S1517-45222010000300011-scl","Pertencimento, medos corriqueiros e redes de solidariedade","Koury, Mauro Guilherme Pinheiro","Sociologias; 12(25); 286-311","Sociologias","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222010000300011&lang=pt" 
"S1517-45222010000300012-scl","Burocracia e inserção social: uma proposta para entender a gestão das organizações públicas no Brasil","Helal, Diogo Henrique, Neves, Jorge Alexandre Barbosa","Sociologias; 12(25); 312-340","Sociologias","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222010000300012&lang=pt" 
"S0100-19652010000300002-scl","Ontologia de aplicação no domínio de mortalidade: uma ferramenta de apoio para o preenchimento da declaração de óbitos","Mendonça, Fabricio Martins, Cardoso, Ana Maria Pereira, Drumond, Eliane","Ciência da Informação; 39(3); 23-34","Ciência da Informação","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652010000300002&lang=pt" 
"S0100-19652010000300008-scl","Os objetos educacionais, os metadados e os repositórios na sociedade da informação","Silva, Edna Lúcia da, Café, Lígia, Catapan, Araci Hack","Ciência da Informação; 39(3); 93-104","Ciência da Informação","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652010000300008&lang=pt" 
"S0100-19652010000300010-scl","Textos escritos e editados pela autora Susan Pearce: visão analítica sobre os textos","Li, Rose Cristiani","Ciência da Informação; 39(3); 116-119","Ciência da Informação","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652010000300010&lang=pt" 
"S1852-73292010000200001-arg","Corteza de Prosopis laevigata y Schinus molle como bioindicador de contaminación atmosférica en cinco usos de suelo, San Luis Potosí, México","Alcalá, Jorge, Rodríguez, Juan C., Tiscareño, Miguel A., Hernández, Alejandra, Tapia, J. Jesús, Lara, J. Luis, Avila, Cecilia","Multequina; 19(2); 33-42","Multequina","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73292010000200001&lang=pt" 
"S1852-73292010000200002-arg","Cariotipos de Liolaemus quilmes y Liolaemus wiegmannii y comparación con otros taxones del grupo boulengeri","Aiassa, Delia, Gorla, Nora","Multequina; 19(2); 43-52","Multequina","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73292010000200002&lang=pt" 
"S1852-73292010000200003-arg","Vegetation changes associated to coastal tourist urbanizations","Faggi, Ana M., Dadon, Jose","Multequina; 19(2); 53-75","Multequina","Inglês","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73292010000200003&lang=pt" 
"S1852-73292010000200004-arg","Echinopsis leucantha (Gillies ex Salm-Dyck) Walp. (Cactoideae): Interacciones con plantas nodrizas en el desierto central argentino","Almirón, Martín, Martínez Carretero, Eduardo","Multequina; 19(2); 77-87","Multequina","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73292010000200004&lang=pt" 
"S1852-73292010000200005-arg","Uso potencial del suelo del humedal de la Ciénega de Cabezas, San Luis Potosí, México","Tapia Goné, Juan Jesús, Alcalá Jáuregui, Jorge, Rodríguez Ortiz, J. C., Aceves Alonso, J., García Hernández, J.L., Villar Morales, C., Tiscareño Iracheta, M.A.","Multequina; 19(2); 93-103","Multequina","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73292010000200005&lang=pt" 
