"S1688-12492015000400005-ury","Endocarditis infecciosa por Haemophilus parainfluenzae","Ambrosoni, María, Zunino, Carlos, Pandolfo, Soledad, Peluffo4, Gabriel, Giachetto, Gustavo","Archivos de Pediatría del Uruguay; 86(4); 294-299","Archivos de Pediatría del Uruguay","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492015000400005&lang=pt" 
"S1688-12492015000400007-ury","Hidrops fetal por flutter auricular: a propósito de un caso","Inzaurralde, Deris, Pose2, Guillermo","Archivos de Pediatría del Uruguay; 86(4); 304-308","Archivos de Pediatría del Uruguay","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492015000400007&lang=pt" 
"S1688-12492015000400006-ury","Intoxicación por anís de campo (Ocimum selloi).: A propósito de un caso","Vigna1, Andrés, Valdez, Maríanoel, Pascale, Antonio, Moraes4, Mario, Borbonet5, Daniel, Laborde6, Amalia","Archivos de Pediatría del Uruguay; 86(4); 300-303","Archivos de Pediatría del Uruguay","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492015000400006&lang=pt" 
"S1688-12492015000400004-ury","Pereira Rossell; años 2001- Pericarditis aguda en pediatría: Incidencia y características. Hospital Pediátrico 2011","Cabo, Estefanía, Ríos, Mateo, Assandri, Elizabeth, Vázquez, Martín, Pujadas, Mónica, Chiesa, Pedro, Algorta, Gabriela, Pírez, Catalina","Archivos de Pediatría del Uruguay; 86(4); 284-293","Archivos de Pediatría del Uruguay","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492015000400004&lang=pt" 
"S1688-12492015000400003-ury","Lupus eritematoso sistémico en niños y adolescentes","Caggiani, Marina","Archivos de Pediatría del Uruguay; 86(4); 3-3","Archivos de Pediatría del Uruguay","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492015000400003&lang=pt" 
"S1688-12492015000400002-ury","Bronquiolitis en neonatos: Experiencia de cuatro años en un hospital pediátrico de referencia nacional","Boyadjian, Shushanik, Notejane, Martín, Assandri, Elizabeth, Pujadas, Mónica, Pírez, Catalina","Archivos de Pediatría del Uruguay; 86(4); 2-2","Archivos de Pediatría del Uruguay","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492015000400002&lang=pt" 
"S1688-12492015000400001-ury","Congreso de los 100 años de la Sociedad Uruguaya de Pediatría: Lo más destacado de un evento memorable","Cerisola, Alfredo","Archivos de Pediatría del Uruguay; 86(4); 263-264","Archivos de Pediatría del Uruguay","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492015000400001&lang=pt" 
"S1688-12492015000400009-ury","Comentario sobre","Monteverde, Nicolás","Archivos de Pediatría del Uruguay; 86(4); 313-316","Archivos de Pediatría del Uruguay","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492015000400009&lang=pt" 
"S1688-12492015000400010-ury","La parte de arriba","Pijuan, Andrea","Archivos de Pediatría del Uruguay; 86(4); 317-317","Archivos de Pediatría del Uruguay","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492015000400010&lang=pt" 
"S0430-50272015000200002-prt","Finisterra: Biografia de uma revista de geografia (1966-2015)","Alcoforado, Maria João, Alegria, Maria Fernanda, Queirós, Margarida, Garcia, Ricardo A. C., Morgado, Paulo, Vieira, Rute","Finisterra - Revista Portuguesa de Geografia; (100); 9-33","Finisterra - Revista Portuguesa de Geografia","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0430-50272015000200002&lang=pt" 
"S0718-090X2015000300012-chl","Freidenberg, Flavia y Suárez-Cao, Julieta (eds.) (2014). Territorio y poder: Nuevos actores y competencia política en los sistemas de partidos multinivel en América Latina","MILANESE, JUAN PABLO","Revista de ciencia política (Santiago); 35(3); 661-663","Revista de ciencia política (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-090X2015000300012&lang=pt" 
