"S1885-642X2013000100005-esp","Prevalence and control of hypertension in a Niger Delta semi urban community, Nigeria","Suleiman, Ismail A., Amogu, Ebubechukwu O., Ganiyu, Kehinde A.","Pharmacy Practice (Granada); 11(1); 24-29","Pharmacy Practice (Granada)","Inglês","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2013000100005&lang=pt" 
"S1885-642X2013000100003-esp","Case management of malaria fever at community pharmacies in Pakistan: a threat to rational drug use","Malik, Madeeha, Hassali, Mohamed A., Shafie, Asrul A., Hussain, Azhar, Aljadhey, Hisham, Saleem, Fahad","Pharmacy Practice (Granada); 11(1); 8-16","Pharmacy Practice (Granada)","Inglês","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1885-642X2013000100003&lang=pt" 
"S2225-62532013000300008-sza","Case study on quantitative risk modelling to obtain a realistic risk-adjusted project valuation","Lane, G.R, Terblanche, M, Meyer, G, Sasto, N","Journal of the Southern African Institute of Mining and Metallurgy; 113(3); -","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532013000300008&lang=pt" 
"S2225-62532013000300004-sza","Infacon XIII to be held in Kazakhstan","","Journal of the Southern African Institute of Mining and Metallurgy; 113(3); -","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532013000300004&lang=pt" 
"S2225-62532013000300001-sza","New Vistas","Robinson, RE","Journal of the Southern African Institute of Mining and Metallurgy; 113(3); -","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532013000300001&lang=pt" 
"S2225-62532013000300003-sza","Holistic green commitment places Royal Bafokeng Platinum in the Nedbank Green Index","","Journal of the Southern African Institute of Mining and Metallurgy; 113(3); -","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532013000300003&lang=pt" 
"S2225-62532013000300005-sza","Platinum 2012","Smith, Gordon L.","Journal of the Southern African Institute of Mining and Metallurgy; 113(3); -","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532013000300005&lang=pt" 
"S2225-62532013000300016-sza","A practical approach to plant-scale flotation optimization","Harris, A, Venkatesan, L, Greyling, M","Journal of the Southern African Institute of Mining and Metallurgy; 113(3); -","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532013000300016&lang=pt" 
"S2225-62532013000300014-sza","What is the best energy-delivery system for hand-held stope drilling and associated equipment in narrow-reef hard rock mines?","Petit, P.J, Fraser, P.D","Journal of the Southern African Institute of Mining and Metallurgy; 113(3); -","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532013000300014&lang=pt" 
"S2225-62532013000300015-sza","Challenges and solutions in PGM furnace operation: high matte temperature and copper cooler corrosion","Shaw, A, de Villiers, L.P.vS, Hundermark, R.J, Ndlovu, J, Nelson, L.R, Pieterse, B, Sullivan, R, Voermann, N, Walker, C, Stober, F, McKenzie, A.D","Journal of the Southern African Institute of Mining and Metallurgy; 113(3); -","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532013000300015&lang=pt" 
"S2225-62532013000300018-sza","Hybrid Energy FlotationTM - on the optimization of fine and coarse particle kinetics in a single ro","Govender, D, Lelinski, D, Traczyk, F","Journal of the Southern African Institute of Mining and Metallurgy; 113(3); -","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532013000300018&lang=pt" 
