"S1519-69842010000100026-scl","Angiogenic activity of Synadenium umbellatum Pax latex","Melo-Reis, PR., Andrade, LS., Silva, CB., Araújo, LMM., Pereira, MS., Mrue, F., Chen-Chen, L.","Brazilian Journal of Biology; 70(1); 189-194","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000100026&lang=pt" 
"S1519-69842010000100027-scl","When decisions on homologous structures cause ambiguous taxa relationships: the Neomorphinae (Aves, Cuculidae) example","Posso, SR., Donatelli, RJ.","Brazilian Journal of Biology; 70(1); 195-204","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000100027&lang=pt" 
"S1519-69842010000100028-scl","Isolation and experimental infection with Vibrio alginolyticus in the sea horse, Hippocampus reidi Ginsburg, 1933 (Osteichthyes: Syngnathidae) in Brazil","Martins, ML., Mouriño, JLP., Fezer, GF., Buglione Neto, CC., Garcia, P., Silva, BC., Jatobá, A., Vieira, FN.","Brazilian Journal of Biology; 70(1); 205-209","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000100028&lang=pt" 
"S1519-69842010000100029-scl","Acoustic communication and vocalization microhabitat in Ameerega braccata (Steindachner, 1864) (Anura, Dendrobatidae) from Midwestern Brazil","Forti, LR., Strüssmann, C., Mott, T.","Brazilian Journal of Biology; 70(1); 211-216","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000100029&lang=pt" 
"S1519-69842010000100030-scl","Histological study of the dynamics in epidermis regeneration of the carp tail fin (Cyprinus carpio, Linnaeus, 1758)","Böckelmann, PK., Ochandio, BS., Bechara, IJ.","Brazilian Journal of Biology; 70(1); 217-223","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000100030&lang=pt" 
"S1519-69842010000100004-scl","Feeding associations between Guiana dolphins, Sotalia guianensis (Van Bénèden, 1864) and seabirds in the Lagamar estuary, Brazil","Santos, MCO., Oshima, JEF., Pacífico, ES., Silva, E.","Brazilian Journal of Biology; 70(1); 9-17","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000100004&lang=pt" 
"S1519-69842010000100015-scl","Group size and composition of Guiana dolphins (Sotalia guianensis) (Van Bénèden, 1864) in the Paranaguá Estuarine Complex, Brazil","Santos, MCO., Oshima, JEF., Pacífico, ES., Silva, E.","Brazilian Journal of Biology; 70(1); 111-120","Brazilian Journal of Biology","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842010000100015&lang=pt" 
"S0212-16112010000100023-esp","XI Congreso Nacional de la Sociedad Española de Nutrición: Sitges, 10-13 de junio de 2009","","Nutrición Hospitalaria; 25(1); 129-177","Nutrición Hospitalaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000100023&lang=pt" 
"S0120-62302010000100010-col","Análisis energético y exergético del proceso de obtención de etanol a partir de la fruta del banano","Velásquez, Héctor Iván, Ruiz, Angela Adriana, de Oliveira Junior, Silvio","Revista Facultad de Ingeniería Universidad de Antioquia; (51); 87-96","Revista Facultad de Ingeniería Universidad de Antioquia","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302010000100010&lang=pt" 
"S0120-62302010000100011-col","Experimentos de combustión con cascarilla de arroz en lecho fluidizado para la producción de ceniza rica en sílice","Martínez Ángel, Juan Daniel, Pineda Vásquez, Tatiana Gissette, López Zapata, Juan Pablo, Betancur Vélez, Mariluz","Revista Facultad de Ingeniería Universidad de Antioquia; (51); 97-104","Revista Facultad de Ingeniería Universidad de Antioquia","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302010000100011&lang=pt" 
"S0120-62302010000100012-col","Estudio de la fotodegradación del clorotalonilo usando las técnicas de fenton y fotocatálisis con dióxido de titanio mediante radiación solar","Vásquez, Esmeralda, Peñuela, Gustavo, Agudelo, Sergio","Revista Facultad de Ingeniería Universidad de Antioquia; (51); 105-113","Revista Facultad de Ingeniería Universidad de Antioquia","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302010000100012&lang=pt" 
