"S0100-736X2012001000004-scl","Distribuição e identificação das regiões de risco para a cisticercose bovina no estado do Paraná","Guimarães-Peixoto, Rafaella P.M., Souza, Valmir K., Pinto, Paulo S.A., Santos, Tatiane O.","Pesquisa Veterinária Brasileira; 32(10); 975-979","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000004&lang=pt" 
"S0100-736X2012001000007-scl","Utilização de biópsias da terceira pálpebra e mucosa retal em ovinos para diagnóstico de scrapie em uma propriedade da região sul do Brasil","Leal, Juliano S., Correa, Gabriel L.F., Dalto, André G.C., Boos, Gisele S., Oliveira, Eduardo C., Bandarra, Paulo M., Lopes, Rui F.F., Driemeier, David","Pesquisa Veterinária Brasileira; 32(10); 990-994","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000007&lang=pt" 
"S0100-736X2012001000009-scl","Corrective shoeing in horses: analysis of the adaptation period to the new condition imposed","Albernaz, Raquel M., Basile, Roberta C., Dias, Deborah P.M., Gomide, Lina M.W., Milaré, Anelise S., Bernardi, Nara S., Queiroz Neto, Antonio, Lacerda Neto, José C.","Pesquisa Veterinária Brasileira; 32(10); 1001-1004","Pesquisa Veterinária Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000009&lang=pt" 
"S0100-736X2012001000008-scl","Situação epidemiológica da infecção por Toxoplasma gondii em equídeos na microrregião do Brejo Paraibano","Oliveira Filho, Ruy B., Malta, Karla C., Oliveira, Júnior M.B., Albuquerque, Pedro P.F., Mota, Rinaldo A., Santana, Vania L. Assis, Alves, Leucio C., Pinheiro Júnior, José W.","Pesquisa Veterinária Brasileira; 32(10); 995-1000","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000008&lang=pt" 
"S0100-736X2012001000010-scl","Decreased expression of cardiac troponin C is associated with cardiac lesions in Amorimia exotropica poisoned cattle","Pavarini, Saulo Petinatti, Bandinelli, Marcele Bettim, Juffo, Gregory Duarte, Souza, Suyene Oltramari de, Driemeier, David, Cruz, Cláudio Estêvão Farias da","Pesquisa Veterinária Brasileira; 32(10); 1005-1008","Pesquisa Veterinária Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000010&lang=pt" 
"S0100-736X2012001000012-scl","Utilização de vagens de Prosopis juliflora na alimentação de bovinos e equinos","Medeiros, Marcia A., Riet-Correa, Franklin, Pessoa, André F.A., Pessoa, Clarice R.M., Batista, Jouberdan A., Dantas, Antônio F.M., Miranda Neto, Eldinê G., Medeiros, Rosane M.T.","Pesquisa Veterinária Brasileira; 32(10); 1014-1016","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000012&lang=pt" 
"S0100-736X2012001000017-scl","Infection by Toxoplasma gondii in Neotropical non-human primates","Pires, Juliana S., Ribeiro, Carlos T., Carvalho Filho, Paulo Roberto de, Pissinatti, Alcides, Flausino, Walter, Lopes, Carlos Wilson G.","Pesquisa Veterinária Brasileira; 32(10); 1041-1044","Pesquisa Veterinária Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000017&lang=pt" 
"S0100-736X2012001000016-scl","Tumores de cães e gatos diagnosticados no semiárido da Paraíba","Andrade, Rachel L.F.S., Oliveira, Diego M., Dantas, Antônio Flávio M., Souza, Almir Pereira de, Nóbrega Neto, Pedro Isidro da, Riet-Correa, Franklin","Pesquisa Veterinária Brasileira; 32(10); 1037-1040","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000016&lang=pt" 
"S0100-736X2012001000020-scl","Potencial envolvimento da adiponectina e seus receptores na modulação da esteroidogênese em corpo lúteo de cadelas ao longo do diestro","Fonseca, Vanessa U., Papa, Paula C., Campos, Danila B.","Pesquisa Veterinária Brasileira; 32(10); 1055-1060","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000020&lang=pt" 
"S1808-86942012000500022-scl","Histoplasmose nasal sem acometimento pulmonar em paciente imunocomprometido","Manzini, Michelle, Lavinsky-Wolff, Michelle","Brazilian Journal of Otorhinolaryngology; 78(5); 136-136","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500022&lang=pt" 
"S0004-27302012000700001-scl","Insulin analogues in the treatment of diabetes in pregnancy","Negrato, Carlos Antonio, Montenegro Junior, Renan Magalhães, Von Kostrisch, Lilia Maria, Guedes, Maria Fatima, Mattar, Rosiane, Gomes, Marilia B.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 56(7); 405-414","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302012000700001&lang=pt" 
"S0004-27302012000700005-scl","Análise da expressão do mRNA da proteína S100β em adipócitos de pacientes com diabetes melito tipo 2","Hamasaki, Mike Yoshio, Hirata, Mario Hiroyuki, Hirata, Rosario Dominguez Crespo, Himelfarb, Silvia Tchernin, Campos, Leila Maria Guissoni, Nogueira, Maria Inês","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 56(7); 435-440","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302012000700005&lang=pt" 
"S1808-86942012000500003-scl","Qualidade de vida em crianças com distúrbios respiratórios do sono","Gomes, Amaury de Machado, Santos, Otávio Marambaia dos, Pimentel, Kleber, Marambaia, Pablo Pinillos, Gomes, Leonardo Marques, Pradella-Hallinan, Márcia, Lima, Manuela Garcia","Brazilian Journal of Otorhinolaryngology; 78(5); 12-21","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500003&lang=pt" 
"S1808-86942012000500005-scl","Os pais conhecem as queixas auditivas de seus filhos?","Knobel, Keila Alessandra Baraldi, Lima, Maria Cecília Marconi Pinheiro","Brazilian Journal of Otorhinolaryngology; 78(5); 27-37","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500005&lang=pt" 
"S1808-86942012000500007-scl","Mitomicina-C como inibidor de sinéquias em meatos médios nas cirurgias sinusais: resultados preliminares","Yamaoka, Wellington Yugo, Gregório, Luís Carlos","Brazilian Journal of Otorhinolaryngology; 78(5); 44-50","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500007&lang=pt" 
"S1808-86942012000500008-scl","Software para avaliação da subjetiva vertical visual: um estudo transversal observacional","Pavan, Theo Zeferino, Funabashi, Martha, Carneiro, José Ailton Oliveira, Pontelli, Taiza Elaine Grespan dos Santos, Tedeschi, Walfred, Colafêmina, José Fernando, Carneiro, Antonio Adilton Olivera","Brazilian Journal of Otorhinolaryngology; 78(5); 51-58","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500008&lang=pt" 
"S1808-86942012000500010-scl","Polimorfismos do gene da interleucina-13 nas posições -1055 C/T e +2044 G/A em pacientes com carcinoma espinocelular de cabeça e pescoço","Khademi, Bijan, Hashemi, Seyed Basir, Ghaderi, Abbass, Shahrestani, Ali, Mohammadianpanah, Mohammad","Brazilian Journal of Otorhinolaryngology; 78(5); 64-68","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500010&lang=pt" 
"S1808-86942012000500011-scl","Satisfação de pacientes protetizados em um serviço de alta complexidade","Aurélio, Fernanda Soares, Silva, Simone Pereira da, Rodrigues, Liliane Barbosa, Kuniyoshi, Isabel Cristiane, Botelho, Marília Silva e Nunes","Brazilian Journal of Otorhinolaryngology; 78(5); 69-77","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500011&lang=pt" 
