"S0103-166X2006000200010-scl","Psicologia ambiental: entendendo as relações do homem com seu ambiente","Souza, Luciana Silva Martins de","Estudos de Psicologia (Campinas); 23(2); 203-205","Estudos de Psicologia (Campinas)","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2006000200010&lang=pt" 
"S1316-48212006000200008-ven","Decreto de inamovilidad laboral y su aplicación por parte de la gerencia en venezuela","Pico Pico, Gonzalo, Corredor Rincón, Edwin","Universidad, Ciencia y Tecnología; 10(38); 93-98","Universidad, Ciencia y Tecnología","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1316-48212006000200008&lang=pt" 
"S1316-48212006000200005-ven","Sistema de medición de temperatura sin contacto con el proceso","Custodio, Ángel, Balza, Zahyra","Universidad, Ciencia y Tecnología; 10(38); 73-76","Universidad, Ciencia y Tecnología","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1316-48212006000200005&lang=pt" 
"S1316-48212006000200004-ven","Progreso de los aprendizajes en geometría utilizando un software matemático","Rojas Torres, Ana, Cecilia Graterol, Elizabeth","Universidad, Ciencia y Tecnología; 10(38); 67-72","Universidad, Ciencia y Tecnología","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1316-48212006000200004&lang=pt" 
"S1316-48212006000200007-ven","Evaluación del proceso de entrega del aluminio primario del area de reducción al area de colada, cvg venalum","Arzola, Minerva, Mejias, Agustín, Ramírez, Héctor","Universidad, Ciencia y Tecnología; 10(38); 87-92","Universidad, Ciencia y Tecnología","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1316-48212006000200007&lang=pt" 
"S1316-48212006000200006-ven","Receptor de señales definido por software utilizando dispositivos fpga","Rosada, Jaime, Juan Carlos, García","Universidad, Ciencia y Tecnología; 10(38); 81-86","Universidad, Ciencia y Tecnología","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1316-48212006000200006&lang=pt" 
"S1316-48212006000200001-ven","","León Lara, Ovidio","Universidad, Ciencia y Tecnología; 10(38); 54-54","Universidad, Ciencia y Tecnología","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1316-48212006000200001&lang=pt" 
"S1316-48212006000200003-ven","Conocimientos y actitudes ante el ambiente para la incorporación de la dimensión ambiental en el pensum de ingeniería industrial","Olave de Amigo, Rosa","Universidad, Ciencia y Tecnología; 10(38); 62-66","Universidad, Ciencia y Tecnología","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1316-48212006000200003&lang=pt" 
"S1316-48212006000200002-ven","Medición del clima organizacional en instituciones de educación superior","Mejías A, Agustín, Reyes S, Oscar, Arzola H, Minerva","Universidad, Ciencia y Tecnología; 10(38); 55-61","Universidad, Ciencia y Tecnología","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1316-48212006000200002&lang=pt" 
"S0103-21002006000200001-scl","Níveis de evidência","Galvão, Cristina Maria","Acta Paulista de Enfermagem; 19(2); 5-5","Acta Paulista de Enfermagem","Inglês, Português, Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002006000200001&lang=pt" 
"S0103-21002006000200006-scl","Mulheres doadoras de leite humano","Galvão, Marli Teresinha Gimeniz, Vasconcelos, Simone Gonçalves, Paiva, Simone de Sousa","Acta Paulista de Enfermagem; 19(2); 157-161","Acta Paulista de Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002006000200006&lang=pt" 
