"S1677-55382009000100023-scl","Urological Oncology","Bohle, Andreas","International braz j urol; 35(1); 110-112","International braz j urol","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382009000100023&lang=pt" 
"S1677-55382009000100008-scl","Corporoplasty using bovine pericardium grafts in complex penile prosthesis implantation surgery","Lopes, Eduardo J. A., Kuwano, Andre Y., Guimaraes, Andreia N., Flores, Jesuino P., Jacobino, Modesto A. O.","International braz j urol; 35(1); 49-55","International braz j urol","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382009000100008&lang=pt" 
"S1677-55382009000100012-scl","Investigations into the presence of functional ß1, ß2 and ß3-adrenoceptors in urothelium and detrusor of human bladder","Tyagi, Pradeep, Thomas, Catherine A., Yoshimura, Naoki, Chancellor, Michael B.","International braz j urol; 35(1); 76-83","International braz j urol","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382009000100012&lang=pt" 
"S1677-55382009000100011-scl","Outcomes following mid-urethral sling placement in patients with intrinsic sphincteric deficiency: comparison of Sparc and Monarc slings","Rapp, David E., Govier, Fred E., Kobashi, Kathleen C.","International braz j urol; 35(1); 68-75","International braz j urol","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382009000100011&lang=pt" 
"S1677-55382009000100002-scl","Renal parenchyma thickness: a rapid estimation of renal function on computed tomography","Kaplon, Daniel M., Lasser, Michael S., Sigman, Mark, Haleblian, George E., Pareek, Gyan","International braz j urol; 35(1); 5-8","International braz j urol","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382009000100002&lang=pt" 
"S0102-36162009000100011-scl","Estudo morfológico do ramo superficial do nervo radial","Folberg, Celso Ricardo, Ulson, Heitor JR, Scheidt, Rodrigo Benedet","Revista Brasileira de Ortopedia; 44(1); 69-74","Revista Brasileira de Ortopedia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162009000100011&lang=pt" 
"S0034-76122009000100008-scl","Uma experiência de mudança da gestão universitária: o percurso ambivalente entre proposições e realizações","Sampaio, Rosely Moraes, Laniado, Ruthy Nadia","Revista de Administração Pública; 43(1); 151-174","Revista de Administração Pública","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122009000100008&lang=pt" 
"S0034-76122009000100012-scl","Rent seeking em tempos de crise","Monteiro, Jorge Vianna","Revista de Administração Pública; 43(1); 257-266","Revista de Administração Pública","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122009000100012&lang=pt" 
"S1677-55382009000100003-scl","Laparoscopic surgery for renal stones: is it indicated in the modern endourology era?","Nadu, Andrei, Schatloff, Oscar, Morag, Roy, Ramon, Jacob, Winkler, Harry","International braz j urol; 35(1); 9-18","International braz j urol","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382009000100003&lang=pt" 
"S1677-55382009000100005-scl","Pheochromocytoma: a long-term follow-up of 24 patients undergoing laparoscopic adrenalectomy","Castilho, Lísias N., Simoes, Fabiano A., Santos, Andre M., Rodrigues, Tiago M., Santos Junior, Carlos A. dos","International braz j urol; 35(1); 24-35","International braz j urol","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382009000100005&lang=pt" 
"S0102-36162009000100010-scl","Efeito do ácido zoledrônico em tíbias de ratas ooforectomizadas: estudo prospectivo e randomizado","Pereira, Fernando Roberto Alves, Dutra, Ricardo César, Olímpio, Thiago César Reis, Müller, Sérgio Swain, Palacio, Evandro Pereira","Revista Brasileira de Ortopedia; 44(1); 61-68","Revista Brasileira de Ortopedia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162009000100010&lang=pt" 
