"S0038-23532009000200010-sza","A review of soybean rust from a South African perspective","Jarvie, J. Antony","South African Journal of Science; 105(3-4); 103-108","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000200010&lang=pt" 
"S0038-23532009000200011-sza","A spatial assessment of Brassica napus gene flow potential to wild and weedy relatives in the Fynbos Biome","McGeoch, M.A., Kalwij, J.M., Rhodes, J.I.","South African Journal of Science; 105(3-4); 109-115","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000200011&lang=pt" 
"S0038-23532009000200012-sza","Metal-biomass interactions: a comparison of visualisation techniques available in South Africa","Moore, B.A., Mack, C., Duncan, J.R., Burgess, J.E.","South African Journal of Science; 105(3-4); 115-119","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000200012&lang=pt" 
"S0038-23532009000200013-sza","Modelling of W UMa-type variable stars","Skelton, P.L., Smits, D.P.","South African Journal of Science; 105(3-4); 120-126","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000200013&lang=pt" 
"S0038-23532009000200014-sza","Pyrethroid resistance in a major African malaria vector Anopheles arabiensis from Mamfene, northern KwaZulu-Natal, South Africa","Mouatcho, J.C., Munhenga, G., Hargreaves, K., Brooke, B.D., Coetzee, M., Koekemoer, L.L.","South African Journal of Science; 105(3-4); 127-131","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000200014&lang=pt" 
"S0038-23532009000200015-sza","Comparative population genetics of the German shepherd dog in South Africa","Coutts, N.J., Harley, E.H.","South African Journal of Science; 105(3-4); 132-135","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000200015&lang=pt" 
"S0038-23532009000200016-sza","Singularity and symmetry analyses of mathematical models of epidemics","Nucci, M.C., Leach, P.G.L.","South African Journal of Science; 105(3-4); 136-146","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000200016&lang=pt" 
"S0038-23532009000200017-sza","Traditional herbal medicines: potential degradation of sterols and sterolins by microbial contaminants","Plessis-Stoman, D. du, Downing, T.G., van de Venter, M., Govender, S.","South African Journal of Science; 105(3-4); 147-150","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000200017&lang=pt" 
"S0038-23532009000200019-sza","A lovebird (Psittaciformes: Agapornis) from the Plio-Pleistocene Kromdraai B locality, South Africa","Stidham, T.A.","South African Journal of Science; 105(3-4); 155-157","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000200019&lang=pt" 
"S0038-23532009000200020-sza","Nutritional and phytochemical evaluation of cultivated Psathyrella atroumbonata Pegler, a Nigerian edible mushroom","Ayodele, S.M., Okhuoya, J.A.","South African Journal of Science; 105(3-4); 158-160","South African Journal of Science","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532009000200020&lang=pt" 
"S0100-204X2009000400003-scl","Densidade e tamanho de formigueiros de Acromyrmex crassispinus em plantios de Pinus taeda","Nickele, Mariane Aparecida, Reis Filho, Wilson, Oliveira, Edilson Batista de, Iede, Edson Tadeu","Pesquisa Agropecuária Brasileira; 44(4); 347-353","Pesquisa Agropecuária Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2009000400003&lang=pt" 
"S0100-204X2009000400004-scl","Toxicity of neem oil to Bemisia tabaci biotype B nymphs reared on dry bean","Pinheiro, Patricia Valle, Quintela, Eliane Dias, Oliveira, Jaison Pereira de, Seraphin, José Carlos","Pesquisa Agropecuária Brasileira; 44(4); 354-360","Pesquisa Agropecuária Brasileira","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2009000400004&lang=pt" 
