"S2222-34362012000300007-sza","Towards inflation targeting in Egypt: The relationship between exchange rate and inflation","Khodeir, Aliaa Nabil","South African Journal of Economic and Management Sciences; 15(3); 325-332","South African Journal of Economic and Management Sciences","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2222-34362012000300007&lang=pt" 
"S0256-01002012000300001-sza","The job satisfaction of principals of previously disadvantaged schools: new light on an old issue","Maforah, T P, Schulze, S","South African Journal of Education; 32(3); 227-239","South African Journal of Education","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002012000300001&lang=pt" 
"S0256-01002012000300002-sza","Teaching practice and the personal and socio-professional development of prospective teachers","Schoeman, S, Mabunda, P L","South African Journal of Education; 32(3); 240-254","South African Journal of Education","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002012000300002&lang=pt" 
"S0256-01002012000300003-sza","Job satisfaction amongst teachers at special needs schools","Strydom, Louise, Nortjé, Nico, Beukes, Roelf, Esterhuyse, Karel, van der Westhuizen, Jeanne","South African Journal of Education; 32(3); 255-266","South African Journal of Education","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002012000300003&lang=pt" 
"S0256-01002012000300004-sza","Exploring rural high school learners&#039; experience of mathematics anxiety in academic settings","Hlalele, Dipane","South African Journal of Education; 32(3); 267-278","South African Journal of Education","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002012000300004&lang=pt" 
"S0256-01002012000300005-sza","Girls&#039; career choices as a product of a gendered school curriculum: the Zimbabwean example","Mutekwe, Edmore, Modiba, Maropeng","South African Journal of Education; 32(3); 279-292","South African Journal of Education","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002012000300005&lang=pt" 
"S0256-01002012000300006-sza","An investigation of strategies for integrated learning experiences and instruction in the teaching of creative art subjects","Nompula, Yolisa","South African Journal of Education; 32(3); 293-306","South African Journal of Education","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002012000300006&lang=pt" 
"S0256-01002012000300007-sza","Understanding and addressing homophobia in schools: a view from teachers","Bhana, Deevia","South African Journal of Education; 32(3); 307-318","South African Journal of Education","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002012000300007&lang=pt" 
"S0256-01002012000300008-sza","Developing the language of thinking within a classroom community of inquiry: pre-service teachers&#039; experiences","Green, Lena, Condy, Janet, Chigona, Agnes","South African Journal of Education; 32(3); 319-330","South African Journal of Education","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002012000300008&lang=pt" 
"S0041-47512012000300001-sza","Die Wonder van grondwetmatige Afrikaans","du Plessis, Lourens","Tydskrif vir Geesteswetenskappe; 52(3); 337-351","Tydskrif vir Geesteswetenskappe","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-47512012000300001&lang=pt" 
"S0041-47512012000300002-sza","&#039;n Wending in voorkeurverkryging","Pauw, J.C., van der Walt, Marika","Tydskrif vir Geesteswetenskappe; 52(3); 352-365","Tydskrif vir Geesteswetenskappe","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-47512012000300002&lang=pt" 
