"S1659-13212016000100159-cri","Crecimiento del ganado caprino en una finca del Valle Central de Costa Rica","Chacón-Hernández, Pablo, Boschini-Figueroa, Carlos","Agronomía Mesoamericana; 27(1); 159-165","Agronomía Mesoamericana","Espanhol","2016","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-13212016000100159&lang=pt" 
"S1315-94962016000100011-ven","Venezuela: 1498-1728 conquista y urbanización","Gil Amundarain, Yolimar","Tiempo y Espacio; 26(65); 164-166","Tiempo y Espacio","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-94962016000100011&lang=pt" 
"S1315-94962016000100015-ven","Jornada de Historia: “Bicentenario de la muerte de Francisco de Miranda 1816-2016”. 14 de junio de 2016","Gil Amundarain, Yolimar","Tiempo y Espacio; 26(65); 175-179","Tiempo y Espacio","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-94962016000100015&lang=pt" 
"S1315-94962016000100012-ven","70 años de humor en Venezuela","Borregales, Yuruari","Tiempo y Espacio; 26(65); 167-169","Tiempo y Espacio","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-94962016000100012&lang=pt" 
"S1315-94962016000100014-ven","La mirada femenina desde la diversidad cultural: Voces del destierro","Castillo Herrera, Luis Fernando","Tiempo y Espacio; 26(65); 173-174","Tiempo y Espacio","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-94962016000100014&lang=pt" 
"S1870-35502016000100159-mex","Actuar o no actuar: un análisis comparativo del rol de los estados de Chiapas y Arizona en la gestión de la inmigración","Torre-Cantalapiedra, Eduardo, Schiavon, Jorge A.","Norteamérica; 11(1); 159-189","Norteamérica","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-35502016000100159&lang=pt" 
"S0048-77322016000300008-ven","Síndrome de ovario poliquístico en la adolescencia","Maulino, Nora","Revista de Obstetricia y Ginecología de Venezuela; 76(); S39-S46","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322016000300008&lang=pt" 
"S0048-77322016000300011-ven","Complicaciones metabólicas y cardiovasculares del síndrome de ovario poliquístico","Brajkovich, Imperia, Pérez Monteverde, Armando","Revista de Obstetricia y Ginecología de Venezuela; 76(); S65-S73","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322016000300011&lang=pt" 
"S0048-77322016000300003-ven","Etiología del síndrome de ovario poliquístico","Febres Balestrini, Freddy","Revista de Obstetricia y Ginecología de Venezuela; 76(); S5-S9","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322016000300003&lang=pt" 
"S0048-77322016000300017-ven","Manejo dermatológico","González Otero, Francisco","Revista de Obstetricia y Ginecología de Venezuela; 76(); S97-S103","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322016000300017&lang=pt" 
"S0048-77322016000300005-ven","Fisiopatología del síndrome de ovario poliquístico","Ablan Candia, Franklin","Revista de Obstetricia y Ginecología de Venezuela; 76(); S17-S24","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322016000300005&lang=pt" 
"S0048-77322016000300013-ven","Sensibilizadores a la insulina","Velázquez, Elsy","Revista de Obstetricia y Ginecología de Venezuela; 76(); S76-S84","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322016000300013&lang=pt" 
"S0048-77322016000300006-ven","Diagnóstico clínico y bioquímico del síndrome de ovario poliquístico","Fung, Liliana","Revista de Obstetricia y Ginecología de Venezuela; 76(); S25-S34","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322016000300006&lang=pt" 
"S0048-77322016000300009-ven","Infertilidad y del síndrome de ovario poliquístico","Centeno, Indira","Revista de Obstetricia y Ginecología de Venezuela; 76(); S47-S58","Revista de Obstetricia y Ginecología de Venezuela","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0048-77322016000300009&lang=pt" 
"S2007-15232016000100040-mex","Análisis de los estereotipos estéticos sobre la mujer en nueve revistas de moda y belleza mexicanas","Pérez-Lugo, Ana Laura, Gabino-Campos, María, Baile, José Ignacio","Revista mexicana de trastornos alimentarios; 7(1); 40-45","Revista mexicana de trastornos alimentarios","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-15232016000100040&lang=pt" 
