"S0185-30822008000100002-mex","Odiseo y el divino porquero: un entretenimiento retórico de Homero (Odisea, XIV)","Tapia Zúñiga, Pedro C.","Acta poética; 29(1); 17-48","Acta poética","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30822008000100002&lang=pt" 
"S0185-30822008000100004-mex","Monstruo, discurso y caracterización en Melanipa sabia","Barrenechea Cuadra, Francisco","Acta poética; 29(1); 69-93","Acta poética","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30822008000100004&lang=pt" 
"S0185-30822008000100012-mex","Hermenéutica en la Traducción y glosas de la Eneida de Enrique de Villena","Cortés Ortiz, Cecilia A.","Acta poética; 29(1); 283-299","Acta poética","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30822008000100012&lang=pt" 
"S0185-30822008000100009-mex","El pan y la sal: hacia una poética del gusto en el epigrama de Marcial","Lejavitzer Lapoujade, Amalia","Acta poética; 29(1); 203-222","Acta poética","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30822008000100009&lang=pt" 
"S0185-30822008000100013-mex","El reconocimiento de Śākuntalā","Castro Meagher, Genoveva","Acta poética; 29(1); 301-317","Acta poética","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30822008000100013&lang=pt" 
"S0185-30822008000100014-mex","La cultura popular como fuente: Procesos de inocultamiento en obras literarias y artísticas mexicanas del siglo XX","Giasson, Patrice","Acta poética; 29(1); 319-354","Acta poética","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30822008000100014&lang=pt" 
"S0185-30822008000100005-mex","El poder de las imágenes y los riesgos de la imaginación: La imagen y el estereotipo en el primer episodio de Medea","Okhuysen Casal, Magdalena","Acta poética; 29(1); 95-119","Acta poética","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30822008000100005&lang=pt" 
"S0185-30822008000100010-mex","Poesía en el De mysteriis de Jámblico: Reflexiones varias sobre el seudónimo","Molina Ayala, José","Acta poética; 29(1); 223-250","Acta poética","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30822008000100010&lang=pt" 
"S0185-30822008000100017-mex","Del Decamerón a las Cent Nouvelles nouvelles","Cándano Fierro, Graciela","Acta poética; 29(1); 395-401","Acta poética","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30822008000100017&lang=pt" 
"S0185-30822008000100001-mex","Presentación","Villaseñor Cuspinera, Patricia","Acta poética; 29(1); 07-13","Acta poética","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30822008000100001&lang=pt" 
"S0185-30822008000100018-mex","Historia del mundo y salvación: los presupuestos teológicos de la filosofía de la historia","Donner, Federico","Acta poética; 29(1); 403-407","Acta poética","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30822008000100018&lang=pt" 
"S0185-30822008000100006-mex","La competencia comunicativa del orador","Erren, Manfred","Acta poética; 29(1); 121-156","Acta poética","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30822008000100006&lang=pt" 
"S0185-30822008000100015-mex","El discurso ajeno en los titulares periodísticos","Nadal Palazón, Juan","Acta poética; 29(1); 355-385","Acta poética","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30822008000100015&lang=pt" 
"S0256-95742008000500009-sza","Ivan Toms - a selfless model of social conscience","Bateman, Chris","SAMJ: South African Medical Journal; 98(5); 338-340","SAMJ: South African Medical Journal","Inglês","2008","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742008000500009&lang=pt" 
"S0256-95742008000500008-sza","State doctor recruitment - key official in corruption probe","Bateman, Chris","SAMJ: South African Medical Journal; 98(5); 334-336","SAMJ: South African Medical Journal","Inglês","2008","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742008000500008&lang=pt" 
"S0256-95742008000500006-sza","Access to parenteral phenobarbitone","Wilmshurst, Jo M, Gordon-Graham, Eugenie, Green, Gillian, Reynolds, Louis, Blockman, Marc","SAMJ: South African Medical Journal; 98(5); 332-332","SAMJ: South African Medical Journal","Inglês","2008","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742008000500006&lang=pt" 
