"S0872-34192015000100001-prt","EDITORIAL","Gonçalves, Carlos Manuel","Sociologia; 29(); 7-8","Sociologia","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-34192015000100001&lang=pt" 
"S0120-99572015000200012-col","Neoplasias de la unión esofagogástrica: presentación de tres casos","Rodríguez, Roberto, Díaz, Isabel, Flórez, Alejandro, Donado, Fabiola","Revista Colombiana de Gastroenterologia; 30(2); 219-224","Revista Colombiana de Gastroenterologia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572015000200012&lang=pt" 
"S0120-99572015000200011-col","Presentación atípica de esofagitis herpética","Parra V, Viviana, Huertas Q, Margarita, Montoya, Rigoberto, Aponte, Diego, Sabbagh, Luis Carlos","Revista Colombiana de Gastroenterologia; 30(2); 216-218","Revista Colombiana de Gastroenterologia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572015000200011&lang=pt" 
"S0120-99572015000200010-col","Trasplante hepático en hemangioendotelioma epitelioide: reporte de dos casos y revisión de la literatura","Marín, Juan Ignacio, Santos, Óscar, Muñoz, Octavio, Osorio, Germán, Guzmán, Carlos, Hoyos, Sergio, Mena, Álvaro, Restrepo, Juan Carlos","Revista Colombiana de Gastroenterologia; 30(2); 211-215","Revista Colombiana de Gastroenterologia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572015000200010&lang=pt" 
"S0120-99572015000200009-col","Ecoendoscopia en la evaluación de las lesiones subepiteliales duodenales","Gómez Zuleta, Martín Alonso","Revista Colombiana de Gastroenterologia; 30(2); 205-210","Revista Colombiana de Gastroenterologia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572015000200009&lang=pt" 
"S0120-99572015000200014-col","Neoplasias hepáticas malignas: Hepatocarcinoma: papel de la biopsia hepática, estudios de inmunohistoquímica y otros aspectos importantes","López Panqueva, Rocío del Pilar","Revista Colombiana de Gastroenterologia; 30(2); 232-242","Revista Colombiana de Gastroenterologia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572015000200014&lang=pt" 
"S0120-99572015000200013-col","Mucosa gástrica heterotópica en esófago cervical: presentación de un caso de compromiso circunferencial con estenosis franqueable","Blanco A, Camilo, Teusabá T, Esperanza, Russi, Karen","Revista Colombiana de Gastroenterologia; 30(2); 225-231","Revista Colombiana de Gastroenterologia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572015000200013&lang=pt" 
"S0120-99572015000200004-col","Helicobacter pylori y alteraciones endoscópicas en pacientes con obesidad severa, programados para cirugía bariátrica","Otero, William, Otero, Lina, Trespalacios, Alba Alicia","Revista Colombiana de Gastroenterologia; 30(2); 165-170","Revista Colombiana de Gastroenterologia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572015000200004&lang=pt" 
"S0120-99572015000200006-col","Stents autoexpandibles biodegradables en endoscopia intervencionista gastrointestinal y pancreatobiliar: Estado actual","Álvarez B, Óscar A, Castaño Llano, Rodrigo, Restrepo, David","Revista Colombiana de Gastroenterologia; 30(2); 178-186","Revista Colombiana de Gastroenterologia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572015000200006&lang=pt" 
"S0120-99572015000200008-col","Estimulación eléctrica del colon en pacientes con constipación","Mulett Vásquez, Edelberto","Revista Colombiana de Gastroenterologia; 30(2); 199-204","Revista Colombiana de Gastroenterologia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572015000200008&lang=pt" 
"S0120-99572015000200005-col","Características de los pacientes con diagnóstico de pancreatitis aguda atendidos entre enero de 2008 y diciembre de 2011 en un centro de cuarto nivel","Gómez V, Álvaro A, Rodríguez V, Alberto","Revista Colombiana de Gastroenterologia; 30(2); 171-176","Revista Colombiana de Gastroenterologia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572015000200005&lang=pt" 
"S0120-99572015000200002-col","Los xantomas gástricos están asociados con lesiones malignas y premalignas","Gómez Z, Martín Alonso, Otero R, William, Buitrago, Melisa","Revista Colombiana de Gastroenterologia; 30(2); 151-156","Revista Colombiana de Gastroenterologia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572015000200002&lang=pt" 
"S0120-99572015000200015-col","Homenaje al Dr. Arecio Peñaloza Rosas","Aponte López, Luciano","Revista Colombiana de Gastroenterologia; 30(2); 232-242","Revista Colombiana de Gastroenterologia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572015000200015&lang=pt" 
"S0120-99572015000200003-col","Evaluación de la seguridad de la CPRE en pacientes de la tercera edad: experiencia de un hospital universitario en Bogotá","Parra, Viviana, Huertas Q, Margarita, Beltrán, Johnny, Ortiz, Douglas","Revista Colombiana de Gastroenterologia; 30(2); 157-163","Revista Colombiana de Gastroenterologia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572015000200003&lang=pt" 
"S0120-99572015000200007-col","Patogenia, diagnóstico y tratamiento de la disfunción renal en cirrosis","Ortega Quiroz, Rolando José, Guevara Casallas, Luis Gonzalo, Holguín Rojas, Jaime, Reyes Romero, Adalgiza, Prieto Ortiz, Jhon Edinson","Revista Colombiana de Gastroenterologia; 30(2); 187-198","Revista Colombiana de Gastroenterologia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572015000200007&lang=pt" 
"S0124-71072015000100011-col","Factores asociados a la vulnerabilidad del adulto mayor con alteraciones de salud","Guerrero-R, Nancy, Yépez-Ch, María Clara","Universidad y Salud; 17(1); 121-131","Universidad y Salud","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-71072015000100011&lang=pt" 
"S0124-71072015000100010-col","Factores de riesgo para parasitismo intestinal en niños escolarizados de una institución educativa del municipio de Soracá - Boyacá","Rodríguez-Sáenz, Ana Yervid","Universidad y Salud; 17(1); 112-120","Universidad y Salud","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-71072015000100010&lang=pt" 
"S0124-71072015000100008-col","El cuidado de enfermería comprometido: Motor en la satisfacción de la gestante durante el control prenatal","Hernández-Betancur, Ana María, Vásquez-Truisi, Martha Lucía","Universidad y Salud; 17(1); 80-96","Universidad y Salud","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-71072015000100008&lang=pt" 
"S0124-71072015000100004-col","Factores de riesgo cardiovascular y variables asociadas en personas de 20 a 79 años en Manizales, Colombia","Vélez-Alvarez, Consuelo, Gil-Obando, Lida Maritza, Avila-Rendón, Carmen Liliana, López-López, Alexandra","Universidad y Salud; 17(1); 32-46","Universidad y Salud","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-71072015000100004&lang=pt" 
"S0124-71072015000100005-col","Desnutrición crónica y desempeño cognitivo","Paredes-Arturo, Yenny Vicky","Universidad y Salud; 17(1); 47-56","Universidad y Salud","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-71072015000100005&lang=pt" 
"S0124-71072015000100006-col","Metodología rápida y sencilla para la determinación de colifagos somáticos como indicadores de contaminación fecal en una planta de tratamiento de agua localizada al noreste colombiano","Villamizar-G, Raquel Amanda, Ortíz-R, Oscar O, Aquiles-Darghan, Enrique","Universidad y Salud; 17(1); 57-68","Universidad y Salud","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-71072015000100006&lang=pt" 
"S0124-71072015000100007-col","Genotoxicidad de los contaminantes prioritarios en el aire de Villa del Rosario - Norte de Santander, Colombia","Quijano-Parra, Alfonso, Quijano-Vargas, Mónica Juliana, Meléndez-Gélvez, Iván","Universidad y Salud; 17(1); 69-79","Universidad y Salud","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-71072015000100007&lang=pt" 
"S0124-71072015000100002-col","Hábitos de vida y cáncer colorrectal: Un estudio de casos y controles en una población de ingresos medios y bajos","Jurado, Daniel, Bravo, Luisa Mercedes, Cerón, Cristina, Guerrero-R, Nancy, Yépez-Ch, María Clara","Universidad y Salud; 17(1); 7-17","Universidad y Salud","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-71072015000100002&lang=pt" 
