"S0718-65682015000200022-chl","La exclusión del otro desde la elite y el Estado","Boitano G., Angela","Polis (Santiago); 14(41); 353-372","Polis (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682015000200022&lang=pt" 
"S0718-65682015000200021-chl","Aquél que hizo por vileza el gran rechazo","Blanco Jiménez, José","Polis (Santiago); 14(41); 327-352","Polis (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682015000200021&lang=pt" 
"S0718-65682015000200028-chl","Consumo en mercados alternativos para baja renta: Un estudio de la Feria de Parangaba - Brasil","Peñaloza, Verónica, Denegri Coria, Marianela, Lopes Ferreira de Souza, Lucas, Gerhard Paula Sousa, Felipe","Polis (Santiago); 14(41); 481-497","Polis (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682015000200028&lang=pt" 
"S0718-65682015000200018-chl","Economía y naturaleza humana, volviendo a Smith y Marx","Aguilera Klink, Federico","Polis (Santiago); 14(41); 255-276","Polis (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682015000200018&lang=pt" 
"S0718-65682015000200019-chl","Agroecología y complejidad: Acoplamiento de la técnica a la organización ecosistémica","Giraldo, Omar Felipe","Polis (Santiago); 14(41); 277-301","Polis (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682015000200019&lang=pt" 
"S0718-65682015000200012-chl","Desafios para a Pesquisa em Ciências Sociais na América Latina na Temática da Participação Social","Gohn, Maria da Glória","Polis (Santiago); 14(41); 175-188","Polis (Santiago)","Português","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682015000200012&lang=pt" 
"S0718-65682015000200017-chl","Pela Vida, pela Dignidade e pelo Território: um novo léxico teórico político desde as lutas sociais na América Latina/Abya Yala/Quilombola","Porto-Gonçalves, Carlos Walter","Polis (Santiago); 14(41); 237-251","Polis (Santiago)","Português","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682015000200017&lang=pt" 
"S0717-50002015000200001-ury","Preface to the Best Papers from CLEI 2014 Special Issue","Aguilar, Jose, Astudillo, Hernán, Baliosian, Javier, Cancela, Héctor, España, Sergio, Ocampo, Ernesto, Solari, Martín, Zabala, Paula","CLEI Electronic Journal; 18(2); 1-1","CLEI Electronic Journal","Inglês","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S0717-50002015000200001&lang=pt" 
"S0718-65682015000200001-chl","Las Ciencias Sociales y el desafío de la mercantilización del conocimiento","Elizalde Hevia, Antonio","Polis (Santiago); 14(41); 7-17","Polis (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682015000200001&lang=pt" 
"S0718-65682015000200010-chl","Las ciencias sociales en la encrucijada actual","Follari, Roberto","Polis (Santiago); 14(41); 147-157","Polis (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682015000200010&lang=pt" 
"S0718-65682015000200013-chl","Romper el tedio en busca de nuevos relatos: una interpelación a las ciencias sociales","Hopenhayn, Martín","Polis (Santiago); 14(41); 189-198","Polis (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682015000200013&lang=pt" 
