"S0034-70942015000500414-scl","Anaesthesia for infant with Jarcho Levin syndrome: case report","Geze, Sukran, Arslan, Ufuk, Tusat, Mustafa","Revista Brasileira de Anestesiologia; 65(5); 414-416","Revista Brasileira de Anestesiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942015000500414&lang=pt" 
"S0034-70942015000500417-scl","Life-threatening acute subdural haematoma after combined spinal-epidural anaesthesia in labour","Bakar, Bulent, Ozer, Esra, Tekkok, Ismail Hakki","Revista Brasileira de Anestesiologia; 65(5); 417-420","Revista Brasileira de Anestesiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942015000500417&lang=pt" 
"S0034-70942015000500379-scl","Correlation of bispectral index (BIS) monitoring and end-tidal sevoflurane concentration in a patient with lobar holoprosencephaly","Galante, Dario, Fortarezza, Donatella, Caggiano, Maria, Francisci, Giovanni de, Pedrotti, Dino, Caruselli, Marco","Revista Brasileira de Anestesiologia; 65(5); 379-383","Revista Brasileira de Anestesiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942015000500379&lang=pt" 
"S0034-70942015000500403-scl","ST-segment elevation during general anesthesia for non-cardiac surgery: a case of takotsubo","Rodrigues, Leticia Bôa-Hora, Batista, Ana, Monteiro, Fátima, Duarte, João Silva","Revista Brasileira de Anestesiologia; 65(5); 403-406","Revista Brasileira de Anestesiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942015000500403&lang=pt" 
"S0034-70942015000500313-scl","The influence of airway supporting maneuvers on glottis view in pediatric fiberoptic bronchoscopy","Umutoglu, Tarik, Gedik, Ahmet Hakan, Bakan, Mefkur, Topuz, Ufuk, Daskaya, Hayrettin, Ozturk, Erdogan, Cakir, Erkan, Salihoglu, Ziya","Revista Brasileira de Anestesiologia; 65(5); 313-318","Revista Brasileira de Anestesiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942015000500313&lang=pt" 
"S0034-70942015000500333-scl","Comparison of the effectivity of oral and intra-articular administration of tenoxicam in patients with knee osteoarthritis","Erbas, Mesut, Simsek, Tuncer, Kiraz, Hasan Ali, Sahin, Hasan, Toman, Huseyin","Revista Brasileira de Anestesiologia; 65(5); 333-337","Revista Brasileira de Anestesiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942015000500333&lang=pt" 
"S1413-78522015000500263-scl","COMPARATIVE STUDY BETWEEN OSTEOSYNTHESIS IN CONVENTIONAL AND BIOABSORBABLE IMPLANTS IN ANKLE FRACTURES","Gaiarsa, Guilherme Pelosini, Reis, Paulo Roberto dos, Mattar Junior, Rames, Silva, Jorge dos Santos, Fernandez, Túlio Diniz","Acta Ortopédica Brasileira; 23(5); 263-267","Acta Ortopédica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522015000500263&lang=pt" 
"S1413-78522015000500268-scl","BLEEDING OF FEMORAL HEAD DURING TOTAL HIP ARTHROPLASTY FOR OSTEOARTHROSIS","Schwartsmann, Carlos Roberto, Spinelli, Leandro de Freitas, Sotomayor, Marco Yánez, Yépez, Anthony Kerbes, Boschin, Leonardo Carbonera, Silva, Marcelo Faria","Acta Ortopédica Brasileira; 23(5); 268-270","Acta Ortopédica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522015000500268&lang=pt" 
"S1413-78522015000500259-scl","NERVE ENDINGS AND VASCULAR SUPPLY IN SEMITENDINOSUS TENDON OF CEREBRAL PALSY CHILDREN","Grzegorzewski, Andrzej, Synder, Marek, Modrzewski, Tadeusz, Drobniewski, Marek, Polguj, Michał, Sibiński, Marcin","Acta Ortopédica Brasileira; 23(5); 259-262","Acta Ortopédica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522015000500259&lang=pt" 
"S1413-78522015000500255-scl","KIRSCHNER WIRE VERSUS TITANIUM ELASTIC NAILS IN PEDIATRIC FEMORAL SHAFT FRACTURES","Isik, Cengiz, Kurtulmus, Tuhan, Saglam, Necdet, Saka, Gursel, Akpinar, Fuat, Sarman, Hakan","Acta Ortopédica Brasileira; 23(5); 255-258","Acta Ortopédica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522015000500255&lang=pt" 
"S1413-78522015000500244-scl","PROFILE OF PATIENTS ON SICK LEAVE WITH CARPAL TUNNEL SYNDROME","Azevedo, Judson Welber Veríssimo de, Oliveira, Alexandre Barbosa de, Nascimento, Valdênia das Graças, Paiva Filho, Henver Ribeiro de, Viecili, Leandro, Rocha, Murilo Antonio","Acta Ortopédica Brasileira; 23(5); 244-246","Acta Ortopédica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522015000500244&lang=pt" 
"S1413-78522015000500247-scl","EXTRACORPOREAL SHOCKWAVE TERAPY TO TREAT CHRONIC MUSCLE INJURY","Astur, Diego Costa, Santos, Bruno, Moraes, Eduardo Ramalho de, Arliani, Gustavo Gonçalves, Santos, Paulo Roberto Dias dos, Pochini, Alberto de Castro","Acta Ortopédica Brasileira; 23(5); 247-250","Acta Ortopédica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522015000500247&lang=pt" 
"S0034-70942015000500367-scl","Ketamine-propofol sedation in circumcision","Gulec, Handan, Sahin, Saziye, Ozayar, Esra, Degerli, Semih, Bercin, Fatma, Ozdemir, Osman","Revista Brasileira de Anestesiologia; 65(5); 367-370","Revista Brasileira de Anestesiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942015000500367&lang=pt" 
"S0034-70942015000500384-scl","Perioperative morbidity and mortality in the first year of life: a systematic review (1997-2012)","Catré, Dora, Lopes, Maria Francelina, Viana, Joaquim Silva, Cabrita, António Silvério","Revista Brasileira de Anestesiologia; 65(5); 384-394","Revista Brasileira de Anestesiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942015000500384&lang=pt" 
"S0034-70942015000500371-scl","Dexmedetomidine and propofol infusion on sedation characteristics in patients undergoing sciatic nerve block in combination with femoral nerve block via anterior approach","Yektaş, Abdulkadir, Gümüş, Funda, Alagol, Ayşin","Revista Brasileira de Anestesiologia; 65(5); 371-378","Revista Brasileira de Anestesiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942015000500371&lang=pt" 
"S0034-70942015000500407-scl","Treatment of status migrainosus by general anesthesia: a case report","Udelsmann, Artur, Saccomani, Priscila, Dreyer, Elisabeth, Costa, Alberto Luiz Cunha da","Revista Brasileira de Anestesiologia; 65(5); 407-410","Revista Brasileira de Anestesiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942015000500407&lang=pt" 
"S0080-62342015000500741-scl","Adolescent support networks in a health care context: the interface between health, family and education","Costa, Rachel Franklin da, Zeitoune, Regina Célia Gollner, Queiroz, Maria Veraci Oliveira, Gómez García, Carmen Isabel, Ruiz García, Maria Jesús","Revista da Escola de Enfermagem da USP; 49(5); 741-747","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000500741&lang=pt" 
"S0080-62342015000500748-scl","Map of homicides by firearms: profile of the victims and the assaults","Trindade, Ruth França Cizino da, Costa, Flávia Azevedo de Mattos Moura, Silva, Patrícia de Paula Alves Costa da, Caminiti, Gustavo Bussi, Santos, Claudia Benedita dos","Revista da Escola de Enfermagem da USP; 49(5); 748-755","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000500748&lang=pt" 
"S0080-62342015000500756-scl","Functional independence measure in patients with intermittent claudication","Assis, Caroline Shihara de, Batista, Letícia de Carvalho, Wolosker, Nelson, Zerati, Antonio Eduardo, Silva, Rita de Cassia Gengo e","Revista da Escola de Enfermagem da USP; 49(5); 756-761","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000500756&lang=pt" 
"S0080-62342015000500767-scl","Evaluation of adherence to measures for the prevention of surgical site infections by the surgical team","Oliveira, Adriana Cristina de, Gama, Camila Sarmento","Revista da Escola de Enfermagem da USP; 49(5); 767-774","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000500767&lang=pt" 
"S0080-62342015000500762-scl","Advantages of a cohort study on cardiac arrest conducted by nurses","Campanharo, Cássia Regina Vancini, Vancini, Rodrigo Luiz, Lopes, Maria Carolina Barbosa Teixeira, Okuno, Meiry Fernanda Pinto, Batista, Ruth Ester Assayag, Atallah, Álvaro Nagib, Góis, Aécio Flávio Teixeira de","Revista da Escola de Enfermagem da USP; 49(5); 762-766","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000500762&lang=pt" 
"S0080-62342015000500775-scl","Patient safety and the prevention of skin and mucosal lesions associated with airway invasive devices","Pinto, Deisy Mello de, Schons, Estela dos Santos, Busanello, Josefine, Costa, Valdecir Zavarese da","Revista da Escola de Enfermagem da USP; 49(5); 775-782","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000500775&lang=pt" 
"S1807-59322015001000691-scl","Proteinuria is common among HIV patients: what are we missing?","Antonello, Vicente Sperb, Antonello, Ivan Carlos Ferreira, Herrmann, Sandra, Tovo, Cristiane Valle","Clinics; 70(10); 691-695","Clinics","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322015001000691&lang=pt" 
"S1807-59322015001000686-scl","Association between interleukin-22 genetic polymorphisms and bladder cancer risk","Zhao, Tao, Wu, XiaoHou, Liu, JiaJi","Clinics; 70(10); 686-690","Clinics","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322015001000686&lang=pt" 
"S0080-62342015000500819-scl","Toward validating the Italian version of the &quot;Spanish Burnout Inventory&quot;: a preliminary study","Viotti, Sara, Gil-Monte, Pedro R., Converso, Daniela","Revista da Escola de Enfermagem da USP; 49(5); 819-825","Revista da Escola de Enfermagem da USP","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000500819&lang=pt" 
"S0080-62342015000500811-scl","Nursing beliefs and actions in exercising patient advocacy in a hospital context","Barlem, Jamila Geri Tomaschewski, Lunardi, Valéria Lerch, Barlem, Edison Luiz Devos, Ramos, Aline Marcelino, Figueira, Aline Belletti, Fornari, Nerizane Cerutti","Revista da Escola de Enfermagem da USP; 49(5); 811-818","Revista da Escola de Enfermagem da USP","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342015000500811&lang=pt" 
