"S0104-44782011000100004-scl","Capital social e democracia: a confiança realmente importa?","Santos, Manoel Leonardo, Rocha, Enivaldo Carvalho da","Revista de Sociologia e Política; 19(38); 43-64","Revista de Sociologia e Política","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782011000100004&lang=pt" 
"S0104-44782011000100005-scl","Representação política: um diálogo entre a prática e a teoria","Archanjo, Daniela Resende","Revista de Sociologia e Política; 19(38); 65-83","Revista de Sociologia e Política","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782011000100005&lang=pt" 
"S0104-44782011000100007-scl","Redução da jornada de trabalho e qualidade dos empregos: entre o discurso, a teoria e a realidade","Mocelin, Daniel Gustavo","Revista de Sociologia e Política; 19(38); 101-119","Revista de Sociologia e Política","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782011000100007&lang=pt" 
"S0104-44782011000100009-scl","O uso de estudos de caso em pesquisas sobre política ambiental: vantagens e limitações","Steiner, Andrea","Revista de Sociologia e Política; 19(38); 141-158","Revista de Sociologia e Política","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782011000100009&lang=pt" 
"S0104-44782011000100012-scl","La participación en política de la mujer: un estudio de caso","Vázquez, Amparo Novo, Carrasco, Mercedes Cobo, Rico, Luis A. Gayoso","Revista de Sociologia e Política; 19(38); 187-203","Revista de Sociologia e Política","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782011000100012&lang=pt" 
"S0104-44782011000100003-scl","Minimalismo schumpeteriano, teoria econômica da democracia e escolha racional","Gama Neto, Ricardo Borges","Revista de Sociologia e Política; 19(38); 27-42","Revista de Sociologia e Política","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782011000100003&lang=pt" 
"S0004-282X2011000100029-scl","Condutas em neurologia infantil","Casella, Erasmo Barbante","Arquivos de Neuro-Psiquiatria; 69(1); 146-146","Arquivos de Neuro-Psiquiatria","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2011000100029&lang=pt" 
"S0004-282X2011000100027-scl","Analysis of the use of electroencephalogram and the bispectral index in the intensive care unit","Queiroz, Ronaldo Bezerra de","Arquivos de Neuro-Psiquiatria; 69(1); 142-142","Arquivos de Neuro-Psiquiatria","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2011000100027&lang=pt" 
"S0004-282X2011000100031-scl","Correction","","Arquivos de Neuro-Psiquiatria; 69(1); 147-149","Arquivos de Neuro-Psiquiatria","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2011000100031&lang=pt" 
"S0004-282X2011000100030-scl","Beyond therapy: biotechnology and the pursuit of happiness","Chapman, H., Soares, Marta Alves Reis","Arquivos de Neuro-Psiquiatria; 69(1); 146-146","Arquivos de Neuro-Psiquiatria","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2011000100030&lang=pt" 
"S0004-282X2011000100009-scl","Physical practice is associated with less functional disability in medical students with migraine","Domingues, Renan B., Teixeira, Antônio Lúcio, Domingues, Simone A.","Arquivos de Neuro-Psiquiatria; 69(1); 39-43","Arquivos de Neuro-Psiquiatria","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2011000100009&lang=pt" 
"S0004-282X2011000100021-scl","A murine model of xenotransplantation of human glioblastoma with imunosupression by orogastric cyclosporin","Cunha, Alexandre M., Nascimento, Fernanda S., Amaral, Jane C.O.F., Konig, Sandra, Takiya, Crhistina M., M. Neto, Vivaldo, Rocha, Eduardo, Souza, Jorge P.B.M.","Arquivos de Neuro-Psiquiatria; 69(1); 112-117","Arquivos de Neuro-Psiquiatria","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2011000100021&lang=pt" 
"S0021-75572011000100002-scl","Os glicocorticoides e seus efeitos no crescimento e na mineralização óssea","Donatti, Teresinha Lermen, Koch, Vera Hermina Kalika, Takayama, Liliam, Pereira, Rosa Maria Rodrigues","Jornal de Pediatria; 87(1); 4-12","Jornal de Pediatria","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572011000100002&lang=pt" 
"S0021-75572011000100004-scl","Prevalência e características de escolares vítimas de bullying","Moura, Danilo Rolim de, Cruz, Ana Catarina Nova, Quevedo, Luciana de Ávila","Jornal de Pediatria; 87(1); 19-23","Jornal de Pediatria","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572011000100004&lang=pt" 
"S0021-75572011000100005-scl","Comparação da efetividade entre polietilenoglicol 4000 sem eletrólitos e hidróxido de magnésio no tratamento da constipação intestinal crônica funcional em crianças","Gomes, Patricia Boechat, Duarte, Marco Antônio, Melo, Maria do Carmo Barros de","Jornal de Pediatria; 87(1); 24-28","Jornal de Pediatria","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572011000100005&lang=pt" 
